modelo;modo;genotipo;fold;classe;precision;recall;f1-score;support
svm;agrupado;todos;1;IRRIG;0.9476744186046512;0.844559585492228;0.8931506849315068;193.0
svm;agrupado;todos;1;NIRRIG;0.8591549295774648;0.953125;0.9037037037037037;192.0
svm;agrupado;todos;1;accuracy;0.8987012987012987;0.8987012987012987;0.8987012987012987;0.8987012987012987
svm;agrupado;todos;1;macro avg;0.903414674091058;0.8988422927461139;0.8984271943176052;385.0
svm;agrupado;todos;1;weighted avg;0.9035296344664178;0.8987012987012987;0.8984134890984207;385.0
svm;agrupado;todos;2;IRRIG;0.9166666666666666;0.8549222797927462;0.8847184986595175;193.0
svm;agrupado;todos;2;NIRRIG;0.8634146341463415;0.921875;0.8916876574307305;192.0
svm;agrupado;todos;2;accuracy;0.8883116883116883;0.8883116883116883;0.8883116883116883;0.8883116883116883
svm;agrupado;todos;2;macro avg;0.890040650406504;0.888398639896373;0.888203078045124;385.0
svm;agrupado;todos;2;weighted avg;0.8901098088902967;0.8883116883116883;0.8881940271895771;385.0
svm;agrupado;todos;3;IRRIG;0.9096045197740112;0.8341968911917098;0.8702702702702703;193.0
svm;agrupado;todos;3;NIRRIG;0.8461538461538461;0.9166666666666666;0.88;192.0
svm;agrupado;todos;3;accuracy;0.8753246753246753;0.8753246753246753;0.8753246753246753;0.8753246753246753
svm;agrupado;todos;3;macro avg;0.8778791829639288;0.8754317789291882;0.8751351351351351;385.0
svm;agrupado;todos;3;weighted avg;0.8779615864361626;0.8753246753246753;0.8751224991224992;385.0
svm;agrupado;todos;4;IRRIG;0.9293478260869565;0.8860103626943006;0.9071618037135278;193.0
svm;agrupado;todos;4;NIRRIG;0.8905472636815921;0.9322916666666666;0.910941475826972;192.0
svm;agrupado;todos;4;accuracy;0.9090909090909091;0.9090909090909091;0.9090909090909091;0.9090909090909091
svm;agrupado;todos;4;macro avg;0.9099475448842743;0.9091510146804835;0.9090516397702499;385.0
svm;agrupado;todos;4;weighted avg;0.9099979352250606;0.9090909090909091;0.9090467311051675;385.0
svm;agrupado;todos;5;IRRIG;0.8757062146892656;0.8072916666666666;0.8401084010840109;192.0
svm;agrupado;todos;5;NIRRIG;0.821256038647343;0.8854166666666666;0.8521303258145363;192.0
svm;agrupado;todos;5;accuracy;0.8463541666666666;0.8463541666666666;0.8463541666666666;0.8463541666666666
svm;agrupado;todos;5;macro avg;0.8484811266683043;0.8463541666666666;0.8461193634492736;384.0
svm;agrupado;todos;5;weighted avg;0.8484811266683042;0.8463541666666666;0.8461193634492736;384.0
