modelo;modo;genotipo_avaliado;fold;split;indice_amostra;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia
gradient_boosting;por_genotipo;BR16;1;treino;1;B1_BR16_IRRIG_REPROD00001.asd;B1;BR16;IRRIG;D02M;manha;D02
gradient_boosting;por_genotipo;BR16;1;treino;2;B1_BR16_IRRIG_REPROD00002.asd;B1;BR16;IRRIG;D02M;manha;D02
gradient_boosting;por_genotipo;BR16;1;treino;3;B1_BR16_IRRIG_REPROD00003.asd;B1;BR16;IRRIG;D02M;manha;D02
gradient_boosting;por_genotipo;BR16;1;treino;4;B1_BR16_IRRIG_REPROD00004.asd;B1;BR16;IRRIG;D02M;manha;D02
gradient_boosting;por_genotipo;BR16;1;treino;5;B1_BR16_IRRIG_REPROD00005.asd;B1;BR16;IRRIG;D02M;manha;D02
gradient_boosting;por_genotipo;BR16;1;treino;6;B1_BR16_IRRIG_REPROD00006.asd;B1;BR16;IRRIG;D02M;manha;D02
gradient_boosting;por_genotipo;BR16;1;treino;7;B1_BR16_IRRIG_REPROD00007.asd;B1;BR16;IRRIG;D02M;manha;D02
gradient_boosting;por_genotipo;BR16;1;treino;8;B1_BR16_NIRRIG_REPROD00000.asd;B1;BR16;NIRRIG;D02M;manha;D02
gradient_boosting;por_genotipo;BR16;1;treino;10;B1_BR16_NIRRIG_REPROD00002.asd;B1;BR16;NIRRIG;D02M;manha;D02
gradient_boosting;por_genotipo;BR16;1;treino;13;B1_BR16_NIRRIG_REPROD00005.asd;B1;BR16;NIRRIG;D02M;manha;D02
gradient_boosting;por_genotipo;BR16;1;treino;14;B1_BR16_NIRRIG_REPROD00006.asd;B1;BR16;NIRRIG;D02M;manha;D02
gradient_boosting;por_genotipo;BR16;1;treino;16;B2_BR16_IRRIG_REPROD00000.asd;B2;BR16;IRRIG;D02M;manha;D02
gradient_boosting;por_genotipo;BR16;1;treino;17;B2_BR16_IRRIG_REPROD00001.asd;B2;BR16;IRRIG;D02M;manha;D02
gradient_boosting;por_genotipo;BR16;1;treino;18;B2_BR16_IRRIG_REPROD00002.asd;B2;BR16;IRRIG;D02M;manha;D02
gradient_boosting;por_genotipo;BR16;1;treino;19;B2_BR16_IRRIG_REPROD00003.asd;B2;BR16;IRRIG;D02M;manha;D02
gradient_boosting;por_genotipo;BR16;1;treino;20;B2_BR16_IRRIG_REPROD00004.asd;B2;BR16;IRRIG;D02M;manha;D02
gradient_boosting;por_genotipo;BR16;1;treino;21;B2_BR16_IRRIG_REPROD00005.asd;B2;BR16;IRRIG;D02M;manha;D02
