modelo;modo;genotipo;fold;real;predito;n
gradient_boosting;por_genotipo;BR16;1;IRRIG;IRRIG;40
gradient_boosting;por_genotipo;BR16;1;NIRRIG;IRRIG;2
gradient_boosting;por_genotipo;BR16;1;IRRIG;NIRRIG;4
gradient_boosting;por_genotipo;BR16;1;NIRRIG;NIRRIG;43
gradient_boosting;por_genotipo;BR16;2;IRRIG;IRRIG;43
gradient_boosting;por_genotipo;BR16;2;NIRRIG;IRRIG;1
gradient_boosting;por_genotipo;BR16;2;IRRIG;NIRRIG;2
gradient_boosting;por_genotipo;BR16;2;NIRRIG;NIRRIG;45
gradient_boosting;por_genotipo;BR16;3;IRRIG;IRRIG;43
gradient_boosting;por_genotipo;BR16;3;NIRRIG;IRRIG;1
gradient_boosting;por_genotipo;BR16;3;IRRIG;NIRRIG;1
gradient_boosting;por_genotipo;BR16;3;NIRRIG;NIRRIG;44
gradient_boosting;por_genotipo;BR16;4;IRRIG;IRRIG;44
gradient_boosting;por_genotipo;BR16;4;NIRRIG;IRRIG;3
gradient_boosting;por_genotipo;BR16;4;IRRIG;NIRRIG;1
gradient_boosting;por_genotipo;BR16;4;NIRRIG;NIRRIG;41
gradient_boosting;por_genotipo;BR16;5;IRRIG;IRRIG;43
gradient_boosting;por_genotipo;BR16;5;NIRRIG;IRRIG;0
gradient_boosting;por_genotipo;BR16;5;IRRIG;NIRRIG;3
gradient_boosting;por_genotipo;BR16;5;NIRRIG;NIRRIG;44
