modelo;modo;genotipo;fold;banda_nm;coeficiente
pls_da;por_genotipo;BR16;1;1360;-7.823203391453388
pls_da;por_genotipo;BR16;1;1942;2.8879870980302744
pls_da;por_genotipo;BR16;1;1387;-1.5129051889212972
pls_da;por_genotipo;BR16;1;425;-1.1612393597868964
pls_da;por_genotipo;BR16;1;1844;-1.0047155794202363
pls_da;por_genotipo;BR16;2;1360;-7.972306791823406
pls_da;por_genotipo;BR16;2;1942;2.827340757557832
pls_da;por_genotipo;BR16;2;1844;-1.2031311462600747
pls_da;por_genotipo;BR16;2;425;-1.1731224119628185
pls_da;por_genotipo;BR16;2;1387;-1.142225330941466
pls_da;por_genotipo;BR16;3;1360;-7.915405010856758
pls_da;por_genotipo;BR16;3;1942;2.894129825845662
pls_da;por_genotipo;BR16;3;1387;-1.335161872658235
pls_da;por_genotipo;BR16;3;1844;-1.2530154946617902
pls_da;por_genotipo;BR16;3;425;-1.1993726313918354
pls_da;por_genotipo;BR16;4;1360;-8.1041092936606
pls_da;por_genotipo;BR16;4;1942;2.8531117995150073
pls_da;por_genotipo;BR16;4;1844;-1.379546402622711
pls_da;por_genotipo;BR16;4;1387;-1.3369028063679536
pls_da;por_genotipo;BR16;4;425;-1.1181271263415495
pls_da;por_genotipo;BR16;5;1360;-8.148229879368301
pls_da;por_genotipo;BR16;5;1942;3.039127380526606
pls_da;por_genotipo;BR16;5;1387;-1.506215812110981
pls_da;por_genotipo;BR16;5;1844;-1.2411456531065623
pls_da;por_genotipo;BR16;5;425;-1.211550297043939
