modelo;modo;genotipo;fold;real;predito;n
pls_da;por_genotipo;BR16;1;IRRIG;IRRIG;57
pls_da;por_genotipo;BR16;1;NIRRIG;IRRIG;18
pls_da;por_genotipo;BR16;1;IRRIG;NIRRIG;9
pls_da;por_genotipo;BR16;1;NIRRIG;NIRRIG;46
pls_da;por_genotipo;BR16;2;IRRIG;IRRIG;48
pls_da;por_genotipo;BR16;2;NIRRIG;IRRIG;14
pls_da;por_genotipo;BR16;2;IRRIG;NIRRIG;16
pls_da;por_genotipo;BR16;2;NIRRIG;NIRRIG;50
pls_da;por_genotipo;BR16;3;IRRIG;IRRIG;52
pls_da;por_genotipo;BR16;3;NIRRIG;IRRIG;20
pls_da;por_genotipo;BR16;3;IRRIG;NIRRIG;12
pls_da;por_genotipo;BR16;3;NIRRIG;NIRRIG;44
pls_da;por_genotipo;BR16;4;IRRIG;IRRIG;48
pls_da;por_genotipo;BR16;4;NIRRIG;IRRIG;12
pls_da;por_genotipo;BR16;4;IRRIG;NIRRIG;15
pls_da;por_genotipo;BR16;4;NIRRIG;NIRRIG;52
pls_da;por_genotipo;BR16;5;IRRIG;IRRIG;48
pls_da;por_genotipo;BR16;5;NIRRIG;IRRIG;20
pls_da;por_genotipo;BR16;5;IRRIG;NIRRIG;15
pls_da;por_genotipo;BR16;5;NIRRIG;NIRRIG;44
