modelo;modo;genotipo_avaliado;fold;indice_amostra;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia;classe_real;classe_predita;score_NIRRIG;acerto;1560;400;719;2039;520
pls_da;por_genotipo;BR16;1;6;B1_BR16_IRRIG_REPROD00006.asd;B1;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.42390571132716537;True;0.37851213520548616;-1.4443337450998426;0.008963920156054003;-0.8162600877936902;-1.4541577460319157
pls_da;por_genotipo;BR16;1;12;B1_BR16_NIRRIG_REPROD00004.asd;B1;BR16;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.4568718340941852;False;0.4094015573357596;-1.521457398528606;-0.0695555628640555;-0.739779728719248;-1.5327738224312872
pls_da;por_genotipo;BR16;1;13;B1_BR16_NIRRIG_REPROD00005.asd;B1;BR16;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.4621314557728708;False;0.4111856627337101;-1.534054702686668;-0.07123195215381765;-0.7353100046679674;-1.536928295505472
pls_da;por_genotipo;BR16;1;14;B1_BR16_NIRRIG_REPROD00006.asd;B1;BR16;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.4639622354468676;False;0.41304785082267087;-1.5347749413155134;-0.07161025418937787;-0.7323467737492037;-1.540125278846647
pls_da;por_genotipo;BR16;1;17;B2_BR16_IRRIG_REPROD00001.asd;B2;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4459962335952311;True;0.4014170254344711;-1.5096816766955934;-0.06675336071593889;-0.7559875036710972;-1.5169741973642135
pls_da;por_genotipo;BR16;1;21;B2_BR16_IRRIG_REPROD00005.asd;B2;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4975351602703481;True;0.42088588599063076;-1.5467009127240583;0.0003393118869301359;-0.7203975000047241;-1.5816852807401216
pls_da;por_genotipo;BR16;1;25;B2_BR16_NIRRIG_REPROD00001.asd;B2;BR16;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.4853397728366031;False;0.4019335056465706;-1.499466921579009;0.07455228709292867;-0.7683200432323101;-1.5167038960162775
pls_da;por_genotipo;BR16;1;26;B2_BR16_NIRRIG_REPROD00002.asd;B2;BR16;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.486694415360997;False;0.4024572519552764;-1.5043144685727976;0.07093655365977497;-0.7650762952335508;-1.5210272288723798
pls_da;por_genotipo;BR16;1;33;B3_BR16_IRRIG_REPROD00001.asd;B3;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4721879898922861;True;0.4119325569771249;-1.509552778352121;0.0003462481090860976;-0.7588230127354688;-1.5365770347435308
pls_da;por_genotipo;BR16;1;42;B3_BR16_NIRRIG_REPROD00002.asd;B3;BR16;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.5493908730340193;True;0.44287542111323464;-1.5877827569845908;0.08273143862223006;-0.7165783874983287;-1.5579206374990326
pls_da;por_genotipo;BR16;1;54;B4_BR16_IRRIG_REPROD00006.asd;B4;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4749055110263149;True;0.4154269206201804;-1.5427805677317223;-0.05297681650927809;-0.7261043606895495;-1.5690101392142635
pls_da;por_genotipo;BR16;1;55;B4_BR16_IRRIG_REPROD00007.asd;B4;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4766908247866558;True;0.41360212471327595;-1.546297546542507;-0.04799648846832749;-0.7255788260959994;-1.5687944493665191
pls_da;por_genotipo;BR16;1;56;B4_BR16_NIRRIG_REPROD00000.asd;B4;BR16;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.5171946754936098;True;0.47317559110996427;-1.5919223333739316;-0.09465381663271553;-0.6875842164304249;-1.6081557123916426
pls_da;por_genotipo;BR16;1;198;B1_BR16_IRRIG_REPROD00006.asd;B1;BR16;IRRIG;D02T;tarde;D02;IRRIG;IRRIG;0.45722204344497436;True;0.39330589694730467;-1.4879927714845766;0.027679161541757733;-0.7894144295680872;-1.475282421092528
pls_da;por_genotipo;BR16;1;204;B1_BR16_NIRRIG_REPROD00004.asd;B1;BR16;NIRRIG;D02T;tarde;D02;NIRRIG;NIRRIG;0.5086995625777359;True;0.4580612241840537;-1.6470589996335463;-0.15891115674095002;-0.6720193183669104;-1.6057280578030897
pls_da;por_genotipo;BR16;1;205;B1_BR16_NIRRIG_REPROD00005.asd;B1;BR16;NIRRIG;D02T;tarde;D02;NIRRIG;NIRRIG;0.5094310789420299;True;0.4590501838083951;-1.6458054951571903;-0.15858949173490802;-0.6701726611075807;-1.6071688156845634
pls_da;por_genotipo;BR16;1;206;B1_BR16_NIRRIG_REPROD00006.asd;B1;BR16;NIRRIG;D02T;tarde;D02;NIRRIG;NIRRIG;0.5093954170170041;True;0.45812563966636666;-1.6427153055464694;-0.15497897101105665;-0.6693086887727059;-1.6066482424342527
pls_da;por_genotipo;BR16;1;209;B2_BR16_IRRIG_REPROD00001.asd;B2;BR16;IRRIG;D02T;tarde;D02;IRRIG;IRRIG;0.49956481827597893;True;0.4348506423546687;-1.540487044337826;-0.025965621427255284;-0.7035652602911294;-1.5466234148241378
pls_da;por_genotipo;BR16;1;213;B2_BR16_IRRIG_REPROD00005.asd;B2;BR16;IRRIG;D02T;tarde;D02;IRRIG;NIRRIG;0.5790689306292798;False;0.4616136846193507;-1.6183421917552325;0.07583666056465525;-0.6646516829971727;-1.5881317823059928
pls_da;por_genotipo;BR16;1;217;B2_BR16_NIRRIG_REPROD00001.asd;B2;BR16;NIRRIG;D02T;tarde;D02;NIRRIG;NIRRIG;0.5851414973663176;True;0.4793497793496843;-1.6283085294852386;0.06264177061144463;-0.6724424244163649;-1.6047331630421737
pls_da;por_genotipo;BR16;1;218;B2_BR16_NIRRIG_REPROD00002.asd;B2;BR16;NIRRIG;D02T;tarde;D02;NIRRIG;NIRRIG;0.5872109738804266;True;0.48014866312388127;-1.62895752038551;0.06670100436318349;-0.6717576892300895;-1.6028820458291189
pls_da;por_genotipo;BR16;1;225;B3_BR16_IRRIG_REPROD00001.asd;B3;BR16;IRRIG;D02T;tarde;D02;IRRIG;IRRIG;0.4929649045647033;True;0.3795629214619151;-1.5143888871121807;0.08316295289667922;-0.7195440642686416;-1.5082073098016722
pls_da;por_genotipo;BR16;1;234;B3_BR16_NIRRIG_REPROD00002.asd;B3;BR16;NIRRIG;D02T;tarde;D02;NIRRIG;NIRRIG;0.6005642100688736;True;0.43629157036589217;-1.6631950409262586;0.11731374171520875;-0.6283975886505686;-1.5856130902935328
pls_da;por_genotipo;BR16;1;246;B4_BR16_IRRIG_REPROD00006.asd;B4;BR16;IRRIG;D02T;tarde;D02;IRRIG;NIRRIG;0.5387750312558265;False;0.4036905464837715;-1.5595482030920162;0.11869719909925854;-0.6893811107856832;-1.5047734409616313
pls_da;por_genotipo;BR16;1;247;B4_BR16_IRRIG_REPROD00007.asd;B4;BR16;IRRIG;D02T;tarde;D02;IRRIG;NIRRIG;0.5414218408647137;False;0.40859235591350107;-1.5551110407775168;0.12155836086828319;-0.6877088708596486;-1.5093377280416758
pls_da;por_genotipo;BR16;1;248;B4_BR16_NIRRIG_REPROD00000.asd;B4;BR16;NIRRIG;D02T;tarde;D02;NIRRIG;NIRRIG;0.5836895919317907;True;0.48391791314513016;-1.6785623697656769;-0.03923515078491384;-0.6171892989403978;-1.6420903552563066
pls_da;por_genotipo;BR16;1;390;B1_BR16_IRRIG_REPROD00006.asd;B1;BR16;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.4421567675472923;True;0.42040035842687995;-1.5127829354751665;-0.12889260494370197;-0.7348442059804228;-1.5775641948979122
pls_da;por_genotipo;BR16;1;396;B1_BR16_NIRRIG_REPROD00004.asd;B1;BR16;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;0.588627925832413;True;0.45084100080904893;-1.76256650022302;-0.05856529507561457;-0.600496480795146;-1.6329429177559367
pls_da;por_genotipo;BR16;1;397;B1_BR16_NIRRIG_REPROD00005.asd;B1;BR16;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;0.5947112974919132;True;0.45976262670603796;-1.771409361639698;-0.07050482788875666;-0.5897263314039126;-1.6470774258826115
pls_da;por_genotipo;BR16;1;398;B1_BR16_NIRRIG_REPROD00006.asd;B1;BR16;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;0.6008263099918261;True;0.4621401099310137;-1.7876026926312991;-0.0742082473633104;-0.5839544775713045;-1.6525938736869081
pls_da;por_genotipo;BR16;1;401;B2_BR16_IRRIG_REPROD00001.asd;B2;BR16;IRRIG;D03M;manha;D03;IRRIG;NIRRIG;0.5272366851906632;False;0.44174874286981786;-1.5933605652309646;-0.01513202018161148;-0.6826611008418549;-1.6116569132679182
pls_da;por_genotipo;BR16;1;405;B2_BR16_IRRIG_REPROD00005.asd;B2;BR16;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.4930694666909212;True;0.40500715845840185;-1.5490425029926012;0.013841969971051096;-0.726663701015726;-1.5069415802004826
