modelo;modo;genotipo;fold;fpr;tpr;threshold
random_forest;por_genotipo;BR16;1;0.0;0.0;inf
random_forest;por_genotipo;BR16;1;0.0;0.09375;1.0
random_forest;por_genotipo;BR16;1;0.0;0.1875;0.994
random_forest;por_genotipo;BR16;1;0.0;0.28125;0.964
random_forest;por_genotipo;BR16;1;0.0;0.3125;0.956
random_forest;por_genotipo;BR16;1;0.0;0.328125;0.954
random_forest;por_genotipo;BR16;1;0.0;0.359375;0.94
random_forest;por_genotipo;BR16;1;0.0;0.40625;0.936
random_forest;por_genotipo;BR16;1;0.0;0.515625;0.88
random_forest;por_genotipo;BR16;1;0.0;0.640625;0.852
random_forest;por_genotipo;BR16;1;0.0;0.671875;0.828
random_forest;por_genotipo;BR16;1;0.0;0.734375;0.814
random_forest;por_genotipo;BR16;1;0.0;0.875;0.73
random_forest;por_genotipo;BR16;1;0.015151515151515152;0.875;0.722
random_forest;por_genotipo;BR16;1;0.015151515151515152;0.96875;0.548
random_forest;por_genotipo;BR16;1;0.030303030303030304;0.96875;0.51
random_forest;por_genotipo;BR16;1;0.030303030303030304;1.0;0.46
random_forest;por_genotipo;BR16;1;0.45454545454545453;1.0;0.046
random_forest;por_genotipo;BR16;1;0.48484848484848486;1.0;0.04
random_forest;por_genotipo;BR16;1;0.5;1.0;0.03
random_forest;por_genotipo;BR16;1;0.5606060606060606;1.0;0.022
random_forest;por_genotipo;BR16;1;0.5757575757575758;1.0;0.02
random_forest;por_genotipo;BR16;1;0.6060606060606061;1.0;0.016
random_forest;por_genotipo;BR16;1;0.6212121212121212;1.0;0.012
random_forest;por_genotipo;BR16;1;0.6818181818181818;1.0;0.01
random_forest;por_genotipo;BR16;1;0.7727272727272727;1.0;0.008
random_forest;por_genotipo;BR16;1;0.8181818181818182;1.0;0.006
random_forest;por_genotipo;BR16;1;1.0;1.0;0.0
random_forest;por_genotipo;BR16;2;0.0;0.0;inf
random_forest;por_genotipo;BR16;2;0.0;0.109375;1.0
random_forest;por_genotipo;BR16;2;0.0;0.171875;0.998
random_forest;por_genotipo;BR16;2;0.0;0.21875;0.992
random_forest;por_genotipo;BR16;2;0.0;0.25;0.99
random_forest;por_genotipo;BR16;2;0.0;0.296875;0.98
random_forest;por_genotipo;BR16;2;0.0;0.34375;0.976
random_forest;por_genotipo;BR16;2;0.0;0.359375;0.972
random_forest;por_genotipo;BR16;2;0.0;0.390625;0.968
random_forest;por_genotipo;BR16;2;0.0;0.515625;0.934
random_forest;por_genotipo;BR16;2;0.0;0.546875;0.932
random_forest;por_genotipo;BR16;2;0.0;0.5625;0.922
random_forest;por_genotipo;BR16;2;0.0;0.59375;0.92
random_forest;por_genotipo;BR16;2;0.0;0.640625;0.892
random_forest;por_genotipo;BR16;2;0.0;0.671875;0.884
random_forest;por_genotipo;BR16;2;0.0;0.765625;0.808
random_forest;por_genotipo;BR16;2;0.0;0.796875;0.786
random_forest;por_genotipo;BR16;2;0.015625;0.796875;0.782
random_forest;por_genotipo;BR16;2;0.015625;0.859375;0.718
random_forest;por_genotipo;BR16;2;0.015625;0.890625;0.67
random_forest;por_genotipo;BR16;2;0.015625;0.984375;0.472
random_forest;por_genotipo;BR16;2;0.046875;0.984375;0.426
random_forest;por_genotipo;BR16;2;0.046875;1.0;0.41
random_forest;por_genotipo;BR16;2;0.15625;1.0;0.258
random_forest;por_genotipo;BR16;2;0.21875;1.0;0.226
random_forest;por_genotipo;BR16;2;0.3125;1.0;0.132
random_forest;por_genotipo;BR16;2;0.375;1.0;0.116
random_forest;por_genotipo;BR16;2;0.40625;1.0;0.106
random_forest;por_genotipo;BR16;2;0.4375;1.0;0.086
random_forest;por_genotipo;BR16;2;0.515625;1.0;0.058
random_forest;por_genotipo;BR16;2;0.546875;1.0;0.056
random_forest;por_genotipo;BR16;2;0.578125;1.0;0.042
random_forest;por_genotipo;BR16;2;0.609375;1.0;0.04
random_forest;por_genotipo;BR16;2;0.75;1.0;0.014
random_forest;por_genotipo;BR16;2;0.78125;1.0;0.012
