modelo;modo;genotipo;fold;fpr;tpr;threshold
svm;por_genotipo;BR16;1;0.0;0.0;inf
svm;por_genotipo;BR16;1;0.0;0.015625;1.961988481749411
svm;por_genotipo;BR16;1;0.0;0.578125;0.708211014937183
svm;por_genotipo;BR16;1;0.015151515151515152;0.578125;0.6672317268413066
svm;por_genotipo;BR16;1;0.015151515151515152;0.65625;0.49318803707012443
svm;por_genotipo;BR16;1;0.030303030303030304;0.65625;0.45759567083505176
svm;por_genotipo;BR16;1;0.030303030303030304;0.71875;0.3164228436080649
svm;por_genotipo;BR16;1;0.06060606060606061;0.71875;0.3088043845130957
svm;por_genotipo;BR16;1;0.06060606060606061;0.75;0.2786139793239229
svm;por_genotipo;BR16;1;0.07575757575757576;0.75;0.2773969958157783
svm;por_genotipo;BR16;1;0.07575757575757576;0.78125;0.2439197964625262
svm;por_genotipo;BR16;1;0.10606060606060606;0.78125;0.19006481801266178
svm;por_genotipo;BR16;1;0.10606060606060606;0.875;-0.06406614956431862
svm;por_genotipo;BR16;1;0.13636363636363635;0.875;-0.1338623428991928
svm;por_genotipo;BR16;1;0.13636363636363635;0.890625;-0.17116197204516942
svm;por_genotipo;BR16;1;0.19696969696969696;0.890625;-0.2825073555040895
svm;por_genotipo;BR16;1;0.19696969696969696;0.90625;-0.3559795932221283
svm;por_genotipo;BR16;1;0.21212121212121213;0.90625;-0.394021848328961
svm;por_genotipo;BR16;1;0.21212121212121213;0.921875;-0.4350016446303852
svm;por_genotipo;BR16;1;0.25757575757575757;0.921875;-0.4751957104461872
svm;por_genotipo;BR16;1;0.25757575757575757;0.9375;-0.4994073837047382
svm;por_genotipo;BR16;1;0.2878787878787879;0.9375;-0.5653221723698101
svm;por_genotipo;BR16;1;0.2878787878787879;0.984375;-0.6096764859885285
svm;por_genotipo;BR16;1;0.3484848484848485;0.984375;-0.7396442826213545
svm;por_genotipo;BR16;1;0.3484848484848485;1.0;-0.7898496883209929
svm;por_genotipo;BR16;1;1.0;1.0;-2.8814552560748345
svm;por_genotipo;BR16;2;0.0;0.0;inf
svm;por_genotipo;BR16;2;0.0;0.015625;1.8467671782542254
svm;por_genotipo;BR16;2;0.0;0.203125;1.4997469205302154
svm;por_genotipo;BR16;2;0.015625;0.203125;1.4436214209798264
svm;por_genotipo;BR16;2;0.015625;0.53125;1.0797886171972788
svm;por_genotipo;BR16;2;0.03125;0.53125;1.0726733538881386
svm;por_genotipo;BR16;2;0.03125;0.765625;0.8372003697825633
svm;por_genotipo;BR16;2;0.046875;0.765625;0.8308736767625415
svm;por_genotipo;BR16;2;0.046875;0.78125;0.7846696286929252
svm;por_genotipo;BR16;2;0.0625;0.78125;0.77523893590782
svm;por_genotipo;BR16;2;0.0625;0.890625;0.3301298316394774
svm;por_genotipo;BR16;2;0.109375;0.890625;0.19582381790432024
svm;por_genotipo;BR16;2;0.109375;0.921875;0.07969459779525197
svm;por_genotipo;BR16;2;0.25;0.921875;-0.15112416786949628
svm;por_genotipo;BR16;2;0.25;0.9375;-0.2923235135247586
svm;por_genotipo;BR16;2;0.265625;0.9375;-0.3081736705661819
svm;por_genotipo;BR16;2;0.265625;0.953125;-0.32670303589984817
svm;por_genotipo;BR16;2;0.328125;0.953125;-0.5600152330195998
svm;por_genotipo;BR16;2;0.328125;0.984375;-0.6633842311886874
svm;por_genotipo;BR16;2;0.375;0.984375;-0.7020494236478442
svm;por_genotipo;BR16;2;0.375;1.0;-0.7381509274467245
svm;por_genotipo;BR16;2;1.0;1.0;-2.54581258614266
svm;por_genotipo;BR16;3;0.0;0.0;inf
svm;por_genotipo;BR16;3;0.0;0.015625;1.5914578077129553
svm;por_genotipo;BR16;3;0.0;0.671875;0.8775649865925975
svm;por_genotipo;BR16;3;0.015625;0.671875;0.8590348970557898
svm;por_genotipo;BR16;3;0.015625;0.765625;0.7596400629420997
svm;por_genotipo;BR16;3;0.03125;0.765625;0.6391600276129835
svm;por_genotipo;BR16;3;0.03125;0.796875;0.6230084346732108
svm;por_genotipo;BR16;3;0.046875;0.796875;0.6006738312927812
svm;por_genotipo;BR16;3;0.046875;0.84375;0.42373884697719866
svm;por_genotipo;BR16;3;0.0625;0.84375;0.38663053932697944
svm;por_genotipo;BR16;3;0.0625;0.859375;0.37964046318193967
svm;por_genotipo;BR16;3;0.078125;0.859375;0.33990968050677206
svm;por_genotipo;BR16;3;0.078125;0.890625;0.2293219415520308
svm;por_genotipo;BR16;3;0.09375;0.890625;0.18532703305305706
svm;por_genotipo;BR16;3;0.09375;0.90625;0.17605970647616356
svm;por_genotipo;BR16;3;0.1875;0.90625;-0.1610496545668146
svm;por_genotipo;BR16;3;0.1875;0.921875;-0.2671471067978104
svm;por_genotipo;BR16;3;0.21875;0.921875;-0.43514347089908567
svm;por_genotipo;BR16;3;0.21875;0.9375;-0.4797718879955525
svm;por_genotipo;BR16;3;0.28125;0.9375;-0.5551958725133791
svm;por_genotipo;BR16;3;0.28125;0.953125;-0.5686990496617169
svm;por_genotipo;BR16;3;0.296875;0.953125;-0.591119929083921
svm;por_genotipo;BR16;3;0.296875;0.984375;-0.6128944531123721
svm;por_genotipo;BR16;3;0.4375;0.984375;-0.8893610539280281
svm;por_genotipo;BR16;3;0.4375;1.0;-0.9655799516528499
svm;por_genotipo;BR16;3;1.0;1.0;-2.8432457753732447
svm;por_genotipo;BR16;4;0.0;0.0;inf
svm;por_genotipo;BR16;4;0.0;0.015625;1.8453731916720193
svm;por_genotipo;BR16;4;0.0;0.71875;0.765497964921864
svm;por_genotipo;BR16;4;0.015873015873015872;0.71875;0.7595920533136793
svm;por_genotipo;BR16;4;0.015873015873015872;0.796875;0.546126112896113
svm;por_genotipo;BR16;4;0.031746031746031744;0.796875;0.2763167767398033
svm;por_genotipo;BR16;4;0.031746031746031744;0.828125;0.21967532397173165
svm;por_genotipo;BR16;4;0.06349206349206349;0.828125;0.19897726412478636
svm;por_genotipo;BR16;4;0.06349206349206349;0.875;0.1166583781847371
svm;por_genotipo;BR16;4;0.12698412698412698;0.875;-0.04390516930004778
svm;por_genotipo;BR16;4;0.12698412698412698;0.890625;-0.05268375054766824
svm;por_genotipo;BR16;4;0.15873015873015872;0.890625;-0.09721092969143272
svm;por_genotipo;BR16;4;0.15873015873015872;0.90625;-0.1703301936387945
svm;por_genotipo;BR16;4;0.19047619047619047;0.90625;-0.23401687160260284
svm;por_genotipo;BR16;4;0.19047619047619047;0.921875;-0.3401902038920564
svm;por_genotipo;BR16;4;0.20634920634920634;0.921875;-0.3653479128168971
svm;por_genotipo;BR16;4;0.20634920634920634;0.953125;-0.7043966570445469
svm;por_genotipo;BR16;4;0.23809523809523808;0.953125;-0.7602786140542811
svm;por_genotipo;BR16;4;0.23809523809523808;1.0;-0.7913008472996504
svm;por_genotipo;BR16;4;1.0;1.0;-2.8702597128472704
svm;por_genotipo;BR16;5;0.0;0.0;inf
svm;por_genotipo;BR16;5;0.015873015873015872;0.0;1.8095196696348426
svm;por_genotipo;BR16;5;0.015873015873015872;0.28125;1.2474112848491237
svm;por_genotipo;BR16;5;0.031746031746031744;0.28125;1.23855240148626
svm;por_genotipo;BR16;5;0.031746031746031744;0.640625;0.8615684556734772
svm;por_genotipo;BR16;5;0.047619047619047616;0.640625;0.843502487836594
svm;por_genotipo;BR16;5;0.047619047619047616;0.65625;0.76532802084926
svm;por_genotipo;BR16;5;0.06349206349206349;0.65625;0.7587196701194531
svm;por_genotipo;BR16;5;0.06349206349206349;0.8125;0.6040917826359659
svm;por_genotipo;BR16;5;0.09523809523809523;0.8125;0.5283927384202131
svm;por_genotipo;BR16;5;0.09523809523809523;0.828125;0.4767279596117052
svm;por_genotipo;BR16;5;0.1111111111111111;0.828125;0.42472950523322284
svm;por_genotipo;BR16;5;0.1111111111111111;0.859375;0.3217425612858873
svm;por_genotipo;BR16;5;0.12698412698412698;0.859375;0.31641413235309945
svm;por_genotipo;BR16;5;0.12698412698412698;0.875;0.15089710375221296
svm;por_genotipo;BR16;5;0.25396825396825395;0.875;-0.07672826195859964
svm;por_genotipo;BR16;5;0.25396825396825395;0.890625;-0.1207331805170309
svm;por_genotipo;BR16;5;0.30158730158730157;0.890625;-0.185878423174163
svm;por_genotipo;BR16;5;0.30158730158730157;0.96875;-0.440549411480189
svm;por_genotipo;BR16;5;0.3492063492063492;0.96875;-0.5858647896995813
svm;por_genotipo;BR16;5;0.3492063492063492;0.984375;-0.6059538491934728
svm;por_genotipo;BR16;5;0.42857142857142855;0.984375;-0.7665539938138375
svm;por_genotipo;BR16;5;0.42857142857142855;1.0;-0.8832512765333206
svm;por_genotipo;BR16;5;1.0;1.0;-2.463503055706335
