modelo;modo;genotipo_avaliado;fold;split;indice_amostra;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia
svm;por_genotipo;BR16;1;treino;0;B1_BR16_IRRIG_REPROD00000.asd;B1;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;1;B1_BR16_IRRIG_REPROD00001.asd;B1;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;2;B1_BR16_IRRIG_REPROD00002.asd;B1;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;3;B1_BR16_IRRIG_REPROD00003.asd;B1;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;4;B1_BR16_IRRIG_REPROD00004.asd;B1;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;5;B1_BR16_IRRIG_REPROD00005.asd;B1;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;7;B1_BR16_IRRIG_REPROD00007.asd;B1;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;8;B1_BR16_NIRRIG_REPROD00000.asd;B1;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;9;B1_BR16_NIRRIG_REPROD00001.asd;B1;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;10;B1_BR16_NIRRIG_REPROD00002.asd;B1;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;11;B1_BR16_NIRRIG_REPROD00003.asd;B1;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;15;B1_BR16_NIRRIG_REPROD00007.asd;B1;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;16;B2_BR16_IRRIG_REPROD00000.asd;B2;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;18;B2_BR16_IRRIG_REPROD00002.asd;B2;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;19;B2_BR16_IRRIG_REPROD00003.asd;B2;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;20;B2_BR16_IRRIG_REPROD00004.asd;B2;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;22;B2_BR16_IRRIG_REPROD00006.asd;B2;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;23;B2_BR16_IRRIG_REPROD00007.asd;B2;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;24;B2_BR16_NIRRIG_REPROD00000.asd;B2;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;27;B2_BR16_NIRRIG_REPROD00003.asd;B2;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;28;B2_BR16_NIRRIG_REPROD00004.asd;B2;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;29;B2_BR16_NIRRIG_REPROD00005.asd;B2;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;30;B2_BR16_NIRRIG_REPROD00006.asd;B2;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;31;B2_BR16_NIRRIG_REPROD00007.asd;B2;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;32;B3_BR16_IRRIG_REPROD00000.asd;B3;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;34;B3_BR16_IRRIG_REPROD00002.asd;B3;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;35;B3_BR16_IRRIG_REPROD00003.asd;B3;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;36;B3_BR16_IRRIG_REPROD00004.asd;B3;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;37;B3_BR16_IRRIG_REPROD00005.asd;B3;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;38;B3_BR16_IRRIG_REPROD00006.asd;B3;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;39;B3_BR16_IRRIG_REPROD00007.asd;B3;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;40;B3_BR16_NIRRIG_REPROD00000.asd;B3;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;41;B3_BR16_NIRRIG_REPROD00001.asd;B3;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;43;B3_BR16_NIRRIG_REPROD00003.asd;B3;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;44;B3_BR16_NIRRIG_REPROD00004.asd;B3;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;45;B3_BR16_NIRRIG_REPROD00005.asd;B3;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;46;B3_BR16_NIRRIG_REPROD00006.asd;B3;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;47;B3_BR16_NIRRIG_REPROD00007.asd;B3;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;48;B4_BR16_IRRIG_REPROD00000.asd;B4;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;49;B4_BR16_IRRIG_REPROD00001.asd;B4;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;50;B4_BR16_IRRIG_REPROD00002.asd;B4;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;51;B4_BR16_IRRIG_REPROD00003.asd;B4;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;52;B4_BR16_IRRIG_REPROD00004.asd;B4;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;53;B4_BR16_IRRIG_REPROD00005.asd;B4;BR16;IRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;57;B4_BR16_NIRRIG_REPROD00001.asd;B4;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;58;B4_BR16_NIRRIG_REPROD00002.asd;B4;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;59;B4_BR16_NIRRIG_REPROD00003.asd;B4;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;60;B4_BR16_NIRRIG_REPROD00004.asd;B4;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;61;B4_BR16_NIRRIG_REPROD00005.asd;B4;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;62;B4_BR16_NIRRIG_REPROD00006.asd;B4;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;63;B4_BR16_NIRRIG_REPROD00007.asd;B4;BR16;NIRRIG;D02M;manha;D02
svm;por_genotipo;BR16;1;treino;192;B1_BR16_IRRIG_REPROD00000.asd;B1;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;193;B1_BR16_IRRIG_REPROD00001.asd;B1;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;194;B1_BR16_IRRIG_REPROD00002.asd;B1;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;195;B1_BR16_IRRIG_REPROD00003.asd;B1;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;196;B1_BR16_IRRIG_REPROD00004.asd;B1;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;197;B1_BR16_IRRIG_REPROD00005.asd;B1;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;199;B1_BR16_IRRIG_REPROD00007.asd;B1;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;200;B1_BR16_NIRRIG_REPROD00000.asd;B1;BR16;NIRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;201;B1_BR16_NIRRIG_REPROD00001.asd;B1;BR16;NIRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;202;B1_BR16_NIRRIG_REPROD00002.asd;B1;BR16;NIRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;203;B1_BR16_NIRRIG_REPROD00003.asd;B1;BR16;NIRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;207;B1_BR16_NIRRIG_REPROD00007.asd;B1;BR16;NIRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;208;B2_BR16_IRRIG_REPROD00000.asd;B2;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;210;B2_BR16_IRRIG_REPROD00002.asd;B2;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;211;B2_BR16_IRRIG_REPROD00003.asd;B2;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;212;B2_BR16_IRRIG_REPROD00004.asd;B2;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;214;B2_BR16_IRRIG_REPROD00006.asd;B2;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;215;B2_BR16_IRRIG_REPROD00007.asd;B2;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;216;B2_BR16_NIRRIG_REPROD00000.asd;B2;BR16;NIRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;219;B2_BR16_NIRRIG_REPROD00003.asd;B2;BR16;NIRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;220;B2_BR16_NIRRIG_REPROD00004.asd;B2;BR16;NIRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;221;B2_BR16_NIRRIG_REPROD00005.asd;B2;BR16;NIRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;222;B2_BR16_NIRRIG_REPROD00006.asd;B2;BR16;NIRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;223;B2_BR16_NIRRIG_REPROD00007.asd;B2;BR16;NIRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;224;B3_BR16_IRRIG_REPROD00000.asd;B3;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;226;B3_BR16_IRRIG_REPROD00002.asd;B3;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;227;B3_BR16_IRRIG_REPROD00003.asd;B3;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;228;B3_BR16_IRRIG_REPROD00004.asd;B3;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;229;B3_BR16_IRRIG_REPROD00005.asd;B3;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;230;B3_BR16_IRRIG_REPROD00006.asd;B3;BR16;IRRIG;D02T;tarde;D02
svm;por_genotipo;BR16;1;treino;231;B3_BR16_IRRIG_REPROD00007.asd;B3;BR16;IRRIG;D02T;tarde;D02
