modelo;modo;genotipo;fold;banda_nm;importancia_media;importancia_desvio
svm;por_genotipo;BR16;1;425;0.2868913857677902;0.03227065052964497
svm;por_genotipo;BR16;1;1942;0.12584269662921352;0.024513959808170137
svm;por_genotipo;BR16;1;1844;0.07977528089887641;0.024505374985701257
svm;por_genotipo;BR16;1;1387;0.06367041198501873;0.026324020061131964
svm;por_genotipo;BR16;1;1360;0.05243445692883896;0.015712492107418007
svm;por_genotipo;BR16;2;425;0.2890109890109891;0.04285714285714285
svm;por_genotipo;BR16;2;1942;0.1113553113553114;0.029313185382772965
svm;por_genotipo;BR16;2;1844;0.09120879120879127;0.02602795446665276
svm;por_genotipo;BR16;2;1387;0.06410256410256417;0.022890109597022697
svm;por_genotipo;BR16;2;1360;0.04688644688644694;0.022148302502316444
svm;por_genotipo;BR16;3;425;0.2588014981273408;0.04953033068380467
svm;por_genotipo;BR16;3;1942;0.10823970037453184;0.03288423638839077
svm;por_genotipo;BR16;3;1844;0.07453183520599252;0.028643728546814826
svm;por_genotipo;BR16;3;1387;0.06554307116104868;0.024112986670891186
svm;por_genotipo;BR16;3;1360;0.053932584269662937;0.017741901546557328
svm;por_genotipo;BR16;4;425;0.2973782771535581;0.044542528081853196
svm;por_genotipo;BR16;4;1942;0.1198501872659176;0.029490666194800785
svm;por_genotipo;BR16;4;1844;0.05955056179775282;0.02613416483059102
svm;por_genotipo;BR16;4;1387;0.03295880149812735;0.01944682394868489
svm;por_genotipo;BR16;4;1360;0.031835205992509365;0.013633164586667627
svm;por_genotipo;BR16;5;425;0.2759259259259259;0.0387121202969757
svm;por_genotipo;BR16;5;1942;0.12185185185185181;0.03226476544410694
svm;por_genotipo;BR16;5;1387;0.051111111111111066;0.024275510530628052
svm;por_genotipo;BR16;5;1360;0.043703703703703654;0.027206470625491773
svm;por_genotipo;BR16;5;1844;0.035925925925925875;0.020624675247890144
