modelo;modo;genotipo;fold;real;predito;n
svm;por_genotipo;BR16;1;IRRIG;IRRIG;38
svm;por_genotipo;BR16;1;NIRRIG;IRRIG;2
svm;por_genotipo;BR16;1;IRRIG;NIRRIG;6
svm;por_genotipo;BR16;1;NIRRIG;NIRRIG;43
svm;por_genotipo;BR16;2;IRRIG;IRRIG;42
svm;por_genotipo;BR16;2;NIRRIG;IRRIG;4
svm;por_genotipo;BR16;2;IRRIG;NIRRIG;3
svm;por_genotipo;BR16;2;NIRRIG;NIRRIG;42
svm;por_genotipo;BR16;3;IRRIG;IRRIG;40
svm;por_genotipo;BR16;3;NIRRIG;IRRIG;4
svm;por_genotipo;BR16;3;IRRIG;NIRRIG;4
svm;por_genotipo;BR16;3;NIRRIG;NIRRIG;41
svm;por_genotipo;BR16;4;IRRIG;IRRIG;41
svm;por_genotipo;BR16;4;NIRRIG;IRRIG;4
svm;por_genotipo;BR16;4;IRRIG;NIRRIG;4
svm;por_genotipo;BR16;4;NIRRIG;NIRRIG;40
svm;por_genotipo;BR16;5;IRRIG;IRRIG;41
svm;por_genotipo;BR16;5;NIRRIG;IRRIG;5
svm;por_genotipo;BR16;5;IRRIG;NIRRIG;5
svm;por_genotipo;BR16;5;NIRRIG;NIRRIG;39
