modelo;modo;genotipo;fold;real;predito;n
gradient_boosting;por_genotipo;CD202;1;IRRIG;IRRIG;59
gradient_boosting;por_genotipo;CD202;1;NIRRIG;IRRIG;3
gradient_boosting;por_genotipo;CD202;1;IRRIG;NIRRIG;7
gradient_boosting;por_genotipo;CD202;1;NIRRIG;NIRRIG;61
gradient_boosting;por_genotipo;CD202;2;IRRIG;IRRIG;60
gradient_boosting;por_genotipo;CD202;2;NIRRIG;IRRIG;0
gradient_boosting;por_genotipo;CD202;2;IRRIG;NIRRIG;5
gradient_boosting;por_genotipo;CD202;2;NIRRIG;NIRRIG;64
gradient_boosting;por_genotipo;CD202;3;IRRIG;IRRIG;61
gradient_boosting;por_genotipo;CD202;3;NIRRIG;IRRIG;3
gradient_boosting;por_genotipo;CD202;3;IRRIG;NIRRIG;3
gradient_boosting;por_genotipo;CD202;3;NIRRIG;NIRRIG;61
gradient_boosting;por_genotipo;CD202;4;IRRIG;IRRIG;62
gradient_boosting;por_genotipo;CD202;4;NIRRIG;IRRIG;3
gradient_boosting;por_genotipo;CD202;4;IRRIG;NIRRIG;3
gradient_boosting;por_genotipo;CD202;4;NIRRIG;NIRRIG;61
gradient_boosting;por_genotipo;CD202;5;IRRIG;IRRIG;59
gradient_boosting;por_genotipo;CD202;5;NIRRIG;IRRIG;5
gradient_boosting;por_genotipo;CD202;5;IRRIG;NIRRIG;5
gradient_boosting;por_genotipo;CD202;5;NIRRIG;NIRRIG;59
