modelo;modo;genotipo;fold;banda_nm;componente_1;componente_2
pls_da;por_genotipo;CD202;1;1530;-0.5359648936380312;0.07503478247331179
pls_da;por_genotipo;CD202;1;422;0.5475236766103785;-0.09684937338913013
pls_da;por_genotipo;CD202;1;723;0.005021647859600642;0.8257875985546704
pls_da;por_genotipo;CD202;1;899;0.42613104156436815;0.490719564258638
pls_da;por_genotipo;CD202;1;1949;-0.4809850047627972;0.24951779820373007
pls_da;por_genotipo;CD202;2;1530;-0.5323799115946896;0.011701788138738178
pls_da;por_genotipo;CD202;2;422;0.5551992341351163;-0.05024715263822268
pls_da;por_genotipo;CD202;2;723;-0.10611234332743046;0.8518904723829044
pls_da;por_genotipo;CD202;2;899;0.4295128679260626;0.48756559561529195
pls_da;por_genotipo;CD202;2;1949;-0.46106865760502597;0.18412144047243353
pls_da;por_genotipo;CD202;3;1530;-0.5390800379906049;0.07173214504078318
pls_da;por_genotipo;CD202;3;422;0.5510031826282261;-0.07303599868619916
pls_da;por_genotipo;CD202;3;723;-0.0247881296258974;0.8544502172940017
pls_da;por_genotipo;CD202;3;899;0.43019500432846935;0.46334906510258556
pls_da;por_genotipo;CD202;3;1949;-0.46915457181412107;0.21152473212026435
pls_da;por_genotipo;CD202;4;1530;-0.5332759219528005;0.046414932184115826
pls_da;por_genotipo;CD202;4;422;0.5473483338424644;-0.06963071801396875
pls_da;por_genotipo;CD202;4;723;-0.019869043372894725;0.8415299805830833
pls_da;por_genotipo;CD202;4;899;0.4308075929604125;0.4687618778560473
pls_da;por_genotipo;CD202;4;1949;-0.4796213417565673;0.25512116891373326
pls_da;por_genotipo;CD202;5;1530;-0.541465632963721;0.08911505259907372
pls_da;por_genotipo;CD202;5;422;0.5486923052467534;-0.07257762898705987
pls_da;por_genotipo;CD202;5;723;-0.020908094573864004;0.8287162475078477
pls_da;por_genotipo;CD202;5;899;0.43733000704058467;0.49316519345171544
pls_da;por_genotipo;CD202;5;1949;-0.4626629864224852;0.2383452710987228
