modelo;modo;genotipo;fold;fpr;tpr;threshold
random_forest;por_genotipo;CD202;1;0.0;0.0;inf
random_forest;por_genotipo;CD202;1;0.0;0.25;1.0
random_forest;por_genotipo;CD202;1;0.0;0.34375;0.998
random_forest;por_genotipo;CD202;1;0.0;0.40625;0.996
random_forest;por_genotipo;CD202;1;0.0;0.5;0.99
random_forest;por_genotipo;CD202;1;0.0;0.578125;0.978
random_forest;por_genotipo;CD202;1;0.0;0.609375;0.976
random_forest;por_genotipo;CD202;1;0.0;0.890625;0.758
random_forest;por_genotipo;CD202;1;0.015151515151515152;0.890625;0.734
random_forest;por_genotipo;CD202;1;0.015151515151515152;1.0;0.452
random_forest;por_genotipo;CD202;1;0.18181818181818182;1.0;0.184
random_forest;por_genotipo;CD202;1;0.21212121212121213;1.0;0.15
random_forest;por_genotipo;CD202;1;0.2878787878787879;1.0;0.108
random_forest;por_genotipo;CD202;1;0.3181818181818182;1.0;0.104
random_forest;por_genotipo;CD202;1;0.3939393939393939;1.0;0.04
random_forest;por_genotipo;CD202;1;0.4393939393939394;1.0;0.032
random_forest;por_genotipo;CD202;1;0.5;1.0;0.022
random_forest;por_genotipo;CD202;1;0.5151515151515151;1.0;0.02
random_forest;por_genotipo;CD202;1;0.5757575757575758;1.0;0.012
random_forest;por_genotipo;CD202;1;0.5909090909090909;1.0;0.01
random_forest;por_genotipo;CD202;1;0.6363636363636364;1.0;0.008
random_forest;por_genotipo;CD202;1;0.6666666666666666;1.0;0.006
random_forest;por_genotipo;CD202;1;0.7878787878787878;1.0;0.002
random_forest;por_genotipo;CD202;1;1.0;1.0;0.0
random_forest;por_genotipo;CD202;2;0.0;0.0;inf
random_forest;por_genotipo;CD202;2;0.0;0.34375;1.0
random_forest;por_genotipo;CD202;2;0.0;0.40625;0.998
random_forest;por_genotipo;CD202;2;0.0;0.4375;0.994
random_forest;por_genotipo;CD202;2;0.0;0.5;0.988
random_forest;por_genotipo;CD202;2;0.0;0.5625;0.974
random_forest;por_genotipo;CD202;2;0.0;0.59375;0.97
random_forest;por_genotipo;CD202;2;0.0;0.625;0.958
random_forest;por_genotipo;CD202;2;0.0;0.65625;0.952
random_forest;por_genotipo;CD202;2;0.0;0.859375;0.852
random_forest;por_genotipo;CD202;2;0.015384615384615385;0.859375;0.806
random_forest;por_genotipo;CD202;2;0.015384615384615385;0.96875;0.602
random_forest;por_genotipo;CD202;2;0.046153846153846156;0.96875;0.576
random_forest;por_genotipo;CD202;2;0.046153846153846156;0.984375;0.562
random_forest;por_genotipo;CD202;2;0.09230769230769231;0.984375;0.502
random_forest;por_genotipo;CD202;2;0.09230769230769231;1.0;0.482
random_forest;por_genotipo;CD202;2;0.24615384615384617;1.0;0.194
random_forest;por_genotipo;CD202;2;0.27692307692307694;1.0;0.188
random_forest;por_genotipo;CD202;2;0.38461538461538464;1.0;0.06
random_forest;por_genotipo;CD202;2;0.4461538461538462;1.0;0.04
random_forest;por_genotipo;CD202;2;0.46153846153846156;1.0;0.036
random_forest;por_genotipo;CD202;2;0.49230769230769234;1.0;0.032
random_forest;por_genotipo;CD202;2;0.5384615384615384;1.0;0.024
random_forest;por_genotipo;CD202;2;0.5692307692307692;1.0;0.02
random_forest;por_genotipo;CD202;2;0.6153846153846154;1.0;0.018
random_forest;por_genotipo;CD202;2;0.6923076923076923;1.0;0.008
random_forest;por_genotipo;CD202;2;0.7230769230769231;1.0;0.006
random_forest;por_genotipo;CD202;2;0.8;1.0;0.004
random_forest;por_genotipo;CD202;2;0.8923076923076924;1.0;0.002
random_forest;por_genotipo;CD202;2;1.0;1.0;0.0
random_forest;por_genotipo;CD202;3;0.0;0.0;inf
random_forest;por_genotipo;CD202;3;0.0;0.28125;1.0
random_forest;por_genotipo;CD202;3;0.0;0.328125;0.998
random_forest;por_genotipo;CD202;3;0.0;0.421875;0.996
random_forest;por_genotipo;CD202;3;0.0;0.515625;0.99
random_forest;por_genotipo;CD202;3;0.0;0.578125;0.978
random_forest;por_genotipo;CD202;3;0.0;0.609375;0.976
random_forest;por_genotipo;CD202;3;0.0;0.671875;0.934
random_forest;por_genotipo;CD202;3;0.0;0.703125;0.916
random_forest;por_genotipo;CD202;3;0.0;0.75;0.88
random_forest;por_genotipo;CD202;3;0.0;0.78125;0.87
random_forest;por_genotipo;CD202;3;0.0;0.796875;0.854
random_forest;por_genotipo;CD202;3;0.0;0.828125;0.844
random_forest;por_genotipo;CD202;3;0.0;0.875;0.832
random_forest;por_genotipo;CD202;3;0.015625;0.875;0.81
random_forest;por_genotipo;CD202;3;0.015625;0.90625;0.762
random_forest;por_genotipo;CD202;3;0.03125;0.90625;0.756
random_forest;por_genotipo;CD202;3;0.03125;1.0;0.244
random_forest;por_genotipo;CD202;3;0.0625;1.0;0.23
random_forest;por_genotipo;CD202;3;0.09375;1.0;0.218
random_forest;por_genotipo;CD202;3;0.109375;1.0;0.204
random_forest;por_genotipo;CD202;3;0.140625;1.0;0.15
random_forest;por_genotipo;CD202;3;0.203125;1.0;0.104
random_forest;por_genotipo;CD202;3;0.265625;1.0;0.088
random_forest;por_genotipo;CD202;3;0.375;1.0;0.034
random_forest;por_genotipo;CD202;3;0.4375;1.0;0.024
random_forest;por_genotipo;CD202;3;0.453125;1.0;0.02
random_forest;por_genotipo;CD202;3;0.578125;1.0;0.01
random_forest;por_genotipo;CD202;3;0.59375;1.0;0.008
random_forest;por_genotipo;CD202;3;0.625;1.0;0.006
random_forest;por_genotipo;CD202;3;0.71875;1.0;0.002
random_forest;por_genotipo;CD202;3;1.0;1.0;0.0
random_forest;por_genotipo;CD202;4;0.0;0.0;inf
random_forest;por_genotipo;CD202;4;0.0;0.296875;1.0
random_forest;por_genotipo;CD202;4;0.0;0.3125;0.998
random_forest;por_genotipo;CD202;4;0.0;0.34375;0.996
random_forest;por_genotipo;CD202;4;0.0;0.390625;0.994
random_forest;por_genotipo;CD202;4;0.0;0.46875;0.982
random_forest;por_genotipo;CD202;4;0.0;0.53125;0.978
random_forest;por_genotipo;CD202;4;0.0;0.59375;0.958
random_forest;por_genotipo;CD202;4;0.0;0.625;0.95
random_forest;por_genotipo;CD202;4;0.0;0.859375;0.722
random_forest;por_genotipo;CD202;4;0.015384615384615385;0.859375;0.694
random_forest;por_genotipo;CD202;4;0.015384615384615385;0.9375;0.624
random_forest;por_genotipo;CD202;4;0.03076923076923077;0.9375;0.614
random_forest;por_genotipo;CD202;4;0.03076923076923077;0.96875;0.578
random_forest;por_genotipo;CD202;4;0.046153846153846156;0.96875;0.572
random_forest;por_genotipo;CD202;4;0.046153846153846156;1.0;0.484
random_forest;por_genotipo;CD202;4;0.3230769230769231;1.0;0.094
random_forest;por_genotipo;CD202;4;0.35384615384615387;1.0;0.088
random_forest;por_genotipo;CD202;4;0.4153846153846154;1.0;0.034
random_forest;por_genotipo;CD202;4;0.46153846153846156;1.0;0.03
random_forest;por_genotipo;CD202;4;0.47692307692307695;1.0;0.022
random_forest;por_genotipo;CD202;4;0.5076923076923077;1.0;0.018
random_forest;por_genotipo;CD202;4;0.5538461538461539;1.0;0.016
random_forest;por_genotipo;CD202;4;0.5846153846153846;1.0;0.012
random_forest;por_genotipo;CD202;4;0.6461538461538462;1.0;0.01
random_forest;por_genotipo;CD202;4;0.676923076923077;1.0;0.008
random_forest;por_genotipo;CD202;4;0.7384615384615385;1.0;0.006
random_forest;por_genotipo;CD202;4;0.7692307692307693;1.0;0.004
random_forest;por_genotipo;CD202;4;0.8615384615384616;1.0;0.002
random_forest;por_genotipo;CD202;4;1.0;1.0;0.0
random_forest;por_genotipo;CD202;5;0.0;0.0;inf
random_forest;por_genotipo;CD202;5;0.0;0.1875;1.0
random_forest;por_genotipo;CD202;5;0.0;0.265625;0.998
random_forest;por_genotipo;CD202;5;0.0;0.3125;0.996
random_forest;por_genotipo;CD202;5;0.0;0.359375;0.99
random_forest;por_genotipo;CD202;5;0.0;0.40625;0.988
random_forest;por_genotipo;CD202;5;0.0;0.421875;0.986
random_forest;por_genotipo;CD202;5;0.0;0.453125;0.984
random_forest;por_genotipo;CD202;5;0.0;0.484375;0.976
random_forest;por_genotipo;CD202;5;0.0;0.515625;0.974
random_forest;por_genotipo;CD202;5;0.0;0.765625;0.834
random_forest;por_genotipo;CD202;5;0.015625;0.765625;0.822
random_forest;por_genotipo;CD202;5;0.015625;0.921875;0.704
random_forest;por_genotipo;CD202;5;0.03125;0.921875;0.702
random_forest;por_genotipo;CD202;5;0.03125;0.984375;0.64
random_forest;por_genotipo;CD202;5;0.046875;0.984375;0.602
