modelo;modo;genotipo_avaliado;fold;split;indice_amostra;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia
random_forest;por_genotipo;CD202;1;treino;64;B1_CD202_IRRIG_REPROD00000.asd;B1;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;65;B1_CD202_IRRIG_REPROD00001.asd;B1;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;66;B1_CD202_IRRIG_REPROD00002.asd;B1;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;67;B1_CD202_IRRIG_REPROD00003.asd;B1;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;68;B1_CD202_IRRIG_REPROD00004.asd;B1;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;70;B1_CD202_IRRIG_REPROD00006.asd;B1;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;71;B1_CD202_IRRIG_REPROD00007.asd;B1;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;73;B1_CD202_NIRRIG_REPROD00001.asd;B1;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;74;B1_CD202_NIRRIG_REPROD00002.asd;B1;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;75;B1_CD202_NIRRIG_REPROD00003.asd;B1;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;76;B1_CD202_NIRRIG_REPROD00004.asd;B1;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;77;B1_CD202_NIRRIG_REPROD00005.asd;B1;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;78;B1_CD202_NIRRIG_REPROD00006.asd;B1;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;79;B1_CD202_NIRRIG_REPROD00007.asd;B1;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;82;B2_CD202_IRRIG_REPROD00002.asd;B2;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;84;B2_CD202_IRRIG_REPROD00004.asd;B2;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;85;B2_CD202_IRRIG_REPROD00005.asd;B2;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;86;B2_CD202_IRRIG_REPROD00006.asd;B2;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;88;B2_CD202_NIRRIG_REPROD00000.asd;B2;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;89;B2_CD202_NIRRIG_REPROD00001.asd;B2;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;90;B2_CD202_NIRRIG_REPROD00002.asd;B2;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;91;B2_CD202_NIRRIG_REPROD00003.asd;B2;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;93;B2_CD202_NIRRIG_REPROD00005.asd;B2;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;94;B2_CD202_NIRRIG_REPROD00006.asd;B2;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;95;B2_CD202_NIRRIG_REPROD00007.asd;B2;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;96;B3_CD202_IRRIG_REPROD00000.asd;B3;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;97;B3_CD202_IRRIG_REPROD00001.asd;B3;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;98;B3_CD202_IRRIG_REPROD00002.asd;B3;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;99;B3_CD202_IRRIG_REPROD00003.asd;B3;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;100;B3_CD202_IRRIG_REPROD00004.asd;B3;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;101;B3_CD202_IRRIG_REPROD00005.asd;B3;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;102;B3_CD202_IRRIG_REPROD00006.asd;B3;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;103;B3_CD202_IRRIG_REPROD00007.asd;B3;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;104;B3_CD202_NIRRIG_REPROD00000.asd;B3;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;105;B3_CD202_NIRRIG_REPROD00001.asd;B3;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;108;B3_CD202_NIRRIG_REPROD00004.asd;B3;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;109;B3_CD202_NIRRIG_REPROD00005.asd;B3;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;110;B3_CD202_NIRRIG_REPROD00006.asd;B3;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;111;B3_CD202_NIRRIG_REPROD00007.asd;B3;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;113;B4_CD202_IRRIG_REPROD00001.asd;B4;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;114;B4_CD202_IRRIG_REPROD00002.asd;B4;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;115;B4_CD202_IRRIG_REPROD00003.asd;B4;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;116;B4_CD202_IRRIG_REPROD00004.asd;B4;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;117;B4_CD202_IRRIG_REPROD00005.asd;B4;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;118;B4_CD202_IRRIG_REPROD00006.asd;B4;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;119;B4_CD202_IRRIG_REPROD00007.asd;B4;CD202;IRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;120;B4_CD202_NIRRIG_REPROD00000.asd;B4;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;121;B4_CD202_NIRRIG_REPROD00001.asd;B4;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;123;B4_CD202_NIRRIG_REPROD00003.asd;B4;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;125;B4_CD202_NIRRIG_REPROD00005.asd;B4;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;127;B4_CD202_NIRRIG_REPROD00007.asd;B4;CD202;NIRRIG;D02M;manha;D02
random_forest;por_genotipo;CD202;1;treino;256;B1_CD202_IRRIG_REPROD00000.asd;B1;CD202;IRRIG;D02T;tarde;D02
