modelo;modo;genotipo;fold;banda_nm;importancia
random_forest;por_genotipo;CD202;1;1530;0.2695937374793335
random_forest;por_genotipo;CD202;1;1949;0.25931434141400417
random_forest;por_genotipo;CD202;1;422;0.25719383650944
random_forest;por_genotipo;CD202;1;899;0.11338411105425103
random_forest;por_genotipo;CD202;1;723;0.10051397354297126
random_forest;por_genotipo;CD202;2;422;0.3172220325095214
random_forest;por_genotipo;CD202;2;1530;0.2436239275765302
random_forest;por_genotipo;CD202;2;1949;0.20623496888239368
random_forest;por_genotipo;CD202;2;723;0.12973846195390298
random_forest;por_genotipo;CD202;2;899;0.10318060907765177
random_forest;por_genotipo;CD202;3;1530;0.2850114114265283
random_forest;por_genotipo;CD202;3;422;0.2706019726842576
random_forest;por_genotipo;CD202;3;1949;0.22678131936268953
random_forest;por_genotipo;CD202;3;723;0.10965887630455944
random_forest;por_genotipo;CD202;3;899;0.10794642022196514
random_forest;por_genotipo;CD202;4;422;0.28663051185186683
random_forest;por_genotipo;CD202;4;1530;0.26940226730408556
random_forest;por_genotipo;CD202;4;1949;0.23944579729799417
random_forest;por_genotipo;CD202;4;899;0.10483549917881997
random_forest;por_genotipo;CD202;4;723;0.09968592436723343
random_forest;por_genotipo;CD202;5;1530;0.2865053439917872
random_forest;por_genotipo;CD202;5;422;0.27415493933030255
random_forest;por_genotipo;CD202;5;1949;0.22472405039208374
random_forest;por_genotipo;CD202;5;899;0.10913670075817987
random_forest;por_genotipo;CD202;5;723;0.10547896552764675
