modelo;modo;genotipo_avaliado;fold;indice_amostra;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia;classe_real;classe_predita;score_NIRRIG;acerto;1530;422;723;899;1949
random_forest;por_genotipo;CD202;1;69;B1_CD202_IRRIG_REPROD00005.asd;B1;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.15;True;0.22291276123950704;-1.6127300886332574;0.3933278882556925;1.1956243498264338;-1.4129618974571656
random_forest;por_genotipo;CD202;1;72;B1_CD202_NIRRIG_REPROD00000.asd;B1;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.908;True;0.2927480863845226;-1.7306763836422998;0.3023688006896861;1.123052248525829;-1.3971858264424981
random_forest;por_genotipo;CD202;1;80;B2_CD202_IRRIG_REPROD00000.asd;B2;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.15;True;0.23973074618119808;-1.5698020969390005;0.26690470683507334;1.182381365308077;-1.4438875906934667
random_forest;por_genotipo;CD202;1;81;B2_CD202_IRRIG_REPROD00001.asd;B2;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.114;True;0.23855188461611487;-1.571403622889416;0.27009828142683856;1.1847085916212003;-1.446911801872202
random_forest;por_genotipo;CD202;1;83;B2_CD202_IRRIG_REPROD00003.asd;B2;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.128;True;0.2378405855805745;-1.5667872942368664;0.27815277244099;1.1876520311420764;-1.447851498157
random_forest;por_genotipo;CD202;1;87;B2_CD202_IRRIG_REPROD00007.asd;B2;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.21;True;0.1905835968095729;-1.5998205822062943;0.45914074924945847;1.2317683528314398;-1.4154327015260546
random_forest;por_genotipo;CD202;1;92;B2_CD202_NIRRIG_REPROD00004.asd;B2;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.576;True;0.21854859086915238;-1.5823288065986378;0.428498307964673;1.2227515289501965;-1.4156347649301806
random_forest;por_genotipo;CD202;1;106;B3_CD202_NIRRIG_REPROD00002.asd;B3;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.99;True;0.31328600078741103;-1.7417198794069202;0.34477231056480917;1.1217361761716997;-1.4007771522392256
random_forest;por_genotipo;CD202;1;107;B3_CD202_NIRRIG_REPROD00003.asd;B3;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.99;True;0.309568628682072;-1.739759449618384;0.3471836717185881;1.124880308103777;-1.4011983508222912
random_forest;por_genotipo;CD202;1;112;B4_CD202_IRRIG_REPROD00000.asd;B4;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.254;True;0.20313223197018493;-1.5157581427891107;0.3369889317947331;1.2371674113711932;-1.4320696668466628
random_forest;por_genotipo;CD202;1;122;B4_CD202_NIRRIG_REPROD00002.asd;B4;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.0;True;0.27597666303807056;-1.6509757499832207;0.42069124232739685;1.1910215806047983;-1.4098622875082025
random_forest;por_genotipo;CD202;1;124;B4_CD202_NIRRIG_REPROD00004.asd;B4;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.996;True;0.280060455251737;-1.6975411995509089;0.38785171383563855;1.158412179039176;-1.407233200543874
