modelo;modo;genotipo;fold;fpr;tpr;threshold
svm;por_genotipo;CD202;1;0.0;0.0;inf
svm;por_genotipo;CD202;1;0.0;0.015625;2.1033077740938975
svm;por_genotipo;CD202;1;0.0;0.421875;1.4041941940015543
svm;por_genotipo;CD202;1;0.015151515151515152;0.421875;1.4034199285477096
svm;por_genotipo;CD202;1;0.015151515151515152;0.84375;0.6296906874210305
svm;por_genotipo;CD202;1;0.030303030303030304;0.84375;0.6238864118494454
svm;por_genotipo;CD202;1;0.030303030303030304;0.9375;0.42148525705787593
svm;por_genotipo;CD202;1;0.07575757575757576;0.9375;0.3519530532628278
svm;por_genotipo;CD202;1;0.07575757575757576;0.984375;0.17945853503477377
svm;por_genotipo;CD202;1;0.09090909090909091;0.984375;0.15075907742539535
svm;por_genotipo;CD202;1;0.09090909090909091;1.0;0.08756931181256751
svm;por_genotipo;CD202;1;1.0;1.0;-1.7204857739853652
svm;por_genotipo;CD202;2;0.0;0.0;inf
svm;por_genotipo;CD202;2;0.0;0.015625;2.3373121003575923
svm;por_genotipo;CD202;2;0.0;0.25;1.5229154814101038
svm;por_genotipo;CD202;2;0.015384615384615385;0.25;1.5134389458128445
svm;por_genotipo;CD202;2;0.015384615384615385;0.390625;1.3778603935237113
svm;por_genotipo;CD202;2;0.03076923076923077;0.390625;1.3740527286094666
svm;por_genotipo;CD202;2;0.03076923076923077;0.8125;0.9171156713495029
svm;por_genotipo;CD202;2;0.046153846153846156;0.8125;0.9001265516802132
svm;por_genotipo;CD202;2;0.046153846153846156;0.84375;0.8557853076455142
svm;por_genotipo;CD202;2;0.07692307692307693;0.84375;0.8302640788435044
svm;por_genotipo;CD202;2;0.07692307692307693;0.859375;0.7252832952975022
svm;por_genotipo;CD202;2;0.09230769230769231;0.859375;0.7185285651412375
svm;por_genotipo;CD202;2;0.09230769230769231;0.9375;0.36088582398950675
svm;por_genotipo;CD202;2;0.1076923076923077;0.9375;0.3588078562364305
svm;por_genotipo;CD202;2;0.1076923076923077;0.953125;0.3101502539505645
svm;por_genotipo;CD202;2;0.12307692307692308;0.953125;0.2623220767394481
svm;por_genotipo;CD202;2;0.12307692307692308;0.96875;0.1559409157471634
svm;por_genotipo;CD202;2;0.13846153846153847;0.96875;0.12213259332396707
svm;por_genotipo;CD202;2;0.13846153846153847;0.984375;0.0739163190574492
svm;por_genotipo;CD202;2;0.16923076923076924;0.984375;-0.001269100307072224
svm;por_genotipo;CD202;2;0.16923076923076924;1.0;-0.005875574482173365
svm;por_genotipo;CD202;2;1.0;1.0;-1.973983495525268
svm;por_genotipo;CD202;3;0.0;0.0;inf
svm;por_genotipo;CD202;3;0.0;0.015625;1.841683462720828
svm;por_genotipo;CD202;3;0.0;0.40625;1.4818942110655193
svm;por_genotipo;CD202;3;0.015625;0.40625;1.4795346149412083
svm;por_genotipo;CD202;3;0.015625;0.5;1.3309094532506032
svm;por_genotipo;CD202;3;0.03125;0.5;1.3160277019389217
svm;por_genotipo;CD202;3;0.03125;0.765625;0.9008097099750108
svm;por_genotipo;CD202;3;0.0625;0.765625;0.6244944101612442
svm;por_genotipo;CD202;3;0.0625;0.96875;0.02519784552108223
svm;por_genotipo;CD202;3;0.09375;0.96875;-0.020712290188004967
svm;por_genotipo;CD202;3;0.09375;0.984375;-0.10720635377913884
svm;por_genotipo;CD202;3;0.953125;0.984375;-1.6015428927748496
svm;por_genotipo;CD202;3;0.953125;1.0;-1.6108310031678346
svm;por_genotipo;CD202;3;1.0;1.0;-2.2453014540318725
svm;por_genotipo;CD202;4;0.0;0.0;inf
svm;por_genotipo;CD202;4;0.0;0.015625;2.263331924818812
svm;por_genotipo;CD202;4;0.0;0.359375;1.4284992306620268
svm;por_genotipo;CD202;4;0.015384615384615385;0.359375;1.4227330584673872
svm;por_genotipo;CD202;4;0.015384615384615385;0.40625;1.3875279650036798
svm;por_genotipo;CD202;4;0.03076923076923077;0.40625;1.3806459699317821
svm;por_genotipo;CD202;4;0.03076923076923077;0.6875;0.9844089231310517
svm;por_genotipo;CD202;4;0.046153846153846156;0.6875;0.9651697406629797
svm;por_genotipo;CD202;4;0.046153846153846156;0.703125;0.9648536205501438
svm;por_genotipo;CD202;4;0.06153846153846154;0.703125;0.9582369816681998
svm;por_genotipo;CD202;4;0.06153846153846154;0.875;0.3127178491356206
svm;por_genotipo;CD202;4;0.07692307692307693;0.875;0.3004595514614232
svm;por_genotipo;CD202;4;0.07692307692307693;0.90625;0.12259652279270505
