modelo;modo;genotipo;fold;real;predito;n
svm;por_genotipo;CD202;1;IRRIG;IRRIG;56
svm;por_genotipo;CD202;1;NIRRIG;IRRIG;0
svm;por_genotipo;CD202;1;IRRIG;NIRRIG;10
svm;por_genotipo;CD202;1;NIRRIG;NIRRIG;64
svm;por_genotipo;CD202;2;IRRIG;IRRIG;55
svm;por_genotipo;CD202;2;NIRRIG;IRRIG;1
svm;por_genotipo;CD202;2;IRRIG;NIRRIG;10
svm;por_genotipo;CD202;2;NIRRIG;NIRRIG;63
svm;por_genotipo;CD202;3;IRRIG;IRRIG;60
svm;por_genotipo;CD202;3;NIRRIG;IRRIG;2
svm;por_genotipo;CD202;3;IRRIG;NIRRIG;4
svm;por_genotipo;CD202;3;NIRRIG;NIRRIG;62
svm;por_genotipo;CD202;4;IRRIG;IRRIG;59
svm;por_genotipo;CD202;4;NIRRIG;IRRIG;5
svm;por_genotipo;CD202;4;IRRIG;NIRRIG;6
svm;por_genotipo;CD202;4;NIRRIG;NIRRIG;59
svm;por_genotipo;CD202;5;IRRIG;IRRIG;59
svm;por_genotipo;CD202;5;NIRRIG;IRRIG;4
svm;por_genotipo;CD202;5;IRRIG;NIRRIG;5
svm;por_genotipo;CD202;5;NIRRIG;NIRRIG;60
