modelo;modo;genotipo;fold;classe;precision;recall;f1-score;support
svm;por_genotipo;CD202;1;IRRIG;1.0;0.8484848484848485;0.9180327868852459;66.0
svm;por_genotipo;CD202;1;NIRRIG;0.8648648648648649;1.0;0.927536231884058;64.0
svm;por_genotipo;CD202;1;accuracy;0.9230769230769231;0.9230769230769231;0.9230769230769231;0.9230769230769231
svm;por_genotipo;CD202;1;macro avg;0.9324324324324325;0.9242424242424243;0.922784509384652;130.0
svm;por_genotipo;CD202;1;weighted avg;0.9334719334719335;0.9230769230769231;0.9227114059615841;130.0
svm;por_genotipo;CD202;2;IRRIG;0.9821428571428571;0.8461538461538461;0.9090909090909091;65.0
svm;por_genotipo;CD202;2;NIRRIG;0.863013698630137;0.984375;0.9197080291970803;64.0
svm;por_genotipo;CD202;2;accuracy;0.9147286821705426;0.9147286821705426;0.9147286821705426;0.9147286821705426
svm;por_genotipo;CD202;2;macro avg;0.922578277886497;0.9152644230769231;0.9143994691439947;129.0
svm;por_genotipo;CD202;2;weighted avg;0.923040018810965;0.9147286821705426;0.9143583175156762;129.0
svm;por_genotipo;CD202;3;IRRIG;0.967741935483871;0.9375;0.9523809523809523;64.0
svm;por_genotipo;CD202;3;NIRRIG;0.9393939393939394;0.96875;0.9538461538461539;64.0
svm;por_genotipo;CD202;3;accuracy;0.953125;0.953125;0.953125;0.953125
svm;por_genotipo;CD202;3;macro avg;0.9535679374389052;0.953125;0.9531135531135531;128.0
svm;por_genotipo;CD202;3;weighted avg;0.9535679374389052;0.953125;0.9531135531135531;128.0
svm;por_genotipo;CD202;4;IRRIG;0.921875;0.9076923076923077;0.9147286821705426;65.0
svm;por_genotipo;CD202;4;NIRRIG;0.9076923076923077;0.921875;0.9147286821705426;64.0
svm;por_genotipo;CD202;4;accuracy;0.9147286821705426;0.9147286821705426;0.9147286821705426;0.9147286821705426
svm;por_genotipo;CD202;4;macro avg;0.9147836538461538;0.9147836538461538;0.9147286821705426;129.0
svm;por_genotipo;CD202;4;weighted avg;0.914838625521765;0.9147286821705426;0.9147286821705426;129.0
svm;por_genotipo;CD202;5;IRRIG;0.9365079365079365;0.921875;0.9291338582677166;64.0
svm;por_genotipo;CD202;5;NIRRIG;0.9230769230769231;0.9375;0.9302325581395349;64.0
svm;por_genotipo;CD202;5;accuracy;0.9296875;0.9296875;0.9296875;0.9296875
svm;por_genotipo;CD202;5;macro avg;0.9297924297924298;0.9296875;0.9296832082036257;128.0
svm;por_genotipo;CD202;5;weighted avg;0.9297924297924298;0.9296875;0.9296832082036257;128.0
