modelo;modo;genotipo;fold;real;predito;n
gradient_boosting;por_genotipo;EMB48;1;IRRIG;IRRIG;44
gradient_boosting;por_genotipo;EMB48;1;NIRRIG;IRRIG;2
gradient_boosting;por_genotipo;EMB48;1;IRRIG;NIRRIG;2
gradient_boosting;por_genotipo;EMB48;1;NIRRIG;NIRRIG;42
gradient_boosting;por_genotipo;EMB48;2;IRRIG;IRRIG;45
gradient_boosting;por_genotipo;EMB48;2;NIRRIG;IRRIG;0
gradient_boosting;por_genotipo;EMB48;2;IRRIG;NIRRIG;0
gradient_boosting;por_genotipo;EMB48;2;NIRRIG;NIRRIG;45
gradient_boosting;por_genotipo;EMB48;3;IRRIG;IRRIG;45
gradient_boosting;por_genotipo;EMB48;3;NIRRIG;IRRIG;0
gradient_boosting;por_genotipo;EMB48;3;IRRIG;NIRRIG;0
gradient_boosting;por_genotipo;EMB48;3;NIRRIG;NIRRIG;45
gradient_boosting;por_genotipo;EMB48;4;IRRIG;IRRIG;42
gradient_boosting;por_genotipo;EMB48;4;NIRRIG;IRRIG;6
gradient_boosting;por_genotipo;EMB48;4;IRRIG;NIRRIG;2
gradient_boosting;por_genotipo;EMB48;4;NIRRIG;NIRRIG;39
gradient_boosting;por_genotipo;EMB48;5;IRRIG;IRRIG;43
gradient_boosting;por_genotipo;EMB48;5;NIRRIG;IRRIG;2
gradient_boosting;por_genotipo;EMB48;5;IRRIG;NIRRIG;1
gradient_boosting;por_genotipo;EMB48;5;NIRRIG;NIRRIG;43
