modelo;modo;genotipo;fold;banda_nm;importancia
random_forest;por_genotipo;EMB48;1;404;0.2911355440921627
random_forest;por_genotipo;EMB48;1;713;0.24226358564605863
random_forest;por_genotipo;EMB48;1;1933;0.1905908213488029
random_forest;por_genotipo;EMB48;1;1369;0.15360324231262418
random_forest;por_genotipo;EMB48;1;1381;0.12240680660035172
random_forest;por_genotipo;EMB48;2;713;0.28489917273016596
random_forest;por_genotipo;EMB48;2;404;0.2773367707470199
random_forest;por_genotipo;EMB48;2;1933;0.1853531568657692
random_forest;por_genotipo;EMB48;2;1369;0.1454882769298763
random_forest;por_genotipo;EMB48;2;1381;0.1069226227271686
random_forest;por_genotipo;EMB48;3;404;0.2823415764017744
random_forest;por_genotipo;EMB48;3;713;0.27097932206036796
random_forest;por_genotipo;EMB48;3;1933;0.19719614299047622
random_forest;por_genotipo;EMB48;3;1369;0.12894429428983334
random_forest;por_genotipo;EMB48;3;1381;0.12053866425754822
random_forest;por_genotipo;EMB48;4;404;0.29925917663066176
random_forest;por_genotipo;EMB48;4;713;0.28540834427197437
random_forest;por_genotipo;EMB48;4;1933;0.1678996890156942
random_forest;por_genotipo;EMB48;4;1369;0.13552129120990594
random_forest;por_genotipo;EMB48;4;1381;0.11191149887176371
random_forest;por_genotipo;EMB48;5;404;0.31143018231128855
random_forest;por_genotipo;EMB48;5;713;0.23698976203327096
random_forest;por_genotipo;EMB48;5;1933;0.18279511920960065
random_forest;por_genotipo;EMB48;5;1369;0.14369460061898717
random_forest;por_genotipo;EMB48;5;1381;0.12509033582685278
