modelo;modo;genotipo_avaliado;fold;indice_amostra;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia;classe_real;classe_predita;score_NIRRIG;acerto;721;1529;400;2330;552
random_forest;por_genotipo;EMB48;1;128;B3_EMB48_IRRIG_REPROD00000.asd;B3;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.014;True;0.2318952009671356;0.2046425777609161;-1.5020265529034005;-0.5023522794041356;-1.2479187557496263
random_forest;por_genotipo;EMB48;1;144;B4_EMB48_NIRRIG_REPROD00003.asd;B4;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.998;True;0.4519050622046596;0.2720073089328449;-1.7082169535060785;-0.4710721045428602;-1.122889372821469
random_forest;por_genotipo;EMB48;1;151;B3_EMB48_NIRRIG_REPROD00000.asd;B3;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.968;True;0.3776134422615212;0.2211928089894722;-1.5779209485722676;-0.5336357290627506;-1.1831507731831865
random_forest;por_genotipo;EMB48;1;155;B3_EMB48_NIRRIG_REPROD00003.asd;B3;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.986;True;0.372827312455674;0.2278535768295557;-1.5945090527818888;-0.5285142065940626;-1.188809711904775
random_forest;por_genotipo;EMB48;1;162;B1_EMB48_IRRIG_REPROD00002.asd;B1;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.114;True;0.348698713587362;0.1234428742658972;-1.395499367092209;-0.6191093285019382;-1.0757759928100186
random_forest;por_genotipo;EMB48;1;163;B1_EMB48_IRRIG_REPROD00003.asd;B1;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.098;True;0.3472312639322242;0.1257258586037868;-1.404814039387079;-0.6170040968714263;-1.0783238229279914
random_forest;por_genotipo;EMB48;1;171;B1_EMB48_NIRRIG_REPROD00003.asd;B1;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.84;True;0.333790136878588;0.2185682279149595;-1.5658341214218934;-0.5068720952212415;-1.2325570129026349
random_forest;por_genotipo;EMB48;1;172;B1_EMB48_NIRRIG_REPROD00004.asd;B1;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.782;True;0.3874479147975778;0.2557952810928904;-1.649648235418739;-0.4641591464667385;-1.2073117915123497
random_forest;por_genotipo;EMB48;1;178;B2_EMB48_IRRIG_REPROD00002.asd;B2;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.052;True;0.1917662163793044;0.2286171742719312;-1.5414349969056071;-0.4488592864552987;-1.316117583257277
random_forest;por_genotipo;EMB48;1;180;B2_EMB48_IRRIG_REPROD00004.asd;B2;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.126;True;0.2522262618921198;0.2701122862267203;-1.6304322091265138;-0.4195268441166052;-1.3297007728115326
random_forest;por_genotipo;EMB48;1;181;B2_EMB48_IRRIG_REPROD00005.asd;B2;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.142;True;0.2512041199558425;0.2720711935630091;-1.642258838601267;-0.4165382506800116;-1.332914334135494
random_forest;por_genotipo;EMB48;1;184;B2_EMB48_NIRRIG_REPROD00000.asd;B2;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.768;True;0.1643899022957871;0.2161468133150361;-1.4745038451585877;-0.491299463730505;-1.2995479644474854
random_forest;por_genotipo;EMB48;1;189;B2_EMB48_NIRRIG_REPROD00005.asd;B2;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.99;True;0.4430989023264512;0.1585804404759294;-1.463753598204566;-0.5958334722375773;-1.0839901626357302
random_forest;por_genotipo;EMB48;1;322;B1_EMB48_IRRIG_REPROD00002.asd;B1;EMB48;IRRIG;D02T;tarde;D02;IRRIG;IRRIG;0.198;True;0.304704547674776;0.1790083751026654;-1.5115320964921044;-0.5928039484455203;-1.165475380892302
random_forest;por_genotipo;EMB48;1;323;B1_EMB48_IRRIG_REPROD00003.asd;B1;EMB48;IRRIG;D02T;tarde;D02;IRRIG;IRRIG;0.232;True;0.3039028928660031;0.1795456570197054;-1.514610824143054;-0.5905915042378596;-1.1679023287189023
random_forest;por_genotipo;EMB48;1;331;B1_EMB48_NIRRIG_REPROD00003.asd;B1;EMB48;NIRRIG;D02T;tarde;D02;NIRRIG;NIRRIG;1.0;True;0.3070472350374003;0.3057040591482395;-1.804751069012529;-0.3916665788586687;-1.2925743867499548
random_forest;por_genotipo;EMB48;1;332;B1_EMB48_NIRRIG_REPROD00004.asd;B1;EMB48;NIRRIG;D02T;tarde;D02;NIRRIG;NIRRIG;0.984;True;0.3511707861893262;0.3185538083099163;-1.8345148730560092;-0.3940222866969385;-1.2426431148560495
random_forest;por_genotipo;EMB48;1;338;B2_EMB48_IRRIG_REPROD00002.asd;B2;EMB48;IRRIG;D02T;tarde;D02;IRRIG;IRRIG;0.066;True;0.2261514443457878;0.288249646762034;-1.6260585131249667;-0.4822096154117345;-1.337719189290564
random_forest;por_genotipo;EMB48;1;340;B2_EMB48_IRRIG_REPROD00004.asd;B2;EMB48;IRRIG;D02T;tarde;D02;IRRIG;IRRIG;0.394;True;0.2572353298484636;0.3252571876135743;-1.728515446696633;-0.3900364727480732;-1.348628739560559
random_forest;por_genotipo;EMB48;1;341;B2_EMB48_IRRIG_REPROD00005.asd;B2;EMB48;IRRIG;D02T;tarde;D02;IRRIG;IRRIG;0.22;True;0.2540875119535341;0.3242735627595987;-1.721243534891392;-0.3901655063059534;-1.353554111348222
random_forest;por_genotipo;EMB48;1;344;B2_EMB48_NIRRIG_REPROD00000.asd;B2;EMB48;NIRRIG;D02T;tarde;D02;NIRRIG;NIRRIG;0.802;True;0.1633724174603597;0.2502719147507527;-1.599371224401131;-0.5040243128360994;-1.325140795976005
random_forest;por_genotipo;EMB48;1;349;B2_EMB48_NIRRIG_REPROD00005.asd;B2;EMB48;NIRRIG;D02T;tarde;D02;NIRRIG;NIRRIG;0.994;True;0.3814436675939169;0.2387893609925844;-1.6231018611098555;-0.5383213217585279;-1.1729672926210375
random_forest;por_genotipo;EMB48;1;352;B3_EMB48_IRRIG_REPROD00000.asd;B3;EMB48;IRRIG;D02T;tarde;D02;IRRIG;IRRIG;0.208;True;0.2662298608597736;0.2150653003657608;-1.5626537879199098;-0.4956941508686753;-1.2516308799395346
