modelo;modo;genotipo;fold;fpr;tpr;threshold
svm;por_genotipo;EMB48;1;0.0;0.0;inf
svm;por_genotipo;EMB48;1;0.0;0.015625;2.3934146094890503
svm;por_genotipo;EMB48;1;0.0;0.84375;0.5594408340648485
svm;por_genotipo;EMB48;1;0.030303030303030304;0.84375;0.337412874089638
svm;por_genotipo;EMB48;1;0.030303030303030304;0.890625;0.009343478668241978
svm;por_genotipo;EMB48;1;0.09090909090909091;0.890625;-0.15815918953467617
svm;por_genotipo;EMB48;1;0.09090909090909091;0.953125;-0.4120818651055707
svm;por_genotipo;EMB48;1;0.16666666666666666;0.953125;-0.6002298780729718
svm;por_genotipo;EMB48;1;0.16666666666666666;0.96875;-0.6529087638148692
svm;por_genotipo;EMB48;1;0.24242424242424243;0.96875;-0.8978521160158257
svm;por_genotipo;EMB48;1;0.24242424242424243;0.984375;-0.913247416752297
svm;por_genotipo;EMB48;1;0.3939393939393939;0.984375;-1.181796310640904
svm;por_genotipo;EMB48;1;0.3939393939393939;1.0;-1.1978537469224988
svm;por_genotipo;EMB48;1;1.0;1.0;-1.9387504158416862
svm;por_genotipo;EMB48;2;0.0;0.0;inf
svm;por_genotipo;EMB48;2;0.0;0.015625;2.4836001409234525
svm;por_genotipo;EMB48;2;0.0;0.78125;0.7995338300513879
svm;por_genotipo;EMB48;2;0.015625;0.78125;0.7490917860102253
svm;por_genotipo;EMB48;2;0.015625;0.796875;0.689147846282324
svm;por_genotipo;EMB48;2;0.03125;0.796875;0.682204861632105
svm;por_genotipo;EMB48;2;0.03125;0.828125;0.5303909397992386
svm;por_genotipo;EMB48;2;0.046875;0.828125;0.4895366153914457
svm;por_genotipo;EMB48;2;0.046875;0.859375;0.47002293270471385
svm;por_genotipo;EMB48;2;0.078125;0.859375;0.39033758221312465
svm;por_genotipo;EMB48;2;0.078125;0.875;0.3354883503430523
svm;por_genotipo;EMB48;2;0.09375;0.875;0.29367002436088574
svm;por_genotipo;EMB48;2;0.09375;0.9375;0.14899563327194973
svm;por_genotipo;EMB48;2;0.15625;0.9375;-0.15570106895862917
svm;por_genotipo;EMB48;2;0.15625;0.984375;-0.19828549532514073
svm;por_genotipo;EMB48;2;0.171875;0.984375;-0.20319441400928573
svm;por_genotipo;EMB48;2;0.171875;1.0;-0.2440718387432504
svm;por_genotipo;EMB48;2;1.0;1.0;-2.2517233788182915
svm;por_genotipo;EMB48;3;0.0;0.0;inf
svm;por_genotipo;EMB48;3;0.0;0.015625;2.241671130920079
svm;por_genotipo;EMB48;3;0.0;0.4375;1.1220921963300623
svm;por_genotipo;EMB48;3;0.015873015873015872;0.4375;1.1140521485624737
svm;por_genotipo;EMB48;3;0.015873015873015872;0.671875;0.8830782856951997
svm;por_genotipo;EMB48;3;0.031746031746031744;0.671875;0.8711362648789381
svm;por_genotipo;EMB48;3;0.031746031746031744;0.765625;0.7230663406424128
svm;por_genotipo;EMB48;3;0.047619047619047616;0.765625;0.7198075430490914
svm;por_genotipo;EMB48;3;0.047619047619047616;0.796875;0.4180549320722674
svm;por_genotipo;EMB48;3;0.06349206349206349;0.796875;0.3374742697748005
svm;por_genotipo;EMB48;3;0.06349206349206349;0.8125;0.3207887133278807
svm;por_genotipo;EMB48;3;0.09523809523809523;0.8125;0.18879055235896508
svm;por_genotipo;EMB48;3;0.09523809523809523;0.84375;0.14027384086620903
svm;por_genotipo;EMB48;3;0.1111111111111111;0.84375;0.0914288845454872
svm;por_genotipo;EMB48;3;0.1111111111111111;0.890625;0.059971568796149455
svm;por_genotipo;EMB48;3;0.12698412698412698;0.890625;-0.0031041904148585986
svm;por_genotipo;EMB48;3;0.12698412698412698;0.90625;-0.12282529887509896
svm;por_genotipo;EMB48;3;0.19047619047619047;0.90625;-0.31590185833878404
svm;por_genotipo;EMB48;3;0.19047619047619047;0.9375;-0.3780594797369726
svm;por_genotipo;EMB48;3;0.20634920634920634;0.9375;-0.4343952237790145
svm;por_genotipo;EMB48;3;0.20634920634920634;0.953125;-0.44397383903911114
svm;por_genotipo;EMB48;3;0.23809523809523808;0.953125;-0.6086464157783427
