modelo;modo;genotipo;fold;banda_nm;importancia_media;importancia_desvio
svm;por_genotipo;EMB48;1;1933;0.1474074074074074;0.03128698086213759
svm;por_genotipo;EMB48;1;713;0.14333333333333337;0.03458751648060751
svm;por_genotipo;EMB48;1;404;0.09851851851851855;0.02747738813480209
svm;por_genotipo;EMB48;1;1381;0.028888888888888877;0.013936953868316134
svm;por_genotipo;EMB48;1;1369;0.01629629629629629;0.014267674284635717
svm;por_genotipo;EMB48;2;1933;0.19222222222222224;0.037641365915486384
svm;por_genotipo;EMB48;2;713;0.10962962962962966;0.021029732691227244
svm;por_genotipo;EMB48;2;404;0.0792592592592593;0.02160881799379974
svm;por_genotipo;EMB48;2;1381;0.01259259259259259;0.015378177401501245
svm;por_genotipo;EMB48;2;1369;3.7007434154171884e-18;0.011828681053830593
svm;por_genotipo;EMB48;3;1933;0.13814814814814813;0.0370388888425949
svm;por_genotipo;EMB48;3;404;0.12740740740740744;0.03510517218095639
svm;por_genotipo;EMB48;3;713;0.11592592592592593;0.025122470936461656
svm;por_genotipo;EMB48;3;1381;0.02740740740740743;0.016907721793353085
svm;por_genotipo;EMB48;3;1369;0.01333333333333333;0.013877773329774214
svm;por_genotipo;EMB48;4;1933;0.1602996254681648;0.03150522973005705
svm;por_genotipo;EMB48;4;404;0.12209737827715357;0.030939140716199826
svm;por_genotipo;EMB48;4;713;0.06404494382022476;0.03309683387283202
svm;por_genotipo;EMB48;4;1381;0.010486891385767834;0.021890096174086077
svm;por_genotipo;EMB48;4;1369;0.01011235955056183;0.011730681470686028
svm;por_genotipo;EMB48;5;404;0.13970037453183515;0.021841982489622967
svm;por_genotipo;EMB48;5;713;0.1337078651685393;0.03156083574199582
svm;por_genotipo;EMB48;5;1933;0.1224719101123595;0.03195834304118628
svm;por_genotipo;EMB48;5;1381;0.038202247191011195;0.016816437693366038
svm;por_genotipo;EMB48;5;1369;0.014981273408239652;0.014310841329245542
