modelo;modo;genotipo;fold;real;predito;n
svm;por_genotipo;EMB48;1;IRRIG;IRRIG;44
svm;por_genotipo;EMB48;1;NIRRIG;IRRIG;1
svm;por_genotipo;EMB48;1;IRRIG;NIRRIG;2
svm;por_genotipo;EMB48;1;NIRRIG;NIRRIG;43
svm;por_genotipo;EMB48;2;IRRIG;IRRIG;43
svm;por_genotipo;EMB48;2;NIRRIG;IRRIG;1
svm;por_genotipo;EMB48;2;IRRIG;NIRRIG;2
svm;por_genotipo;EMB48;2;NIRRIG;NIRRIG;44
svm;por_genotipo;EMB48;3;IRRIG;IRRIG;41
svm;por_genotipo;EMB48;3;NIRRIG;IRRIG;2
svm;por_genotipo;EMB48;3;IRRIG;NIRRIG;4
svm;por_genotipo;EMB48;3;NIRRIG;NIRRIG;43
svm;por_genotipo;EMB48;4;IRRIG;IRRIG;43
svm;por_genotipo;EMB48;4;NIRRIG;IRRIG;10
svm;por_genotipo;EMB48;4;IRRIG;NIRRIG;1
svm;por_genotipo;EMB48;4;NIRRIG;NIRRIG;35
svm;por_genotipo;EMB48;5;IRRIG;IRRIG;43
svm;por_genotipo;EMB48;5;NIRRIG;IRRIG;1
svm;por_genotipo;EMB48;5;IRRIG;NIRRIG;1
svm;por_genotipo;EMB48;5;NIRRIG;NIRRIG;44
