cenario;dia;genotipos_origem;genotipo_teste;seed;n_treino;n_teste;n_bandas;bandas_nm;accuracy;f1;kappa;auc_roc
BR16+CD202→EMB48;D02;BR16+CD202;EMB48;42;128;64;10;"725;1265;1305;1315;1335;1575;1921;1941;1951;1961";0.453125;0.4262295081967213;-0.09375;0.42431640625
BR16+CD202→EMB48;D02;BR16+CD202;EMB48;43;128;64;10;"725;1265;1305;1315;1335;1575;1921;1941;1951;1961";0.453125;0.4262295081967213;-0.09375;0.41796875
BR16+CD202→EMB48;D02;BR16+CD202;EMB48;44;128;64;10;"725;1265;1305;1315;1335;1575;1921;1941;1951;1961";0.453125;0.4262295081967213;-0.09375;0.43603515625
BR16+CD202→EMB48;D02;BR16+CD202;EMB48;45;128;64;10;"725;1265;1305;1315;1335;1575;1921;1941;1951;1961";0.453125;0.4262295081967213;-0.09375;0.4384765625
BR16+CD202→EMB48;D02;BR16+CD202;EMB48;46;128;64;10;"725;1265;1305;1315;1335;1575;1921;1941;1951;1961";0.453125;0.4262295081967213;-0.09375;0.4375
EMB48+CD202→BR16;D02;EMB48+CD202;BR16;42;128;64;10;"545;702;712;722;1265;1305;1315;1335;1382;1575";0.65625;0.56;0.3125;0.63623046875
EMB48+CD202→BR16;D02;EMB48+CD202;BR16;43;128;64;10;"545;702;712;722;1265;1305;1315;1335;1382;1575";0.640625;0.5106382978723404;0.28125;0.64599609375
EMB48+CD202→BR16;D02;EMB48+CD202;BR16;44;128;64;10;"545;702;712;722;1265;1305;1315;1335;1382;1575";0.5625;0.36363636363636365;0.125;0.62255859375
EMB48+CD202→BR16;D02;EMB48+CD202;BR16;45;128;64;10;"545;702;712;722;1265;1305;1315;1335;1382;1575";0.59375;0.4090909090909091;0.1875;0.6318359375
EMB48+CD202→BR16;D02;EMB48+CD202;BR16;46;128;64;10;"545;702;712;722;1265;1305;1315;1335;1382;1575";0.59375;0.4090909090909091;0.1875;0.6337890625
BR16+EMB48→CD202;D02;BR16+EMB48;CD202;42;128;64;10;"545;702;712;722;725;1382;1921;1941;1951;1961";0.328125;0.18867924528301888;-0.34375;0.36083984375
BR16+EMB48→CD202;D02;BR16+EMB48;CD202;43;128;64;10;"545;702;712;722;725;1382;1921;1941;1951;1961";0.34375;0.2222222222222222;-0.3125;0.4130859375
BR16+EMB48→CD202;D02;BR16+EMB48;CD202;44;128;64;10;"545;702;712;722;725;1382;1921;1941;1951;1961";0.328125;0.18867924528301888;-0.34375;0.3935546875
BR16+EMB48→CD202;D02;BR16+EMB48;CD202;45;128;64;10;"545;702;712;722;725;1382;1921;1941;1951;1961";0.328125;0.18867924528301888;-0.34375;0.39990234375
BR16+EMB48→CD202;D02;BR16+EMB48;CD202;46;128;64;10;"545;702;712;722;725;1382;1921;1941;1951;1961";0.34375;0.19230769230769232;-0.3125;0.41259765625
BR16+CD202→EMB48;D03;BR16+CD202;EMB48;42;128;64;10;"405;415;1936;1956;1958;1966;1968;1976;1986;2008";0.9375;0.9333333333333333;0.875;0.984375
BR16+CD202→EMB48;D03;BR16+CD202;EMB48;43;128;64;10;"405;415;1936;1956;1958;1966;1968;1976;1986;2008";0.9375;0.9333333333333333;0.875;0.984375
BR16+CD202→EMB48;D03;BR16+CD202;EMB48;44;128;64;10;"405;415;1936;1956;1958;1966;1968;1976;1986;2008";0.9375;0.9333333333333333;0.875;0.98486328125
BR16+CD202→EMB48;D03;BR16+CD202;EMB48;45;128;64;10;"405;415;1936;1956;1958;1966;1968;1976;1986;2008";0.9375;0.9333333333333333;0.875;0.984375
BR16+CD202→EMB48;D03;BR16+CD202;EMB48;46;128;64;10;"405;415;1936;1956;1958;1966;1968;1976;1986;2008";0.9375;0.9333333333333333;0.875;0.984375
EMB48+CD202→BR16;D03;EMB48+CD202;BR16;42;128;64;10;"1908;1918;1936;1938;1948;1956;1958;1966;1976;1986";0.6875;0.7619047619047619;0.375;0.6875
EMB48+CD202→BR16;D03;EMB48+CD202;BR16;43;128;64;10;"1908;1918;1936;1938;1948;1956;1958;1966;1976;1986";0.6875;0.7619047619047619;0.375;0.6875
EMB48+CD202→BR16;D03;EMB48+CD202;BR16;44;128;64;10;"1908;1918;1936;1938;1948;1956;1958;1966;1976;1986";0.6875;0.7619047619047619;0.375;0.703125
EMB48+CD202→BR16;D03;EMB48+CD202;BR16;45;128;64;10;"1908;1918;1936;1938;1948;1956;1958;1966;1976;1986";0.6875;0.7619047619047619;0.375;0.6875
EMB48+CD202→BR16;D03;EMB48+CD202;BR16;46;128;64;10;"1908;1918;1936;1938;1948;1956;1958;1966;1976;1986";0.6875;0.7619047619047619;0.375;0.6875
BR16+EMB48→CD202;D03;BR16+EMB48;CD202;42;128;64;9;"405;415;1908;1918;1938;1948;1958;1968;2008";0.921875;0.9152542372881356;0.84375;0.9736328125
BR16+EMB48→CD202;D03;BR16+EMB48;CD202;43;128;64;9;"405;415;1908;1918;1938;1948;1958;1968;2008";0.875;0.8571428571428571;0.75;0.9716796875
BR16+EMB48→CD202;D03;BR16+EMB48;CD202;44;128;64;9;"405;415;1908;1918;1938;1948;1958;1968;2008";0.890625;0.8771929824561403;0.78125;0.9736328125
BR16+EMB48→CD202;D03;BR16+EMB48;CD202;45;128;64;9;"405;415;1908;1918;1938;1948;1958;1968;2008";0.875;0.8571428571428571;0.75;0.9765625
BR16+EMB48→CD202;D03;BR16+EMB48;CD202;46;128;64;9;"405;415;1908;1918;1938;1948;1958;1968;2008";0.90625;0.896551724137931;0.8125;0.9736328125
BR16+CD202→EMB48;D04;BR16+CD202;EMB48;42;128;64;10;"405;415;714;1380;1568;1938;1946;1948;1956;1958";0.765625;0.6938775510204082;0.53125;0.90283203125
BR16+CD202→EMB48;D04;BR16+CD202;EMB48;43;128;64;10;"405;415;714;1380;1568;1938;1946;1948;1956;1958";0.765625;0.6938775510204082;0.53125;0.9072265625
BR16+CD202→EMB48;D04;BR16+CD202;EMB48;44;128;64;10;"405;415;714;1380;1568;1938;1946;1948;1956;1958";0.765625;0.6938775510204082;0.53125;0.90185546875
BR16+CD202→EMB48;D04;BR16+CD202;EMB48;45;128;64;10;"405;415;714;1380;1568;1938;1946;1948;1956;1958";0.765625;0.6938775510204082;0.53125;0.88916015625
BR16+CD202→EMB48;D04;BR16+CD202;EMB48;46;128;64;10;"405;415;714;1380;1568;1938;1946;1948;1956;1958";0.765625;0.6938775510204082;0.53125;0.88818359375
EMB48+CD202→BR16;D04;EMB48+CD202;BR16;42;128;64;10;"415;715;1375;1568;1923;1938;1943;1948;1953;1958";0.828125;0.8533333333333334;0.65625;0.97607421875
EMB48+CD202→BR16;D04;EMB48+CD202;BR16;43;128;64;10;"415;715;1375;1568;1923;1938;1943;1948;1953;1958";0.828125;0.8533333333333334;0.65625;0.97900390625
EMB48+CD202→BR16;D04;EMB48+CD202;BR16;44;128;64;10;"415;715;1375;1568;1923;1938;1943;1948;1953;1958";0.828125;0.8533333333333334;0.65625;0.986328125
EMB48+CD202→BR16;D04;EMB48+CD202;BR16;45;128;64;10;"415;715;1375;1568;1923;1938;1943;1948;1953;1958";0.828125;0.8533333333333334;0.65625;0.99609375
EMB48+CD202→BR16;D04;EMB48+CD202;BR16;46;128;64;10;"415;715;1375;1568;1923;1938;1943;1948;1953;1958";0.828125;0.8533333333333334;0.65625;1.0
BR16+EMB48→CD202;D04;BR16+EMB48;CD202;42;128;64;10;"405;714;715;1375;1380;1923;1943;1946;1953;1956";0.6875;0.7619047619047619;0.375;0.96142578125
BR16+EMB48→CD202;D04;BR16+EMB48;CD202;43;128;64;10;"405;714;715;1375;1380;1923;1943;1946;1953;1956";0.65625;0.7441860465116279;0.3125;0.9599609375
BR16+EMB48→CD202;D04;BR16+EMB48;CD202;44;128;64;10;"405;714;715;1375;1380;1923;1943;1946;1953;1956";0.65625;0.7441860465116279;0.3125;0.9560546875
BR16+EMB48→CD202;D04;BR16+EMB48;CD202;45;128;64;10;"405;714;715;1375;1380;1923;1943;1946;1953;1956";0.640625;0.735632183908046;0.28125;0.958984375
BR16+EMB48→CD202;D04;BR16+EMB48;CD202;46;128;64;10;"405;714;715;1375;1380;1923;1943;1946;1953;1956";0.65625;0.7441860465116279;0.3125;0.9638671875
BR16+CD202→EMB48;D05;BR16+CD202;EMB48;42;128;64;10;"821;951;1121;1458;1900;1920;1940;1950;1960;2447";0.9375;0.9411764705882353;0.875;0.90625
BR16+CD202→EMB48;D05;BR16+CD202;EMB48;43;128;64;10;"821;951;1121;1458;1900;1920;1940;1950;1960;2447";0.9375;0.9411764705882353;0.875;0.890625
BR16+CD202→EMB48;D05;BR16+CD202;EMB48;44;128;64;10;"821;951;1121;1458;1900;1920;1940;1950;1960;2447";0.9375;0.9411764705882353;0.875;0.9140625
BR16+CD202→EMB48;D05;BR16+CD202;EMB48;45;128;64;10;"821;951;1121;1458;1900;1920;1940;1950;1960;2447";0.9375;0.9411764705882353;0.875;0.90625
BR16+CD202→EMB48;D05;BR16+CD202;EMB48;46;128;64;10;"821;951;1121;1458;1900;1920;1940;1950;1960;2447";0.9375;0.9411764705882353;0.875;0.91015625
EMB48+CD202→BR16;D05;EMB48+CD202;BR16;42;128;64;10;"425;435;1900;1920;1939;1940;1950;1959;1960;1969";0.875;0.8888888888888888;0.75;0.90625
EMB48+CD202→BR16;D05;EMB48+CD202;BR16;43;128;64;10;"425;435;1900;1920;1939;1940;1950;1959;1960;1969";0.875;0.8888888888888888;0.75;0.90625
EMB48+CD202→BR16;D05;EMB48+CD202;BR16;44;128;64;10;"425;435;1900;1920;1939;1940;1950;1959;1960;1969";0.875;0.8888888888888888;0.75;0.9296875
EMB48+CD202→BR16;D05;EMB48+CD202;BR16;45;128;64;10;"425;435;1900;1920;1939;1940;1950;1959;1960;1969";0.875;0.8888888888888888;0.75;0.90625
EMB48+CD202→BR16;D05;EMB48+CD202;BR16;46;128;64;10;"425;435;1900;1920;1939;1940;1950;1959;1960;1969";0.875;0.8888888888888888;0.75;0.90625
BR16+EMB48→CD202;D05;BR16+EMB48;CD202;42;128;64;10;"425;435;821;951;1121;1458;1939;1959;1969;2447";0.765625;0.6938775510204082;0.53125;1.0
BR16+EMB48→CD202;D05;BR16+EMB48;CD202;43;128;64;10;"425;435;821;951;1121;1458;1939;1959;1969;2447";0.765625;0.6938775510204082;0.53125;1.0
BR16+EMB48→CD202;D05;BR16+EMB48;CD202;44;128;64;10;"425;435;821;951;1121;1458;1939;1959;1969;2447";0.765625;0.6938775510204082;0.53125;1.0
BR16+EMB48→CD202;D05;BR16+EMB48;CD202;45;128;64;10;"425;435;821;951;1121;1458;1939;1959;1969;2447";0.75;0.6666666666666666;0.5;1.0
BR16+EMB48→CD202;D05;BR16+EMB48;CD202;46;128;64;10;"425;435;821;951;1121;1458;1939;1959;1969;2447";0.765625;0.6938775510204082;0.53125;1.0
BR16+CD202→EMB48;D06;BR16+CD202;EMB48;42;128;64;10;"763;828;1098;1461;1522;1581;1942;1972;2371;2449";0.9375;0.9411764705882353;0.875;1.0
BR16+CD202→EMB48;D06;BR16+CD202;EMB48;43;128;64;10;"763;828;1098;1461;1522;1581;1942;1972;2371;2449";0.9375;0.9411764705882353;0.875;1.0
BR16+CD202→EMB48;D06;BR16+CD202;EMB48;44;128;64;10;"763;828;1098;1461;1522;1581;1942;1972;2371;2449";0.9375;0.9411764705882353;0.875;1.0
BR16+CD202→EMB48;D06;BR16+CD202;EMB48;45;128;64;10;"763;828;1098;1461;1522;1581;1942;1972;2371;2449";0.9375;0.9411764705882353;0.875;1.0
BR16+CD202→EMB48;D06;BR16+CD202;EMB48;46;128;64;10;"763;828;1098;1461;1522;1581;1942;1972;2371;2449";0.9375;0.9411764705882353;0.875;1.0
EMB48+CD202→BR16;D06;EMB48+CD202;BR16;42;128;64;10;"425;749;759;763;779;789;1522;1942;1972;2449";1.0;1.0;1.0;1.0
EMB48+CD202→BR16;D06;EMB48+CD202;BR16;43;128;64;10;"425;749;759;763;779;789;1522;1942;1972;2449";1.0;1.0;1.0;1.0
EMB48+CD202→BR16;D06;EMB48+CD202;BR16;44;128;64;10;"425;749;759;763;779;789;1522;1942;1972;2449";1.0;1.0;1.0;1.0
EMB48+CD202→BR16;D06;EMB48+CD202;BR16;45;128;64;10;"425;749;759;763;779;789;1522;1942;1972;2449";1.0;1.0;1.0;1.0
EMB48+CD202→BR16;D06;EMB48+CD202;BR16;46;128;64;10;"425;749;759;763;779;789;1522;1942;1972;2449";1.0;1.0;1.0;1.0
BR16+EMB48→CD202;D06;BR16+EMB48;CD202;42;128;64;10;"425;749;759;779;789;828;1098;1461;1581;2371";0.9375;0.9333333333333333;0.875;1.0
BR16+EMB48→CD202;D06;BR16+EMB48;CD202;43;128;64;10;"425;749;759;779;789;828;1098;1461;1581;2371";0.9375;0.9333333333333333;0.875;1.0
BR16+EMB48→CD202;D06;BR16+EMB48;CD202;44;128;64;10;"425;749;759;779;789;828;1098;1461;1581;2371";0.9375;0.9333333333333333;0.875;1.0
BR16+EMB48→CD202;D06;BR16+EMB48;CD202;45;128;64;10;"425;749;759;779;789;828;1098;1461;1581;2371";0.9375;0.9333333333333333;0.875;1.0
BR16+EMB48→CD202;D06;BR16+EMB48;CD202;46;128;64;10;"425;749;759;779;789;828;1098;1461;1581;2371";0.9375;0.9333333333333333;0.875;1.0
BR16+CD202→EMB48;D09;BR16+CD202;EMB48;42;132;64;10;"465;1460;1470;1480;1510;1523;1943;1953;1963;1993";0.734375;0.6909090909090909;0.46875;0.81005859375
BR16+CD202→EMB48;D09;BR16+CD202;EMB48;43;132;64;10;"465;1460;1470;1480;1510;1523;1943;1953;1963;1993";0.734375;0.6909090909090909;0.46875;0.8154296875
BR16+CD202→EMB48;D09;BR16+CD202;EMB48;44;132;64;10;"465;1460;1470;1480;1510;1523;1943;1953;1963;1993";0.734375;0.6909090909090909;0.46875;0.814453125
