cenario;dia;seed;genotipo_teste;classe_real_nirrig;classe_predita_nirrig;score_nirrig
BR16+CD202→EMB48;D02;42;EMB48;0;0;0.098
BR16+CD202→EMB48;D02;42;EMB48;0;1;0.818
BR16+CD202→EMB48;D02;42;EMB48;0;1;0.818
BR16+CD202→EMB48;D02;42;EMB48;0;1;0.818
BR16+CD202→EMB48;D02;42;EMB48;0;1;0.818
BR16+CD202→EMB48;D02;42;EMB48;0;0;0.304
BR16+CD202→EMB48;D02;42;EMB48;0;0;0.098
BR16+CD202→EMB48;D02;42;EMB48;0;0;0.128
BR16+CD202→EMB48;D02;42;EMB48;0;0;0.048
BR16+CD202→EMB48;D02;42;EMB48;0;0;0.072
BR16+CD202→EMB48;D02;42;EMB48;1;1;0.774
BR16+CD202→EMB48;D02;42;EMB48;0;0;0.108
BR16+CD202→EMB48;D02;42;EMB48;1;1;0.804
BR16+CD202→EMB48;D02;42;EMB48;0;0;0.092
BR16+CD202→EMB48;D02;42;EMB48;1;1;0.806
BR16+CD202→EMB48;D02;42;EMB48;0;0;0.478
BR16+CD202→EMB48;D02;42;EMB48;1;1;0.806
BR16+CD202→EMB48;D02;42;EMB48;0;1;0.554
BR16+CD202→EMB48;D02;42;EMB48;1;1;0.986
BR16+CD202→EMB48;D02;42;EMB48;0;1;0.602
BR16+CD202→EMB48;D02;42;EMB48;1;1;1.0
BR16+CD202→EMB48;D02;42;EMB48;0;1;0.644
BR16+CD202→EMB48;D02;42;EMB48;1;1;0.996
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.048
BR16+CD202→EMB48;D02;42;EMB48;1;1;0.996
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.046
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.086
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.09
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.182
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.186
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.206
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.192
BR16+CD202→EMB48;D02;42;EMB48;0;0;0.23
BR16+CD202→EMB48;D02;42;EMB48;0;0;0.23
BR16+CD202→EMB48;D02;42;EMB48;0;0;0.236
BR16+CD202→EMB48;D02;42;EMB48;0;0;0.24
BR16+CD202→EMB48;D02;42;EMB48;0;1;0.806
BR16+CD202→EMB48;D02;42;EMB48;0;1;0.806
BR16+CD202→EMB48;D02;42;EMB48;0;1;0.806
BR16+CD202→EMB48;D02;42;EMB48;0;1;0.806
BR16+CD202→EMB48;D02;42;EMB48;1;1;0.678
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.354
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.404
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.408
BR16+CD202→EMB48;D02;42;EMB48;1;1;0.784
BR16+CD202→EMB48;D02;42;EMB48;1;1;0.788
BR16+CD202→EMB48;D02;42;EMB48;1;1;0.798
BR16+CD202→EMB48;D02;42;EMB48;1;1;0.782
BR16+CD202→EMB48;D02;42;EMB48;0;1;0.594
BR16+CD202→EMB48;D02;42;EMB48;0;0;0.338
BR16+CD202→EMB48;D02;42;EMB48;0;0;0.458
BR16+CD202→EMB48;D02;42;EMB48;0;0;0.322
BR16+CD202→EMB48;D02;42;EMB48;0;1;0.998
BR16+CD202→EMB48;D02;42;EMB48;0;1;0.978
BR16+CD202→EMB48;D02;42;EMB48;0;1;0.978
BR16+CD202→EMB48;D02;42;EMB48;0;1;0.992
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.01
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.016
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.016
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.016
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.436
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.328
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.326
BR16+CD202→EMB48;D02;42;EMB48;1;0;0.316
BR16+CD202→EMB48;D02;43;EMB48;0;0;0.092
BR16+CD202→EMB48;D02;43;EMB48;0;1;0.814
BR16+CD202→EMB48;D02;43;EMB48;0;1;0.814
BR16+CD202→EMB48;D02;43;EMB48;0;1;0.818
BR16+CD202→EMB48;D02;43;EMB48;0;1;0.82
BR16+CD202→EMB48;D02;43;EMB48;0;0;0.33
BR16+CD202→EMB48;D02;43;EMB48;0;0;0.076
BR16+CD202→EMB48;D02;43;EMB48;0;0;0.098
BR16+CD202→EMB48;D02;43;EMB48;0;0;0.036
BR16+CD202→EMB48;D02;43;EMB48;0;0;0.07
BR16+CD202→EMB48;D02;43;EMB48;1;1;0.79
BR16+CD202→EMB48;D02;43;EMB48;0;0;0.098
BR16+CD202→EMB48;D02;43;EMB48;1;1;0.802
BR16+CD202→EMB48;D02;43;EMB48;0;0;0.084
BR16+CD202→EMB48;D02;43;EMB48;1;1;0.802
BR16+CD202→EMB48;D02;43;EMB48;0;0;0.456
BR16+CD202→EMB48;D02;43;EMB48;1;1;0.802
BR16+CD202→EMB48;D02;43;EMB48;0;1;0.534
BR16+CD202→EMB48;D02;43;EMB48;1;1;0.986
BR16+CD202→EMB48;D02;43;EMB48;0;1;0.588
BR16+CD202→EMB48;D02;43;EMB48;1;1;0.996
BR16+CD202→EMB48;D02;43;EMB48;0;1;0.63
BR16+CD202→EMB48;D02;43;EMB48;1;1;0.994
BR16+CD202→EMB48;D02;43;EMB48;1;0;0.038
BR16+CD202→EMB48;D02;43;EMB48;1;1;0.994
BR16+CD202→EMB48;D02;43;EMB48;1;0;0.032
BR16+CD202→EMB48;D02;43;EMB48;1;0;0.072
BR16+CD202→EMB48;D02;43;EMB48;1;0;0.088
BR16+CD202→EMB48;D02;43;EMB48;1;0;0.178
BR16+CD202→EMB48;D02;43;EMB48;1;0;0.172
BR16+CD202→EMB48;D02;43;EMB48;1;0;0.202
BR16+CD202→EMB48;D02;43;EMB48;1;0;0.182
BR16+CD202→EMB48;D02;43;EMB48;0;0;0.238
BR16+CD202→EMB48;D02;43;EMB48;0;0;0.238
BR16+CD202→EMB48;D02;43;EMB48;0;0;0.238
BR16+CD202→EMB48;D02;43;EMB48;0;0;0.242
BR16+CD202→EMB48;D02;43;EMB48;0;1;0.804
BR16+CD202→EMB48;D02;43;EMB48;0;1;0.806
BR16+CD202→EMB48;D02;43;EMB48;0;1;0.806
BR16+CD202→EMB48;D02;43;EMB48;0;1;0.81
BR16+CD202→EMB48;D02;43;EMB48;1;1;0.696
BR16+CD202→EMB48;D02;43;EMB48;1;0;0.356
BR16+CD202→EMB48;D02;43;EMB48;1;0;0.42
