genotipo,condicao,dia,media,desvio_padrao,n,ic95_inferior,ic95_superior
BR16,IRRIG,2,0.648177,0.017793,32,0.641761,0.654592
BR16,IRRIG,3,0.631305,0.020796,32,0.623808,0.638803
BR16,IRRIG,4,0.604002,0.040000,32,0.589580,0.618423
BR16,IRRIG,5,0.590079,0.051416,32,0.571541,0.608616
BR16,IRRIG,6,0.581722,0.013920,32,0.576704,0.586741
BR16,IRRIG,9,0.608625,0.028209,32,0.598454,0.618795
BR16,IRRIG,10,0.622686,0.050336,32,0.604538,0.640834
BR16,NIRRIG,2,0.652495,0.030271,32,0.641582,0.663409
BR16,NIRRIG,3,0.645596,0.019456,32,0.638581,0.652610
BR16,NIRRIG,4,0.638373,0.024719,32,0.629461,0.647285
BR16,NIRRIG,5,0.631338,0.019908,32,0.624160,0.638515
BR16,NIRRIG,6,0.643467,0.020517,32,0.636070,0.650864
BR16,NIRRIG,9,0.662810,0.027827,32,0.652777,0.672842
BR16,NIRRIG,10,0.651070,0.024719,32,0.642157,0.659982
CD202,IRRIG,2,0.601363,0.018762,32,0.594599,0.608127
CD202,IRRIG,3,0.566885,0.027055,32,0.557130,0.576639
CD202,IRRIG,4,0.543566,0.033823,32,0.531371,0.555760
CD202,IRRIG,5,0.540382,0.029346,32,0.529802,0.550962
CD202,IRRIG,6,0.559623,0.037439,32,0.546125,0.573121
CD202,IRRIG,9,0.594867,0.028591,36,0.585194,0.604541
CD202,IRRIG,10,0.598579,0.027824,32,0.588547,0.608610
CD202,NIRRIG,2,0.608769,0.014983,32,0.603367,0.614172
CD202,NIRRIG,3,0.599920,0.025529,32,0.590716,0.609124
CD202,NIRRIG,4,0.589882,0.022695,32,0.581700,0.598064
CD202,NIRRIG,5,0.581705,0.019600,32,0.574638,0.588771
CD202,NIRRIG,6,0.626342,0.019448,32,0.619330,0.633353
CD202,NIRRIG,9,0.603369,0.025144,32,0.594303,0.612434
CD202,NIRRIG,10,0.607104,0.020009,32,0.599890,0.614318
EMB48,IRRIG,2,0.590778,0.016182,32,0.584944,0.596612
EMB48,IRRIG,3,0.559927,0.011240,32,0.555874,0.563979
EMB48,IRRIG,4,0.534417,0.016732,32,0.528384,0.540449
EMB48,IRRIG,5,0.539071,0.035836,32,0.526151,0.551991
EMB48,IRRIG,6,0.540657,0.010526,32,0.536862,0.544452
EMB48,IRRIG,9,0.584479,0.029251,32,0.573933,0.595025
EMB48,IRRIG,10,0.588612,0.026786,32,0.578955,0.598269
EMB48,NIRRIG,2,0.578540,0.032078,32,0.566974,0.590105
EMB48,NIRRIG,3,0.562498,0.043253,32,0.546904,0.578092
EMB48,NIRRIG,4,0.559352,0.041296,32,0.544463,0.574240
EMB48,NIRRIG,5,0.556359,0.035066,32,0.543716,0.569001
EMB48,NIRRIG,6,0.580548,0.033137,32,0.568601,0.592495
EMB48,NIRRIG,9,0.605823,0.015939,32,0.600076,0.611569
EMB48,NIRRIG,10,0.602612,0.015516,32,0.597018,0.608206
