genotipo,condicao,dia,media,desvio_padrao,n,ic95_inferior,ic95_superior
BR16,IRRIG,2,0.789162,0.013555,32,0.784275,0.794050
BR16,IRRIG,3,0.778646,0.013468,32,0.773791,0.783502
BR16,IRRIG,4,0.775500,0.011743,32,0.771267,0.779734
BR16,IRRIG,5,0.772467,0.014339,32,0.767298,0.777637
BR16,IRRIG,6,0.764802,0.007428,32,0.762124,0.767480
BR16,IRRIG,9,0.778240,0.013555,32,0.773353,0.783127
BR16,IRRIG,10,0.788655,0.019560,32,0.781603,0.795707
BR16,NIRRIG,2,0.789951,0.026270,32,0.780480,0.799423
BR16,NIRRIG,3,0.795933,0.013488,32,0.791070,0.800796
BR16,NIRRIG,4,0.771009,0.015495,32,0.765422,0.776595
BR16,NIRRIG,5,0.801553,0.017529,32,0.795234,0.807873
BR16,NIRRIG,6,0.806242,0.016494,32,0.800295,0.812189
BR16,NIRRIG,9,0.788516,0.016764,32,0.782472,0.794560
BR16,NIRRIG,10,0.775248,0.013569,32,0.770356,0.780140
CD202,IRRIG,2,0.780510,0.012055,32,0.776164,0.784856
CD202,IRRIG,3,0.766743,0.006365,32,0.764448,0.769038
CD202,IRRIG,4,0.770163,0.010961,32,0.766211,0.774114
CD202,IRRIG,5,0.784284,0.017216,32,0.778077,0.790491
CD202,IRRIG,6,0.764852,0.015404,32,0.759299,0.770406
CD202,IRRIG,9,0.765869,0.017501,36,0.759948,0.771791
CD202,IRRIG,10,0.771839,0.015640,32,0.766201,0.777478
CD202,NIRRIG,2,0.801714,0.019286,32,0.794761,0.808667
CD202,NIRRIG,3,0.784805,0.026316,32,0.775317,0.794292
CD202,NIRRIG,4,0.783982,0.012904,32,0.779330,0.788634
CD202,NIRRIG,5,0.807415,0.016329,32,0.801528,0.813302
CD202,NIRRIG,6,0.802002,0.016853,32,0.795926,0.808079
CD202,NIRRIG,9,0.814157,0.012128,32,0.809784,0.818529
CD202,NIRRIG,10,0.790346,0.011893,32,0.786058,0.794634
EMB48,IRRIG,2,0.798948,0.020016,32,0.791731,0.806164
EMB48,IRRIG,3,0.790193,0.021848,32,0.782316,0.798070
EMB48,IRRIG,4,0.795761,0.017116,32,0.789590,0.801932
EMB48,IRRIG,5,0.801166,0.015739,32,0.795491,0.806840
EMB48,IRRIG,6,0.773699,0.017249,32,0.767480,0.779918
EMB48,IRRIG,9,0.778975,0.016160,32,0.773149,0.784801
EMB48,IRRIG,10,0.796136,0.011577,32,0.791962,0.800310
EMB48,NIRRIG,2,0.796179,0.023798,32,0.787598,0.804759
EMB48,NIRRIG,3,0.812216,0.022979,32,0.803931,0.820501
EMB48,NIRRIG,4,0.776764,0.013935,32,0.771740,0.781788
EMB48,NIRRIG,5,0.824693,0.024584,32,0.815830,0.833557
EMB48,NIRRIG,6,0.794710,0.015603,32,0.789085,0.800335
EMB48,NIRRIG,9,0.786798,0.020393,32,0.779445,0.794150
EMB48,NIRRIG,10,0.777232,0.018836,32,0.770441,0.784023
