genotipo,condicao,dia,media,desvio_padrao,n,ic95_inferior,ic95_superior
BR16,IRRIG,2,0.222307,0.010171,32,0.218640,0.225974
BR16,IRRIG,3,0.218179,0.011000,32,0.214213,0.222145
BR16,IRRIG,4,0.206190,0.011973,32,0.201874,0.210507
BR16,IRRIG,5,0.202150,0.015796,32,0.196455,0.207845
BR16,IRRIG,6,0.213960,0.011216,32,0.209916,0.218004
BR16,IRRIG,9,0.209380,0.018697,32,0.202640,0.216121
BR16,IRRIG,10,0.210706,0.022320,32,0.202659,0.218753
BR16,NIRRIG,2,0.216176,0.019656,32,0.209090,0.223263
BR16,NIRRIG,3,0.205490,0.017468,32,0.199193,0.211788
BR16,NIRRIG,4,0.196783,0.013270,32,0.191999,0.201568
BR16,NIRRIG,5,0.188916,0.015852,32,0.183201,0.194631
BR16,NIRRIG,6,0.201297,0.015524,32,0.195700,0.206894
BR16,NIRRIG,9,0.222820,0.020905,32,0.215283,0.230357
BR16,NIRRIG,10,0.219186,0.012519,32,0.214673,0.223700
CD202,IRRIG,2,0.186473,0.016799,32,0.180416,0.192530
CD202,IRRIG,3,0.177118,0.018518,32,0.170442,0.183794
CD202,IRRIG,4,0.171928,0.020510,32,0.164533,0.179322
CD202,IRRIG,5,0.174182,0.020394,32,0.166829,0.181535
CD202,IRRIG,6,0.194646,0.026830,32,0.184972,0.204319
CD202,IRRIG,9,0.209166,0.021536,36,0.201879,0.216452
CD202,IRRIG,10,0.208499,0.014334,32,0.203331,0.213667
CD202,NIRRIG,2,0.185269,0.009705,32,0.181770,0.188768
CD202,NIRRIG,3,0.172551,0.014821,32,0.167207,0.177894
CD202,NIRRIG,4,0.169074,0.015777,32,0.163386,0.174762
CD202,NIRRIG,5,0.164841,0.014702,32,0.159541,0.170142
CD202,NIRRIG,6,0.194218,0.011261,32,0.190158,0.198278
CD202,NIRRIG,9,0.177176,0.013579,32,0.172280,0.182071
CD202,NIRRIG,10,0.177447,0.010330,32,0.173723,0.181171
EMB48,IRRIG,2,0.183185,0.015076,32,0.177750,0.188621
EMB48,IRRIG,3,0.171831,0.009155,32,0.168531,0.175132
EMB48,IRRIG,4,0.166526,0.005699,32,0.164471,0.168581
EMB48,IRRIG,5,0.167172,0.010545,32,0.163370,0.170973
EMB48,IRRIG,6,0.178904,0.010004,32,0.175298,0.182511
EMB48,IRRIG,9,0.198730,0.005383,32,0.196790,0.200671
EMB48,IRRIG,10,0.195225,0.008306,32,0.192230,0.198220
EMB48,NIRRIG,2,0.166802,0.021064,32,0.159208,0.174396
EMB48,NIRRIG,3,0.155412,0.020315,32,0.148088,0.162736
EMB48,NIRRIG,4,0.155241,0.018318,32,0.148637,0.161845
EMB48,NIRRIG,5,0.148189,0.021307,32,0.140507,0.155870
EMB48,NIRRIG,6,0.167083,0.017825,32,0.160656,0.173509
EMB48,NIRRIG,9,0.177470,0.010680,32,0.173619,0.181321
EMB48,NIRRIG,10,0.176667,0.010849,32,0.172755,0.180578
