genotipo,condicao,dia,media,desvio_padrao,n,ic95_inferior,ic95_superior
BR16,IRRIG,2,0.026982,0.001977,32,0.026269,0.027695
BR16,IRRIG,3,0.034271,0.005100,32,0.032432,0.036110
BR16,IRRIG,4,0.035076,0.005525,32,0.033084,0.037068
BR16,IRRIG,5,0.031439,0.004187,32,0.029930,0.032949
BR16,IRRIG,6,0.035182,0.002082,32,0.034432,0.035933
BR16,IRRIG,9,0.031214,0.003006,32,0.030130,0.032298
BR16,IRRIG,10,0.027536,0.002427,32,0.026661,0.028411
BR16,NIRRIG,2,0.030047,0.004198,32,0.028534,0.031560
BR16,NIRRIG,3,0.035647,0.006629,32,0.033257,0.038037
BR16,NIRRIG,4,0.034800,0.005042,32,0.032982,0.036618
BR16,NIRRIG,5,0.028859,0.003895,32,0.027455,0.030264
BR16,NIRRIG,6,0.029384,0.002324,32,0.028546,0.030222
BR16,NIRRIG,9,0.031863,0.003538,32,0.030587,0.033139
BR16,NIRRIG,10,0.029253,0.002559,32,0.028331,0.030176
CD202,IRRIG,2,0.030476,0.003430,32,0.029239,0.031712
CD202,IRRIG,3,0.039110,0.003094,32,0.037995,0.040226
CD202,IRRIG,4,0.032386,0.001275,32,0.031926,0.032845
CD202,IRRIG,5,0.029378,0.003242,32,0.028209,0.030547
CD202,IRRIG,6,0.037228,0.002467,32,0.036338,0.038117
CD202,IRRIG,9,0.033302,0.004458,36,0.031794,0.034811
CD202,IRRIG,10,0.029164,0.001164,32,0.028744,0.029584
CD202,NIRRIG,2,0.028796,0.003116,32,0.027673,0.029919
CD202,NIRRIG,3,0.039505,0.006080,32,0.037313,0.041697
CD202,NIRRIG,4,0.029948,0.002956,32,0.028882,0.031014
CD202,NIRRIG,5,0.027104,0.002744,32,0.026115,0.028093
CD202,NIRRIG,6,0.030112,0.002787,32,0.029107,0.031117
CD202,NIRRIG,9,0.027103,0.003945,32,0.025681,0.028526
CD202,NIRRIG,10,0.028631,0.002049,32,0.027892,0.029369
EMB48,IRRIG,2,0.026420,0.002055,32,0.025679,0.027161
EMB48,IRRIG,3,0.032433,0.005509,32,0.030447,0.034419
EMB48,IRRIG,4,0.028666,0.001741,32,0.028039,0.029294
EMB48,IRRIG,5,0.029591,0.003537,32,0.028316,0.030866
EMB48,IRRIG,6,0.037956,0.007484,32,0.035258,0.040655
EMB48,IRRIG,9,0.030509,0.003630,32,0.029200,0.031817
EMB48,IRRIG,10,0.026317,0.002657,32,0.025359,0.027274
EMB48,NIRRIG,2,0.026929,0.003042,32,0.025833,0.028026
EMB48,NIRRIG,3,0.029736,0.006562,32,0.027370,0.032102
EMB48,NIRRIG,4,0.029924,0.001269,32,0.029466,0.030381
EMB48,NIRRIG,5,0.026053,0.003477,32,0.024799,0.027307
EMB48,NIRRIG,6,0.032671,0.007903,32,0.029822,0.035521
EMB48,NIRRIG,9,0.030290,0.005453,32,0.028323,0.032256
EMB48,NIRRIG,10,0.030220,0.003352,32,0.029012,0.031429
