genotipo,condicao,dia,media,desvio_padrao,n,ic95_inferior,ic95_superior
BR16,IRRIG,2,8.396254,0.860905,32,8.085866,8.706641
BR16,IRRIG,3,7.441509,0.921723,32,7.109194,7.773823
BR16,IRRIG,4,6.953056,1.696620,32,6.341363,7.564749
BR16,IRRIG,5,6.717028,1.886645,32,6.036824,7.397231
BR16,IRRIG,6,6.038715,0.338438,32,5.916697,6.160734
BR16,IRRIG,9,7.029713,1.102038,32,6.632389,7.427038
BR16,IRRIG,10,7.596969,1.537349,32,7.042699,8.151238
BR16,NIRRIG,2,8.524481,0.655481,32,8.288156,8.760805
BR16,NIRRIG,3,8.884474,0.256907,32,8.791850,8.977099
BR16,NIRRIG,4,8.774289,0.629643,32,8.547281,9.001298
BR16,NIRRIG,5,8.854113,0.363132,32,8.723191,8.985035
BR16,NIRRIG,6,9.227625,0.339578,32,9.105195,9.350056
BR16,NIRRIG,9,9.001893,0.644152,32,8.769653,9.234133
BR16,NIRRIG,10,8.495533,0.999894,32,8.135036,8.856031
CD202,IRRIG,2,7.675251,0.203093,32,7.602029,7.748473
CD202,IRRIG,3,6.300159,0.284077,32,6.197739,6.402578
CD202,IRRIG,4,5.835811,0.654218,32,5.599942,6.071680
CD202,IRRIG,5,5.574114,0.406794,32,5.427450,5.720778
CD202,IRRIG,6,5.873712,0.578749,32,5.665052,6.082371
CD202,IRRIG,9,6.509667,0.877130,36,6.212890,6.806444
CD202,IRRIG,10,6.674084,1.237055,32,6.228081,7.120087
CD202,NIRRIG,2,7.796250,0.689276,32,7.547741,8.044759
CD202,NIRRIG,3,8.452569,0.521958,32,8.264385,8.640754
CD202,NIRRIG,4,8.206028,0.602421,32,7.988834,8.423223
CD202,NIRRIG,5,8.036297,0.374230,32,7.901374,8.171221
CD202,NIRRIG,6,8.925232,0.482527,32,8.751264,9.099200
CD202,NIRRIG,9,8.240744,0.482638,32,8.066736,8.414752
CD202,NIRRIG,10,8.443104,0.475536,32,8.271656,8.614552
EMB48,IRRIG,2,7.289605,0.239323,32,7.203320,7.375889
EMB48,IRRIG,3,6.082351,0.297643,32,5.975040,6.189662
EMB48,IRRIG,4,5.547834,0.486808,32,5.372323,5.723346
EMB48,IRRIG,5,5.783399,0.996822,32,5.424008,6.142789
EMB48,IRRIG,6,5.621690,0.377378,32,5.485632,5.757748
EMB48,IRRIG,9,6.655327,0.743390,32,6.387308,6.923346
EMB48,IRRIG,10,6.703188,1.030788,32,6.331552,7.074824
EMB48,NIRRIG,2,7.559340,0.515568,32,7.373459,7.745221
EMB48,NIRRIG,3,7.723968,0.747706,32,7.454393,7.993543
EMB48,NIRRIG,4,7.946102,0.889045,32,7.625569,8.266635
EMB48,NIRRIG,5,7.845927,0.606978,32,7.627089,8.064764
EMB48,NIRRIG,6,8.544413,0.573165,32,8.337767,8.751060
EMB48,NIRRIG,9,8.713754,0.394513,32,8.571518,8.855991
EMB48,NIRRIG,10,8.691189,0.402795,32,8.545966,8.836411
