grupo;banda_representante_nm;tamanho;inicio_nm;fim_nm;r_abs_min_grupo;r_abs_medio_grupo;largura_nm;criterio_representante;q_condicao_representante
0;404;10;400;409;0.9948416583565911;0.9985179148863172;9;menor_q_condicao;6.328882578377402e-11
1;414;10;410;419;0.9964531813532576;0.9987010746511722;9;menor_q_condicao;6.328882578377402e-11
2;425;10;420;429;0.9981642651081448;0.9993945270469536;9;menor_q_condicao;6.328882578377402e-11
3;435;10;430;439;0.9985678465194836;0.999565346260276;9;menor_q_condicao;6.328882578377402e-11
4;444;10;440;449;0.9982947884614151;0.9995317085444662;9;menor_q_condicao;6.328882578377402e-11
5;454;10;450;459;0.9986784844130023;0.9996450541821688;9;menor_q_condicao;6.328882578377402e-11
6;465;10;460;469;0.9991106261490861;0.9997616621622614;9;menor_q_condicao;6.328882578377402e-11
7;474;10;470;479;0.9992717117190221;0.9998069049196834;9;menor_q_condicao;6.328882578377402e-11
8;482;10;480;489;0.999158271176813;0.9997612736469405;9;menor_q_condicao;6.496461214530716e-11
9;490;10;490;499;0.9984844343560957;0.9996219805241716;9;menor_q_condicao;8.184712331529104e-11
10;500;10;500;509;0.9903994601831702;0.9976006806313904;9;menor_q_condicao;2.553619504446834e-10
11;510;10;510;519;0.9643986209900772;0.9912078241410015;9;menor_q_condicao;1.6760914329460252e-09
12;520;10;520;529;0.962617070639559;0.9912879116809178;9;menor_q_condicao;8.218145279715259e-08
13;530;10;530;539;0.9925091873493243;0.9981589534215799;9;menor_q_condicao;9.270000799960424e-06
14;549;10;540;549;0.9977967177513892;0.9994548447919847;9;menor_q_condicao;1.376826120503598e-05
15;555;10;550;559;0.9987425449544851;0.9996537853967117;9;menor_q_condicao;9.45284162771918e-06
16;560;10;560;569;0.9871898935954404;0.9966897693891683;9;menor_q_condicao;1.994993729894382e-05
17;579;10;570;579;0.9878011379287519;0.9968618579502572;9;menor_q_condicao;1.0343657042911488e-05
18;585;10;580;589;0.9963727052980202;0.9990766088152523;9;menor_q_condicao;7.845361927107181e-06
19;598;10;590;599;0.9986951668456803;0.9996640083914564;9;menor_q_condicao;5.90126814686006e-06
20;609;10;600;609;0.9970666944974131;0.9992498688538357;9;menor_q_condicao;9.635588437901346e-07
21;619;10;610;619;0.9968572966024427;0.9991954470512339;9;menor_q_condicao;2.874747738036917e-07
22;621;10;620;629;0.9995162094523461;0.9998736316846284;9;menor_q_condicao;2.534730069371564e-07
23;639;10;630;639;0.9985089908969971;0.9995923525237359;9;menor_q_condicao;2.216474038445883e-07
24;649;10;640;649;0.9960810963748141;0.9989677948677065;9;menor_q_condicao;2.7432176423301787e-08
25;659;10;650;659;0.9983108035967861;0.9995761564766514;9;menor_q_condicao;5.915630487979928e-09
26;669;10;660;669;0.9985651773302557;0.9996315540162044;9;menor_q_condicao;2.9700860135754674e-09
27;679;10;670;679;0.9979489949968718;0.9994873614483184;9;menor_q_condicao;2.356237978131445e-10
28;685;10;680;689;0.9924243071318603;0.9981995992419979;9;menor_q_condicao;8.792465728991556e-11
29;691;9;690;698;0.8014207293506184;0.9473866101723869;8;menor_q_condicao;1.3279036157836955e-10
30;707;10;699;708;0.8027641322892888;0.9513786510653149;9;menor_q_condicao;6.066978398619239e-10
31;713;10;709;718;0.9872582248396883;0.9966075998816538;9;menor_q_condicao;6.066978398619239e-10
32;724;10;719;728;0.9487447603815444;0.987656912737442;9;menor_q_condicao;6.066978398619239e-10
33;738;10;729;738;0.8750403047573496;0.9679027859929491;9;menor_q_condicao;2.1658046116727527e-10
34;743;10;739;748;0.949466509148913;0.9880592248010149;9;menor_q_condicao;6.328882578377402e-11
35;753;10;749;758;0.9869058918615354;0.9968554103753874;9;menor_q_condicao;6.328882578377402e-11
36;763;10;759;768;0.996479606326619;0.9991237585600897;9;menor_q_condicao;6.328882578377402e-11
37;773;10;769;778;0.9981537218106922;0.9995362372688569;9;menor_q_condicao;6.328882578377402e-11
38;783;10;779;788;0.9993497855039531;0.9998203813595211;9;menor_q_condicao;6.328882578377402e-11
39;794;10;789;798;0.9995970858859682;0.9998797619225562;9;menor_q_condicao;6.328882578377402e-11
40;801;10;799;808;0.9996799642115104;0.99990581024366;9;menor_q_condicao;6.328882578377402e-11
41;809;10;809;818;0.9995610518313839;0.9998771401855808;9;menor_q_condicao;7.184201608176076e-11
42;819;10;819;828;0.9993116160979871;0.9998171990928076;9;menor_q_condicao;1.0469395140055768e-10
43;829;10;829;838;0.9990472329049107;0.9997501342305604;9;menor_q_condicao;2.553619504446834e-10
