grupo;banda_representante_nm;tamanho;inicio_nm;fim_nm;r_abs_min_grupo;r_abs_medio_grupo;largura_nm;criterio_representante;q_condicao_representante
0;403;10;400;409;0.9959228299209261;0.9987727461313701;9;menor_q_condicao;8.389312367478559e-32
1;414;10;410;419;0.9980606672494348;0.9993040856944794;9;menor_q_condicao;8.389312367478559e-32
2;425;10;420;429;0.9987126964158073;0.9995729560793651;9;menor_q_condicao;8.389312367478559e-32
3;430;10;430;439;0.9989454355501481;0.9996892640818165;9;menor_q_condicao;8.826624916489856e-32
4;440;10;440;449;0.9991688517937013;0.9997706332623186;9;menor_q_condicao;1.234980375420525e-31
5;450;10;450;459;0.9993012681968021;0.9998166282586921;9;menor_q_condicao;1.974114426235915e-31
6;461;10;460;469;0.9993621437832064;0.9998320174789066;9;menor_q_condicao;4.418113562778185e-31
7;470;10;470;479;0.9994944524072232;0.9998695261243744;9;menor_q_condicao;8.937171315751406e-31
8;480;10;480;489;0.999490155941001;0.9998657667028217;9;menor_q_condicao;1.6060572872339912e-30
9;490;10;490;499;0.9990780871076143;0.9997683494344098;9;menor_q_condicao;2.5123524701875352e-30
10;500;10;500;509;0.9935595432434103;0.9984407878582909;9;menor_q_condicao;5.9688841685624525e-30
11;518;10;510;519;0.9618635468096833;0.9909238529866662;9;menor_q_condicao;5.3385084043554594e-30
12;520;10;520;529;0.9563222615587028;0.9897220261636306;9;menor_q_condicao;4.408306258595485e-30
13;530;10;530;539;0.9931257716216957;0.9983893392402543;9;menor_q_condicao;4.6845571335735685e-27
14;540;10;540;549;0.9985000139892354;0.9996337511036261;9;menor_q_condicao;1.1878062266865333e-22
15;559;10;550;559;0.998542336876001;0.9996250335175942;9;menor_q_condicao;1.9067571142874168e-20
16;569;10;560;569;0.9849739838682244;0.9963805922958531;9;menor_q_condicao;7.162086277342186e-26
17;579;10;570;579;0.9850453630162943;0.9964892216373242;9;menor_q_condicao;3.77803874243022e-28
18;584;10;580;589;0.9949731492171976;0.9988222721447317;9;menor_q_condicao;3.594238634669505e-28
19;590;10;590;599;0.998603256553849;0.9996764233470391;9;menor_q_condicao;5.6511875004631775e-28
20;600;10;600;609;0.9968515916842108;0.9992457392150507;9;menor_q_condicao;8.938987010700144e-28
21;610;10;610;619;0.9968660242834013;0.9992432840292851;9;menor_q_condicao;1.138004259008475e-27
22;621;10;620;629;0.9996411201446915;0.999912493072819;9;menor_q_condicao;3.240797327834973e-27
23;630;10;630;639;0.9986191784640225;0.9996566490422446;9;menor_q_condicao;5.455406008175874e-27
24;648;10;640;649;0.9968528997303696;0.9992265152367921;9;menor_q_condicao;7.729260290422712e-27
25;659;10;650;659;0.9989718316276912;0.9997636043241411;9;menor_q_condicao;3.61090830750397e-27
26;669;10;660;669;0.9991487069030451;0.9997924966305961;9;menor_q_condicao;1.2312608438438876e-27
27;679;10;670;679;0.9985552605680121;0.999653512562025;9;menor_q_condicao;9.032949457460374e-29
28;686;10;680;689;0.9941272695697018;0.9986461649314377;9;menor_q_condicao;3.3830723349531934e-29
29;694;8;690;697;0.8548693294465975;0.9622764082392578;7;menor_q_condicao;3.6273508783910956e-30
30;698;8;698;705;0.8037009250536729;0.9488941660895662;7;menor_q_condicao;2.1762494570781632e-26
31;713;10;706;715;0.9664081351809559;0.9919984206902164;9;menor_q_condicao;9.110218794021668e-11
32;716;10;716;725;0.9824326804368718;0.99575132095529;9;menor_q_condicao;1.4891994383284718e-10
33;735;10;726;735;0.8997996274145642;0.9762179576096184;9;menor_q_condicao;8.159053830933968e-22
34;742;10;736;745;0.90230498162227;0.9771644112551493;9;menor_q_condicao;8.389312367478559e-32
35;750;10;746;755;0.9712257818621784;0.99326089186453;9;menor_q_condicao;8.389312367478559e-32
36;760;10;756;765;0.9937920472233863;0.9985508141908822;9;menor_q_condicao;8.389312367478559e-32
37;770;10;766;775;0.9977191006342964;0.9994493552432819;9;menor_q_condicao;8.389312367478559e-32
38;776;10;776;785;0.9993117423641718;0.9998359518509526;9;menor_q_condicao;1.1741775305150868e-31
39;786;10;786;795;0.9997291903536719;0.9999318867759186;9;menor_q_condicao;1.7996338934268916e-31
40;797;10;796;805;0.9997831925739312;0.9999440788765704;9;menor_q_condicao;2.3656798398428987e-31
41;806;10;806;815;0.999751603504147;0.9999362047979576;9;menor_q_condicao;2.7272138598719163e-31
42;816;10;816;825;0.999464210575992;0.999864355558892;9;menor_q_condicao;3.641669997825055e-31
43;826;10;826;835;0.9992720110744773;0.9998217657283744;9;menor_q_condicao;1.0560729352706008e-30
44;836;10;836;845;0.9991254413179945;0.9997874796775258;9;menor_q_condicao;4.527129465232701e-30
45;846;10;846;855;0.9993274340190285;0.9998341364810233;9;menor_q_condicao;2.7058561669780584e-29
46;856;10;856;865;0.9994455696934658;0.9998597767985635;9;menor_q_condicao;1.3825754897080235e-28
47;866;10;866;875;0.9996928688022797;0.9999188579176491;9;menor_q_condicao;8.240282575249019e-28
48;876;10;876;885;0.9997689804319578;0.9999357372109207;9;menor_q_condicao;1.947033274132126e-27
49;887;10;886;895;0.9997840793018514;0.9999358304017248;9;menor_q_condicao;3.693698115485659e-27
50;896;10;896;905;0.9998534106473204;0.9999502217400342;9;menor_q_condicao;5.326569012564412e-27
51;908;10;906;915;0.9998524259384145;0.9999514321318104;9;menor_q_condicao;1.030926761968309e-26
52;917;10;916;925;0.9998177014770886;0.999941244613258;9;menor_q_condicao;1.7181910247562388e-26
53;927;10;926;935;0.9998272007336502;0.9999423291539017;9;menor_q_condicao;3.1533309727121204e-26
54;936;10;936;945;0.9997241443329091;0.9999179093528399;9;menor_q_condicao;5.0877415002791647e-26
55;946;10;946;955;0.9996033680709078;0.9998800317545271;9;menor_q_condicao;1.3622297655483302e-25
56;965;10;956;965;0.9997090111696709;0.999899840788138;9;menor_q_condicao;3.091205861367414e-25
57;966;10;966;975;0.9997434710823351;0.9998998795450613;9;menor_q_condicao;3.0131616558619514e-25
