bloco;genotipo;condicao;parametro;reflectancia
B2;BR16;IRRIG;91.75757576;0.39974080
B3;BR16;IRRIG;86.87454677;0.40608171
B4;BR16;IRRIG;86.87224670;0.39615123
B1;BR16;NIRRIG;62.64150943;0.44922903
B2;BR16;NIRRIG;72.58964143;0.43164744
B3;BR16;NIRRIG;65.47987616;0.42530698
B4;BR16;NIRRIG;61.27583109;0.43338282
B1;EMB48;IRRIG;91.16945107;0.39826242
B2;EMB48;IRRIG;93.43675418;0.39220236
B3;EMB48;IRRIG;93.48268839;0.38216864
B4;EMB48;IRRIG;87.30569948;0.39027450
B1;EMB48;NIRRIG;71.91283293;0.42455950
B2;EMB48;NIRRIG;66.66666667;0.43468874
B3;EMB48;NIRRIG;68.75000000;0.44307694
B4;EMB48;NIRRIG;70.23661270;0.44400975
B1;CD202;IRRIG;94.17946645;0.38554425
B2;CD202;IRRIG;91.75500589;0.41027932
B3;CD202;IRRIG;86.68459987;0.39384257
B4;CD202;IRRIG;88.10086682;0.42954100
B1;CD202;NIRRIG;60.93073593;0.44418752
B2;CD202;NIRRIG;66.94473410;0.44910937
B3;CD202;NIRRIG;72.02007528;0.42336105
B4;CD202;NIRRIG;58.94632207;0.46247748
