banda_nm;iteracoes;acertos;prop_acertos;importancia_media;decisao_boruta;confirmada_boruta
404;100;100;1.0;0.037228862140100925;confirmada;True
414;100;100;1.0;0.025549048701002205;confirmada;True
425;100;100;1.0;0.018670976565704156;confirmada;True
435;100;100;1.0;0.01434358298682611;confirmada;True
444;100;100;1.0;0.011294901485366436;confirmada;True
454;100;100;1.0;0.007584406742303285;confirmada;True
465;100;100;1.0;0.00628175777139296;confirmada;True
474;100;99;0.99;0.004840598258571621;confirmada;True
482;100;98;0.98;0.003711261607875079;confirmada;True
490;100;94;0.94;0.003065364505792512;confirmada;True
500;100;80;0.8;0.002052223018974034;confirmada;True
510;100;48;0.48;0.001279333532429758;tentativa;False
520;100;90;0.9;0.0026511586937528146;confirmada;True
530;100;100;1.0;0.006020399416336896;confirmada;True
549;100;100;1.0;0.008758812574263548;confirmada;True
555;100;100;1.0;0.008844933654175845;confirmada;True
560;100;100;1.0;0.009061235047463456;confirmada;True
579;100;100;1.0;0.0066673619359850665;confirmada;True
585;100;100;1.0;0.005791823758232648;confirmada;True
598;100;98;0.98;0.0039900735603463425;confirmada;True
609;100;99;0.99;0.00309793419690874;confirmada;True
619;100;60;0.6;0.001519664553160081;confirmada;True
621;100;55;0.55;0.0013744072408482502;tentativa;False
639;100;36;0.36;0.0009957890818584362;tentativa;False
649;100;39;0.39;0.0010785171831315915;tentativa;False
659;100;51;0.51;0.0011938691361729216;tentativa;False
669;100;70;0.7;0.001743193024098474;confirmada;True
679;100;79;0.79;0.0022077147911209226;confirmada;True
685;100;76;0.76;0.0020658136190340112;confirmada;True
691;100;68;0.68;0.0016601051236966003;confirmada;True
707;100;100;1.0;0.026957991292043005;confirmada;True
713;100;100;1.0;0.03146073753935651;confirmada;True
724;100;100;1.0;0.021319318007910093;confirmada;True
738;100;98;0.98;0.003830202487486086;confirmada;True
743;100;72;0.72;0.001650730086447236;confirmada;True
753;100;44;0.44;0.0011884336183391375;tentativa;False
763;100;62;0.62;0.0013815449756224626;tentativa;False
773;100;24;0.24;0.0008728094150605874;rejeitada;False
783;100;22;0.22;0.000745942030647597;rejeitada;False
794;100;18;0.18;0.0006790187391161596;rejeitada;False
801;100;8;0.08;0.0006264805215923583;rejeitada;False
809;100;16;0.16;0.0006910801854038266;rejeitada;False
819;100;15;0.15;0.0005883596833461333;rejeitada;False
829;100;10;0.1;0.0005499857790703586;rejeitada;False
839;100;7;0.07;0.0005279919109588486;rejeitada;False
850;100;11;0.11;0.0006088052498344058;rejeitada;False
859;100;10;0.1;0.0006073969737101689;rejeitada;False
873;100;10;0.1;0.0005521014231413363;rejeitada;False
883;100;9;0.09;0.0006090575359609934;rejeitada;False
893;100;12;0.12;0.000611663845445928;rejeitada;False
904;100;19;0.19;0.0006959013680583742;rejeitada;False
913;100;23;0.23;0.000757580529008443;rejeitada;False
923;100;23;0.23;0.0007984864823749105;rejeitada;False
933;100;29;0.29;0.0008887005503553544;rejeitada;False
944;100;36;0.36;0.0009254867774629881;tentativa;False
953;100;27;0.27;0.0008329058861868746;rejeitada;False
964;100;23;0.23;0.0007835935512809059;rejeitada;False
974;100;26;0.26;0.0007978008032608376;rejeitada;False
983;100;42;0.42;0.001192341711214999;tentativa;False
998;100;50;0.5;0.0012451765553336297;tentativa;False
1003;100;55;0.55;0.0013931594273396484;tentativa;False
1013;100;68;0.68;0.0015166431335139404;confirmada;True
1024;100;54;0.54;0.0014591095633181741;tentativa;False
1034;100;52;0.52;0.001319158417623833;tentativa;False
1043;100;50;0.5;0.0013367318625173142;tentativa;False
1057;100;44;0.44;0.0011411701215904618;tentativa;False
1059;100;38;0.38;0.0011004047561175524;tentativa;False
1071;100;37;0.37;0.0010008212337446623;tentativa;False
1080;100;46;0.46;0.0010619755448519096;tentativa;False
1091;100;22;0.22;0.0008283332334285023;rejeitada;False
1106;100;22;0.22;0.0008421861826372921;rejeitada;False
1117;100;25;0.25;0.0008449586152883597;rejeitada;False
1128;100;22;0.22;0.0008508923726470031;rejeitada;False
1135;100;37;0.37;0.0010312889748054738;tentativa;False
1144;100;32;0.32;0.0009568500775615943;rejeitada;False
1156;100;32;0.32;0.0009635520043722728;rejeitada;False
1164;100;18;0.18;0.0007493076470820678;rejeitada;False
1169;100;17;0.17;0.0007277771648836933;rejeitada;False
1182;100;13;0.13;0.0005929221140369441;rejeitada;False
1190;100;9;0.09;0.0006386253899046192;rejeitada;False
1200;100;16;0.16;0.0007549878489509039;rejeitada;False
1209;100;20;0.2;0.0007778647101790829;rejeitada;False
1219;100;11;0.11;0.0006522330007920713;rejeitada;False
1229;100;20;0.2;0.0007712813607187894;rejeitada;False
1239;100;16;0.16;0.0007201826027292804;rejeitada;False
1249;100;16;0.16;0.0006867929561877621;rejeitada;False
1259;100;17;0.17;0.0007166142382105247;rejeitada;False
1270;100;21;0.21;0.0008019658712898164;rejeitada;False
1279;100;19;0.19;0.0007848280774403417;rejeitada;False
1298;100;40;0.4;0.0011216201391523433;tentativa;False
1303;100;48;0.48;0.001238173413417913;tentativa;False
1318;100;72;0.72;0.0016119317394909791;confirmada;True
1327;100;74;0.74;0.0016209391311049353;confirmada;True
1338;100;100;1.0;0.0040192798897316605;confirmada;True
1348;100;100;1.0;0.008631994614880244;confirmada;True
1356;100;100;1.0;0.013257650229068248;confirmada;True
1359;100;100;1.0;0.014884941919963418;confirmada;True
1369;100;100;1.0;0.01323805986255574;confirmada;True
1381;100;100;1.0;0.011253983661088242;confirmada;True
1398;100;100;1.0;0.007558371564519026;confirmada;True
1404;100;100;1.0;0.006778027852544079;confirmada;True
1418;100;100;1.0;0.005148912707216411;confirmada;True
1428;100;99;0.99;0.0032185301647033528;confirmada;True
1437;100;92;0.92;0.002955983463311647;confirmada;True
1443;100;89;0.89;0.002827316893146615;confirmada;True
1453;100;95;0.95;0.003309899958835941;confirmada;True
1468;100;97;0.97;0.004382410917553971;confirmada;True
1474;100;95;0.95;0.0040874669027960745;confirmada;True
1487;100;97;0.97;0.0038350820652842256;confirmada;True
1491;100;94;0.94;0.003827092201410868;confirmada;True
1506;100;95;0.95;0.0031568135658265797;confirmada;True
1514;100;88;0.88;0.0024913604137027662;confirmada;True
1524;100;79;0.79;0.001938442045118918;confirmada;True
1532;100;57;0.57;0.0014221692865595014;tentativa;False
1540;100;55;0.55;0.0013107675630418339;tentativa;False
1549;100;46;0.46;0.001104360642814926;tentativa;False
1559;100;28;0.28;0.0009172615802632775;rejeitada;False
1569;100;32;0.32;0.0009549958734678591;rejeitada;False
1579;100;27;0.27;0.0009139158938889071;rejeitada;False
1589;100;33;0.33;0.0009433742715451433;rejeitada;False
1599;100;29;0.29;0.000923324460229119;rejeitada;False
1609;100;33;0.33;0.0009155006481192114;rejeitada;False
1628;100;25;0.25;0.0009024243986759514;rejeitada;False
1637;100;35;0.35;0.0010279730466704752;tentativa;False
1647;100;30;0.3;0.0009396482393405833;rejeitada;False
1657;100;23;0.23;0.0008455598314840654;rejeitada;False
1663;100;29;0.29;0.0009309130090752823;rejeitada;False
1669;100;32;0.32;0.0009489859431515403;rejeitada;False
1684;100;28;0.28;0.0009241310219183857;rejeitada;False
1689;100;26;0.26;0.0009197731439140789;rejeitada;False
1699;100;46;0.46;0.0011482219179729325;tentativa;False
1717;100;72;0.72;0.001596043475639376;confirmada;True
1728;100;68;0.68;0.0015245387752054703;confirmada;True
1730;100;61;0.61;0.0014248655452640782;tentativa;False
1743;100;56;0.56;0.0013879586699322608;tentativa;False
1753;100;54;0.54;0.0012783574731318698;tentativa;False
1763;100;67;0.67;0.0014999733762266906;confirmada;True
1772;100;69;0.69;0.001732771281203974;confirmada;True
1783;100;93;0.93;0.002386314671349497;confirmada;True
1798;100;93;0.93;0.0028532207643257477;confirmada;True
1805;100;97;0.97;0.003276811452844981;confirmada;True
1818;100;100;1.0;0.00456255647061288;confirmada;True
1828;100;100;1.0;0.006197041261207681;confirmada;True
1831;100;100;1.0;0.007712558382403814;confirmada;True
1840;100;100;1.0;0.008401162876506508;confirmada;True
1858;100;100;1.0;0.006558032727854816;confirmada;True
1868;100;100;1.0;0.005259802900709078;confirmada;True
1878;100;99;0.99;0.0034789067061410566;confirmada;True
1885;100;100;1.0;0.0038277431564476615;confirmada;True
1896;100;100;1.0;0.0055319794993068825;confirmada;True
1908;100;100;1.0;0.01666465601635035;confirmada;True
1915;100;100;1.0;0.022872134842502504;confirmada;True
1927;100;100;1.0;0.030686707623428136;confirmada;True
1933;100;100;1.0;0.036098506006692836;confirmada;True
1944;100;100;1.0;0.03941649244180085;confirmada;True
1954;100;100;1.0;0.034302100525832095;confirmada;True
1963;100;100;1.0;0.028675318722284186;confirmada;True
1973;100;100;1.0;0.020320581855518702;confirmada;True
1983;100;100;1.0;0.01659102751229856;confirmada;True
1993;100;100;1.0;0.01465198273491519;confirmada;True
2003;100;100;1.0;0.012888207069440952;confirmada;True
2013;100;100;1.0;0.01206926344142948;confirmada;True
2024;100;100;1.0;0.01002952812242116;confirmada;True
2030;100;100;1.0;0.008595899391156717;confirmada;True
2042;100;99;0.99;0.005476676379376148;confirmada;True
2052;100;96;0.96;0.003840500057119066;confirmada;True
2059;100;85;0.85;0.002289266748733875;confirmada;True
2069;100;74;0.74;0.0017782809396710941;confirmada;True
2079;100;62;0.62;0.001513208753990333;tentativa;False
2094;100;24;0.24;0.0008534723645799347;rejeitada;False
2099;100;26;0.26;0.0007794930989455086;rejeitada;False
2109;100;21;0.21;0.0007861195485034484;rejeitada;False
2120;100;26;0.26;0.0008649582576640632;rejeitada;False
2129;100;34;0.34;0.0009550514579501332;rejeitada;False
2139;100;34;0.34;0.0009993978165154167;rejeitada;False
2150;100;30;0.3;0.0009748991222040056;rejeitada;False
2160;100;45;0.45;0.0011453910239731403;tentativa;False
2174;100;46;0.46;0.0012378633732862308;tentativa;False
2184;100;45;0.45;0.0011882555342614383;tentativa;False
2197;100;49;0.49;0.0013796190753301838;tentativa;False
2207;100;67;0.67;0.001544514443845149;confirmada;True
2218;100;65;0.65;0.001555420961196986;confirmada;True
2220;100;74;0.74;0.0017497962921965067;confirmada;True
2231;100;75;0.75;0.0019335474230182102;confirmada;True
2239;100;80;0.8;0.0021369029658369902;confirmada;True
2249;100;84;0.84;0.0021814981007992804;confirmada;True
2260;100;93;0.93;0.002441949478368778;confirmada;True
2278;100;80;0.8;0.0019866691274200983;confirmada;True
2287;100;74;0.74;0.001960357118254065;confirmada;True
2297;100;66;0.66;0.001650781181613347;confirmada;True
2308;100;51;0.51;0.001521029154732218;tentativa;False
2318;100;58;0.58;0.001367929052135073;tentativa;False
2328;100;50;0.5;0.001087378868583401;tentativa;False
2338;100;24;0.24;0.0008431083273098292;rejeitada;False
2348;100;27;0.27;0.0008555948765345866;rejeitada;False
2358;100;19;0.19;0.0007231952073005859;rejeitada;False
2368;100;26;0.26;0.0007935370008607708;rejeitada;False
2378;100;44;0.44;0.0011794618583856734;tentativa;False
2388;100;58;0.58;0.0013247762419132246;tentativa;False
2398;100;50;0.5;0.001385687504725978;tentativa;False
2408;100;71;0.71;0.0017715270857342252;confirmada;True
2414;100;76;0.76;0.0020832265560374245;confirmada;True
2424;100;86;0.86;0.002335816411938018;confirmada;True
2434;100;96;0.96;0.00320103310927365;confirmada;True
2443;100;100;1.0;0.005685366094593298;confirmada;True
2450;100;100;1.0;0.006997686407121332;confirmada;True
