banda_nm;iteracoes;acertos;prop_acertos;importancia_media;decisao_boruta;confirmada_boruta
401;100;100;1.0;0.03662272400128215;confirmada;True
410;100;100;1.0;0.031562738078568235;confirmada;True
420;100;100;1.0;0.02445039478928788;confirmada;True
430;100;100;1.0;0.021202407359834637;confirmada;True
440;100;100;1.0;0.01651600937188535;confirmada;True
450;100;100;1.0;0.012130589984661579;confirmada;True
460;100;100;1.0;0.009233357792097554;confirmada;True
470;100;100;1.0;0.00679242081199757;confirmada;True
480;100;100;1.0;0.005038153735513291;confirmada;True
490;100;100;1.0;0.003965254236320542;confirmada;True
500;100;99;0.99;0.0027745472634754086;confirmada;True
518;100;100;1.0;0.0022672720753356694;confirmada;True
520;100;100;1.0;0.002615836842082511;confirmada;True
530;100;100;1.0;0.0029401039285706088;confirmada;True
540;100;100;1.0;0.0036973273430420377;confirmada;True
559;100;100;1.0;0.00393232963023873;confirmada;True
569;100;100;1.0;0.004156283109579482;confirmada;True
579;100;100;1.0;0.004402676054605214;confirmada;True
584;100;100;1.0;0.004345021533964945;confirmada;True
590;100;100;1.0;0.004213564322005947;confirmada;True
600;100;100;1.0;0.0036731921905260724;confirmada;True
610;100;100;1.0;0.0031756180544889995;confirmada;True
621;100;99;0.99;0.0020382524190631092;confirmada;True
630;100;100;1.0;0.00193703554570617;confirmada;True
648;100;91;0.91;0.0015310614864654304;confirmada;True
659;100;95;0.95;0.0018412918862519673;confirmada;True
669;100;99;0.99;0.002160279343831496;confirmada;True
679;100;99;0.99;0.002542637056734601;confirmada;True
686;100;100;1.0;0.0026772287324031115;confirmada;True
694;100;100;1.0;0.0025419050975239357;confirmada;True
698;100;100;1.0;0.0033513124304650455;confirmada;True
713;100;100;1.0;0.006780294204882156;confirmada;True
716;100;100;1.0;0.006772353592446914;confirmada;True
735;100;100;1.0;0.0026474179894394475;confirmada;True
742;100;96;0.96;0.0015781542018349997;confirmada;True
750;100;99;0.99;0.0021828784562333008;confirmada;True
760;100;100;1.0;0.0025425872712155945;confirmada;True
770;100;98;0.98;0.0024095070302450837;confirmada;True
776;100;100;1.0;0.0022571573384356923;confirmada;True
786;100;99;0.99;0.0020172444951102888;confirmada;True
797;100;94;0.94;0.0019056132068221029;confirmada;True
806;100;89;0.89;0.0017739703868698512;confirmada;True
816;100;84;0.84;0.0016029476201371894;confirmada;True
826;100;69;0.69;0.0012575392028800246;confirmada;True
