banda_nm;vip;vip_acima_de_1;iteracoes;acertos;prop_acertos;importancia_media;decisao_boruta;confirmada_boruta;q_condicao;q_tempo;significativa;criterios_atendidos
403;1.4124804448672432;True;100;100;1.0;0.023354740082409564;confirmada;True;1.1667266151190843e-11;2.3786549024936697e-06;True;3
414;1.2879816479649289;True;100;100;1.0;0.016504610442523323;confirmada;True;1.1667266151190843e-11;2.9789665699335497e-06;True;3
425;1.1871833316763165;True;100;100;1.0;0.012963789452200582;confirmada;True;1.1667266151190843e-11;4.491283686022568e-06;True;3
434;1.1163740484095277;True;100;100;1.0;0.011997403138305598;confirmada;True;1.1667266151190843e-11;5.811411423867415e-06;True;3
445;1.0337329657200955;True;100;100;1.0;0.008502976499787911;confirmada;True;1.1667266151190843e-11;8.91554769265153e-06;True;3
455;0.9702764240220393;False;100;100;1.0;0.006793892766120166;confirmada;True;1.1667266151190843e-11;1.2196768065604076e-05;True;2
465;0.9073363655323299;False;100;97;0.97;0.005378831609738133;confirmada;True;1.1667266151190843e-11;1.2196768065604076e-05;True;2
475;0.8535084138755211;False;100;93;0.93;0.0041004485689300485;confirmada;True;1.1667266151190843e-11;1.4156956063356778e-05;True;2
485;0.8047067476399419;False;100;82;0.82;0.003170615764768923;confirmada;True;1.1667266151190843e-11;1.671609262643909e-05;True;2
495;0.7568967131441047;False;100;67;0.67;0.0023440180355859346;confirmada;True;1.1667266151190843e-11;1.9042216505063577e-05;True;2
505;0.7132406272883905;False;100;57;0.57;0.0019811770987768246;tentativa;False;1.1667266151190843e-11;1.7523708871177067e-05;True;1
515;0.6942245721712008;False;100;69;0.69;0.002030345527864934;confirmada;True;1.1667266151190843e-11;1.0504071482080596e-05;True;2
525;0.7485505120320664;False;100;82;0.82;0.0023365903867236036;confirmada;True;1.1667266151190843e-11;1.8072287071035132e-06;True;2
534;0.7758014241229488;False;100;80;0.8;0.00193648382234411;confirmada;True;1.1667266151190843e-11;1.1529853969541815e-06;True;2
545;0.7687858603327272;False;100;68;0.68;0.0017174739542483886;confirmada;True;1.1667266151190843e-11;1.3796156731364637e-06;True;2
555;0.7570500088432616;False;100;64;0.64;0.0016426874260007007;tentativa;False;1.1667266151190843e-11;1.6973121618127364e-06;True;1
565;0.731820062553389;False;100;71;0.71;0.0018302495763800942;confirmada;True;1.1667266151190843e-11;2.3575572252620024e-06;True;2
574;0.735283171054012;False;100;83;0.83;0.0021961137268563923;confirmada;True;1.1667266151190843e-11;4.106090803509302e-06;True;2
584;0.7535514135855561;False;100;57;0.57;0.0015048317061482689;tentativa;False;1.1667266151190843e-11;7.080212155770832e-06;True;1
594;0.7698984997877117;False;100;50;0.5;0.0014410662418576508;tentativa;False;1.1667266151190843e-11;1.0617509609203417e-05;True;1
