banda_nm;vip;vip_acima_de_1;iteracoes;acertos;prop_acertos;importancia_media;decisao_boruta;confirmada_boruta;q_condicao;q_tempo;significativa;criterios_atendidos
403;1.3050520543334831;True;100;100;1.0;0.03682524913620602;confirmada;True;4.986330855368519e-12;2.3786549024936697e-06;True;3
415;1.2240697878303772;True;100;100;1.0;0.02136701902035379;confirmada;True;4.986330855368519e-12;3.217308743427232e-06;True;3
425;1.1728327672317662;True;100;100;1.0;0.018460893876339833;confirmada;True;4.986330855368519e-12;4.491283686022568e-06;True;3
434;1.1152253660296945;True;100;100;1.0;0.013599557525245342;confirmada;True;4.986330855368519e-12;5.811411423867415e-06;True;3
445;1.0645617912012941;True;100;100;1.0;0.010559729816971843;confirmada;True;4.986330855368519e-12;8.91554769265153e-06;True;3
455;1.0224665211811446;True;100;100;1.0;0.009835467300900867;confirmada;True;4.986330855368519e-12;1.2196768065604076e-05;True;3
465;0.9864487908579668;False;100;99;0.99;0.007568257837998542;confirmada;True;4.986330855368519e-12;1.2196768065604076e-05;True;2
475;0.9565849022648343;False;100;100;1.0;0.006166074549769434;confirmada;True;4.986330855368519e-12;1.4156956063356778e-05;True;2
485;0.929952877253355;False;100;100;1.0;0.004843824170751628;confirmada;True;4.986330855368519e-12;1.671609262643909e-05;True;2
495;0.9041647584252549;False;100;95;0.95;0.004158470177867497;confirmada;True;4.986330855368519e-12;1.9042216505063577e-05;True;2
505;0.8781050830574337;False;100;87;0.87;0.003940676210410647;confirmada;True;4.986330855368519e-12;1.7523708871177067e-05;True;2
511;0.860891835469029;False;100;79;0.79;0.002877955144750304;confirmada;True;5.9212429233602905e-12;1.3736266525485328e-05;True;2
524;0.8323493540250199;False;100;56;0.56;0.0012599923109705782;tentativa;False;9.824799225403252e-12;2.0647409995866238e-06;True;1
530;0.8223544623310562;False;100;58;0.58;0.0012754379494177947;tentativa;False;1.8318495417348784e-11;1.2139994355313104e-06;True;1
540;0.8183680794159297;False;100;61;0.61;0.0013114710463515045;tentativa;False;3.4093397413177154e-11;1.1924059076215805e-06;True;1
558;0.8361578817163763;False;100;55;0.55;0.001164967859266769;tentativa;False;4.4920830755951656e-11;1.8072287071035132e-06;True;1
569;0.8373627599991772;False;100;31;0.31;0.0008229207261802473;rejeitada;False;1.1568969142023723e-11;3.016691379803542e-06;True;1
574;0.840317433142696;False;100;24;0.24;0.0007532378557084631;rejeitada;False;9.824799225403252e-12;4.106090803509302e-06;True;1
584;0.843161568506107;False;100;32;0.32;0.0008535045114255134;rejeitada;False;9.824799225403252e-12;7.080212155770832e-06;True;1
598;0.8427428512015188;False;100;40;0.4;0.0010569789725188635;tentativa;False;9.709491025051449e-12;1.1793713907169668e-05;True;1
609;0.8395163171496586;False;100;47;0.47;0.0011029299114241047;tentativa;False;5.88562830176959e-12;1.2369344228409211e-05;True;1
615;0.8383897393974808;False;100;31;0.31;0.0008799296789561474;rejeitada;False;5.114240616992989e-12;1.455695032857727e-05;True;1
624;0.8371881836238181;False;100;31;0.31;0.0009998663110357643;rejeitada;False;4.986330855368519e-12;1.6534122500919813e-05;True;1
635;0.8365204434519682;False;100;41;0.41;0.0013076136086768867;tentativa;False;4.986330855368519e-12;1.4064250284503112e-08;True;1
644;0.8349862490672127;False;100;40;0.4;0.0012006400762045921;tentativa;False;4.986330855368519e-12;1.1730270834970642e-08;True;1
655;0.8357424285456475;False;100;38;0.38;0.0013033498985541131;tentativa;False;4.986330855368519e-12;1.2863514308925804e-08;True;1
664;0.8380266740065351;False;100;35;0.35;0.001192387528056284;rejeitada;False;4.986330855368519e-12;3.0636328474649135e-08;True;1
675;0.8510188245536263;False;100;57;0.57;0.001881255172592603;tentativa;False;4.986330855368519e-12;6.721669445781175e-08;True;1
685;0.8792897607971479;False;100;80;0.8;0.0034118733618790243;confirmada;True;4.986330855368519e-12;2.3720887675260923e-07;True;2
694;0.8652799785005666;False;100;27;0.27;0.0010352838674755414;rejeitada;False;4.986330855368519e-12;4.053328156193501e-06;True;1
699;0.828695838154782;False;100;14;0.14;0.000645964325280248;rejeitada;False;4.9688453968996726e-11;9.963390147786462e-07;True;1
714;1.1640145967894704;True;100;90;0.9;0.002399962068911589;confirmada;True;1.4158359875925973e-08;1.1232173550594643e-06;True;3
