genotipo;dia;correlacao_maxima_a;correlacao_maxima_b;n_top_a;n_top_b;n_intersecao;n_uniao;jaccard;bandas_intersecao;bandas_so_a;bandas_so_b
BR16;D02;0.8;0.9;5;5;1;9;0.1111111111111111;1327;1340,1924,1950,1976;1339,1931,1946,1963
BR16;D02;0.8;0.95;5;5;0;10;0.0;;1327,1340,1924,1950,1976;1342,1910,1928,1945,1958
BR16;D02;0.9;0.95;5;5;0;10;0.0;;1327,1339,1931,1946,1963;1342,1910,1928,1945,1958
BR16;D03;0.8;0.9;5;5;0;10;0.0;;1361,1375,1518,1583,1841;1353,1363,1374,1520,1838
BR16;D03;0.8;0.95;5;5;2;8;0.25;1518,1841;1361,1375,1583;1351,1364,1374
BR16;D03;0.9;0.95;5;5;1;9;0.1111111111111111;1374;1353,1363,1520,1838;1351,1364,1518,1841
BR16;D04;0.8;0.9;5;5;1;9;0.1111111111111111;404;713,1353,1379,1951;717,1375,1389,1950
BR16;D04;0.8;0.95;5;5;1;9;0.1111111111111111;404;713,1353,1379,1951;718,1362,1380,1396
BR16;D04;0.9;0.95;5;5;1;9;0.1111111111111111;404;717,1375,1389,1950;718,1362,1380,1396
BR16;D05;0.8;0.9;5;5;0;10;0.0;;739,1557,1638,1833,1914;745,1550,1610,1656,1849
BR16;D05;0.8;0.95;5;5;0;10;0.0;;739,1557,1638,1833,1914;741,1553,1592,1632,1843
BR16;D05;0.9;0.95;5;5;0;10;0.0;;745,1550,1610,1656,1849;741,1553,1592,1632,1843
BR16;D06;0.8;0.9;5;5;1;9;0.1111111111111111;1651;705,1347,1570,1919;405,750,1601,1927
BR16;D06;0.8;0.95;5;5;1;9;0.1111111111111111;1651;705,1347,1570,1919;405,1580,1620,1926
BR16;D06;0.9;0.95;5;5;2;8;0.25;405,1651;750,1601,1927;1580,1620,1926
BR16;D09;0.8;0.9;4;5;0;9;0.0;;739,1348,1934,2039;552,733,743,1931,1988
BR16;D09;0.8;0.95;4;5;0;9;0.0;;739,1348,1934,2039;709,736,746,1935,1974
BR16;D09;0.9;0.95;5;5;0;10;0.0;;552,733,743,1931,1988;709,736,746,1935,1974
BR16;D10;0.8;0.9;5;5;0;10;0.0;;1360,1387,1927,1958,2243;1393,1911,1931,1952,2245
BR16;D10;0.8;0.95;5;5;0;10;0.0;;1360,1387,1927,1958,2243;1393,1417,1913,1928,1943
BR16;D10;0.9;0.95;5;5;1;9;0.1111111111111111;1393;1911,1931,1952,2245;1417,1913,1928,1943
CD202;D02;0.8;0.9;5;5;3;7;0.42857142857142855;1342,1601,1929;1360,1399;1356,1404
