genotipo;dia;limiar_agrupamento_abs_rho;correlacao_maxima_aceita_top;n_componentes;balanced_accuracy_cv_diagnostica;desvio_cv_diagnostico
BR16;D02;0.8;0.8;1;0.671875;0.255314603724503
BR16;D02;0.8;0.8;2;0.734375;0.027063293868263706
BR16;D02;0.8;0.8;3;0.75;0.1767766952966369
BR16;D02;0.8;0.8;4;0.703125;0.19452968121857395
BR16;D02;0.8;0.8;5;0.671875;0.19452968121857395
BR16;D02;0.8;0.8;6;0.65625;0.240035804620894
BR16;D02;0.8;0.8;7;0.578125;0.31054073303674673
BR16;D02;0.8;0.8;8;0.546875;0.34053897996411514
BR16;D02;0.8;0.8;9;0.71875;0.28470104934825935
BR16;D02;0.8;0.8;10;0.6875;0.2724311839712921
BR16;D02;0.9;0.9;1;0.671875;0.255314603724503
BR16;D02;0.9;0.9;2;0.734375;0.027063293868263706
BR16;D02;0.9;0.9;3;0.734375;0.15546678704790937
BR16;D02;0.9;0.9;4;0.703125;0.19452968121857395
BR16;D02;0.9;0.9;5;0.65625;0.20009763241977652
BR16;D02;0.9;0.9;6;0.640625;0.25911131174651564
BR16;D02;0.9;0.9;7;0.59375;0.2981060004427955
BR16;D02;0.9;0.9;8;0.53125;0.3576725981956124
BR16;D02;0.9;0.9;9;0.703125;0.2773162398327945
BR16;D02;0.9;0.9;10;0.6875;0.2724311839712921
BR16;D02;0.95;0.95;1;0.625;0.2795084971874737
BR16;D02;0.95;0.95;2;0.8125;0.10825317547305482
BR16;D02;0.95;0.95;3;0.765625;0.16755945773068137
BR16;D02;0.95;0.95;4;0.625;0.09882117688026186
BR16;D02;0.95;0.95;5;0.65625;0.20009763241977652
BR16;D02;0.95;0.95;6;0.640625;0.25911131174651564
BR16;D02;0.95;0.95;7;0.609375;0.28768675999253074
BR16;D02;0.95;0.95;8;0.546875;0.34053897996411514
BR16;D02;0.95;0.95;9;0.734375;0.2943975575221371
BR16;D02;0.95;0.95;10;0.6875;0.2724311839712921
BR16;D03;0.8;0.8;1;0.75;0.1767766952966369
BR16;D03;0.8;0.8;2;0.8125;0.2072890493972125
BR16;D03;0.8;0.8;3;0.9375;0.10825317547305482
BR16;D03;0.8;0.8;4;0.9375;0.10825317547305482
BR16;D03;0.8;0.8;5;0.9375;0.10825317547305482
BR16;D03;0.8;0.8;6;0.9375;0.10825317547305482
BR16;D03;0.8;0.8;7;0.921875;0.10245997694221876
BR16;D03;0.8;0.8;8;0.9375;0.10825317547305482
BR16;D03;0.8;0.8;9;0.9375;0.10825317547305482
BR16;D03;0.8;0.8;10;0.9375;0.10825317547305482
BR16;D03;0.9;0.9;1;0.75;0.1767766952966369
BR16;D03;0.9;0.9;2;0.8125;0.2072890493972125
BR16;D03;0.9;0.9;3;0.9375;0.10825317547305482
BR16;D03;0.9;0.9;4;0.9375;0.10825317547305482
BR16;D03;0.9;0.9;5;0.9375;0.10825317547305482
BR16;D03;0.9;0.9;6;0.9375;0.10825317547305482
BR16;D03;0.9;0.9;7;0.9375;0.10825317547305482
BR16;D03;0.9;0.9;8;0.9375;0.10825317547305482
BR16;D03;0.9;0.9;9;0.9375;0.10825317547305482
BR16;D03;0.9;0.9;10;0.9375;0.10825317547305482
BR16;D03;0.95;0.95;1;0.75;0.1767766952966369
BR16;D03;0.95;0.95;2;0.8125;0.2072890493972125
BR16;D03;0.95;0.95;3;0.9375;0.10825317547305482
BR16;D03;0.95;0.95;4;0.9375;0.10825317547305482
