genotipo;dia;limiar_agrupamento_abs_rho;correlacao_maxima_aceita_top;turno;estagio;amostras;bandas_originais;grupos_spearman;reducao;janela_nm;distancia_minima_top_nm;n_componentes_pls_da;balanced_accuracy_cv_diagnostica;desvio_cv_diagnostico;bandas_significativas_representativas;top5_encontradas;rho_abs_max_observado_top;distancia_min_observada_top_nm;status
BR16;D02;0.8;0.8;manha;normalizado;64;2051;206;0.8995611896635788;10.0;10.0;3;0.75;0.1767766952966369;13;5;0.7946886446886443;13.0;ok
BR16;D02;0.9;0.9;manha;normalizado;64;2051;208;0.8985860555826426;10.0;10.0;2;0.734375;0.027063293868263706;14;5;0.8668498168498165;12.0;ok
BR16;D02;0.95;0.95;manha;normalizado;64;2051;215;0.8951730862993662;10.0;10.0;2;0.8125;0.10825317547305482;15;5;0.9206501831501829;13.0;ok
BR16;D03;0.8;0.8;manha;normalizado;64;2051;206;0.8995611896635788;10.0;10.0;3;0.9375;0.10825317547305482;193;5;0.7862637362637358;14.0;ok
BR16;D03;0.9;0.9;manha;normalizado;64;2051;208;0.8985860555826426;10.0;10.0;3;0.9375;0.10825317547305482;192;5;0.8981227106227103;10.0;ok
BR16;D03;0.95;0.95;manha;normalizado;64;2051;213;0.8961482203803023;10.0;10.0;3;0.9375;0.10825317547305482;196;5;0.8461080586080589;10.0;ok
BR16;D04;0.8;0.8;manha;normalizado;64;2051;206;0.8995611896635788;10.0;10.0;2;0.8125;0.11692679333668567;72;5;0.7814102564102565;26.0;ok
BR16;D04;0.9;0.9;manha;normalizado;64;2051;210;0.8976109215017065;10.0;10.0;2;0.828125;0.10245997694221876;75;5;0.8931318681318684;14.0;ok
BR16;D04;0.95;0.95;manha;normalizado;64;2051;217;0.89419795221843;10.0;10.0;2;0.8125;0.10825317547305482;77;5;0.9397435897435895;16.0;ok
BR16;D05;0.8;0.8;manha;normalizado;64;2051;207;0.8990736226231106;10.0;10.0;3;1.0;0.0;206;5;0.7997710622710619;81.0;ok
BR16;D05;0.9;0.9;manha;normalizado;64;2051;211;0.8971233544612385;10.0;10.0;5;1.0;0.0;208;5;0.8994047619047619;46.0;ok
BR16;D05;0.95;0.95;manha;normalizado;64;2051;216;0.894685519258898;10.0;10.0;5;1.0;0.0;212;5;0.9399267399267397;39.0;ok
BR16;D06;0.8;0.8;manha;normalizado;64;2051;207;0.8990736226231106;10.0;10.0;2;1.0;0.0;206;5;0.795787545787546;81.0;ok
BR16;D06;0.9;0.9;manha;normalizado;64;2051;210;0.8976109215017065;10.0;10.0;2;1.0;0.0;208;5;0.8974358974358981;50.0;ok
BR16;D06;0.95;0.95;manha;normalizado;64;2051;214;0.8956606533398342;10.0;10.0;2;1.0;0.0;212;5;0.9454670329670336;31.0;ok
BR16;D09;0.8;0.8;manha;normalizado;64;2051;206;0.8995611896635788;10.0;10.0;10;1.0;0.0;117;4;0.7875915750915751;105.0;menos_de_5_selecionadas
BR16;D09;0.9;0.9;manha;normalizado;64;2051;208;0.8985860555826426;10.0;10.0;10;1.0;0.0;119;5;0.8989468864468866;10.0;ok
BR16;D09;0.95;0.95;manha;normalizado;64;2051;213;0.8961482203803023;10.0;10.0;10;1.0;0.0;123;5;0.9362179487179494;10.0;ok
BR16;D10;0.8;0.8;manha;normalizado;64;2051;206;0.8995611896635788;10.0;10.0;1;0.6875;0.2724311839712921;136;5;0.7142857142857141;27.0;ok
BR16;D10;0.9;0.9;manha;normalizado;64;2051;208;0.8985860555826426;10.0;10.0;1;0.6875;0.2724311839712921;136;5;0.8660256410256411;20.0;ok
BR16;D10;0.95;0.95;manha;normalizado;64;2051;215;0.8951730862993662;10.0;10.0;1;0.6875;0.2724311839712921;138;5;0.919184981684982;15.0;ok
CD202;D02;0.8;0.8;manha;normalizado;64;2051;206;0.8995611896635788;10.0;10.0;2;0.765625;0.15546678704790937;204;5;0.7595695970695974;18.0;ok
CD202;D02;0.9;0.9;manha;normalizado;64;2051;207;0.8990736226231106;10.0;10.0;2;0.765625;0.15546678704790937;204;5;0.8350274725274724;14.0;ok
CD202;D02;0.95;0.95;manha;normalizado;64;2051;211;0.8971233544612385;10.0;10.0;1;0.765625;0.20904825250405706;208;5;0.9468406593406596;22.0;ok
CD202;D03;0.8;0.8;manha;normalizado;64;2051;207;0.8990736226231106;10.0;10.0;7;1.0;0.0;195;5;0.7951923076923075;24.0;ok
CD202;D03;0.9;0.9;manha;normalizado;64;2051;210;0.8976109215017065;10.0;10.0;7;1.0;0.0;196;5;0.8871794871794874;17.0;ok
