grupo;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
todas;400;168;0.9925771743518835;0.5445802271824722;0.7431364244519298;True;True
todas;401;168;0.9928095888944286;0.5731987744585726;0.7663824552897864;True;True
todas;402;168;0.9930109305206021;0.5984320367256519;0.7768389398542519;True;True
todas;403;168;0.9931635132541271;0.6177695473781266;0.7866591553924543;True;True
todas;404;168;0.9932795990322604;0.632575827418997;0.7979169877222404;True;True
todas;405;168;0.9933590379758854;0.6427428455959099;0.804310906843936;True;True
todas;406;168;0.9934046700129298;0.6485926642350903;0.8083162935608089;True;True
todas;407;168;0.9934289355952731;0.6517056333820681;0.8086196334341328;True;True
todas;408;168;0.9935045144033879;0.6614086222492035;0.8142731638849587;True;True
todas;409;168;0.993608837640318;0.674809822902715;0.8223618222064577;True;True
todas;410;168;0.9936449349115101;0.6794460471005754;0.825669251690533;True;True
todas;411;168;0.9936376777226991;0.6785140638472049;0.825669251690533;True;True
todas;412;168;0.9936710918516217;0.6828045728654704;0.8281680537830158;True;True
todas;413;168;0.9937043596500323;0.6870743919093706;0.8299136412909061;True;True
todas;414;168;0.9937291864620276;0.6902592263682281;0.8313957075663414;True;True
todas;415;168;0.9937043740328744;0.6870762374022226;0.8299136412909061;True;True
todas;416;168;0.9938320882354531;0.703438878798917;0.838809965358476;True;True
todas;417;168;0.9939115888497688;0.7135894542775478;0.8430714117069416;True;True
todas;418;168;0.9938732218371521;0.7086949367272938;0.8416521802129008;True;True
todas;419;168;0.9938143965095898;0.701175796474116;0.8375046486033547;True;True
todas;420;168;0.9937002684258516;0.6865494193339472;0.8299136412909061;True;True
todas;421;168;0.9934925894228317;0.6598771128610493;0.813835212554427;True;True
todas;422;168;0.9934275883756775;0.6515327666644828;0.8086196334341328;True;True
todas;423;168;0.9933887302512436;0.6465485896650216;0.8066126261575177;True;True
todas;424;168;0.9932935016619783;0.6343533868759221;0.7988936629322082;True;True
todas;425;168;0.9932675139598799;0.6310313354445526;0.7974400918033133;True;True
todas;426;168;0.9932474251395723;0.6284654168551292;0.7951774028191673;True;True
todas;427;168;0.9931969743661923;0.6220301451703782;0.790938516890543;True;True
todas;428;168;0.9930923867343864;0.6087355424250958;0.7812994978184427;True;True
todas;429;168;0.9930008451102834;0.5971597842634022;0.7768389398542519;True;True
todas;430;168;0.9929668243716159;0.5928741468611083;0.7743743783481694;True;True
todas;431;168;0.9929232844673189;0.5874034512748825;0.7743743783481694;True;True
todas;432;168;0.9928833594639859;0.582401596527051;0.772642738988992;True;True
todas;433;168;0.9927969744989924;0.5716304814429956;0.764784160104099;True;True
todas;434;168;0.9927572171359845;0.5666982827957103;0.7626628464658806;True;True
todas;435;168;0.9927846150404753;0.5700954498352546;0.7639153206973881;True;True
todas;436;168;0.992819515284812;0.574434001460868;0.766653411915032;True;True
todas;437;168;0.9928232308243153;0.5748966102024959;0.766653411915032;True;True
todas;438;168;0.9927541266539176;0.5663155757530931;0.7626482244711713;True;True
todas;439;168;0.9926052578013514;0.54800550154103;0.7462293727714555;True;True
todas;440;168;0.9924976208301994;0.5349301988969346;0.7346125015751849;True;True
todas;441;168;0.9924050545584949;0.5238045616857651;0.7273684197816548;True;True
todas;442;168;0.9922922126209809;0.510400100512333;0.7164448234516516;True;True
todas;443;168;0.9922080711822733;0.5005237053929829;0.708373195332954;True;True
todas;444;168;0.992166943511908;0.4957344508881995;0.7031475510177712;True;True
