agrupamento;grupo;n_amostras;bandas_testadas;normais_p;normais_q;W_mediano;prop_normais_p;prop_normais_q
global;todas;1924;2051;66;69;0.9935716840636256;0.03217942467089225;0.03364212579229644
genotipo;BR16;640;2051;42;45;0.9900769026546101;0.020477815699658702;0.021940516821062895
genotipo;CD202;644;2051;89;91;0.9879688898967485;0.04339346660165773;0.04436860068259386
genotipo;EMB48;640;2051;83;84;0.9890043581973553;0.040468064358849344;0.040955631399317405
condicao;IRRIG;964;2051;137;147;0.9926391009936315;0.06679668454412482;0.07167235494880546
condicao;NIRRIG;960;2051;93;95;0.9925030620627778;0.045343734763529986;0.046318868844466114
dia;D02;384;2051;63;80;0.9832321349067353;0.030716723549488054;0.03900536323744515
dia;D03;384;2051;376;428;0.9878502564429821;0.1833252072159922;0.20867869332033154
dia;D04;192;2051;288;343;0.9791902285622386;0.14041930765480254;0.16723549488054607
dia;D05;192;2051;226;260;0.9768538589196772;0.11019015114578254;0.12676743052169673
dia;D06;192;2051;116;130;0.9768413036013391;0.056557776694295465;0.06338371526084836
dia;D09;388;2051;394;504;0.9899664346420799;0.19210141394441735;0.24573378839590443
dia;D10;192;2051;58;60;0.9791796469844745;0.028278888347147733;0.02925402242808386
genotipo_condicao_dia;BR16 | IRRIG | D02;64;2051;640;1133;0.9589361507329596;0.3120429058995612;0.552413456850317
genotipo_condicao_dia;BR16 | IRRIG | D03;64;2051;442;677;0.9501241940168114;0.21550463188688446;0.33008288639687955
genotipo_condicao_dia;BR16 | IRRIG | D04;32;2051;513;685;0.9152172492521224;0.250121891760117;0.3339834227206241
genotipo_condicao_dia;BR16 | IRRIG | D05;32;2051;458;543;0.9097839600371525;0.22330570453437348;0.26474890297415893
genotipo_condicao_dia;BR16 | IRRIG | D06;32;2051;1199;1637;0.9407854304504977;0.5845928815212091;0.7981472452462214
genotipo_condicao_dia;BR16 | IRRIG | D09;64;2051;721;874;0.9531985458695658;0.3515358361774744;0.42613359336908824
genotipo_condicao_dia;BR16 | IRRIG | D10;32;2051;586;679;0.902501016390343;0.2857142857142857;0.3310580204778157
genotipo_condicao_dia;BR16 | NIRRIG | D02;64;2051;704;1091;0.9579350988619404;0.3432471964895173;0.5319356411506582
genotipo_condicao_dia;BR16 | NIRRIG | D03;64;2051;965;1513;0.9613112518592428;0.4705021940516821;0.7376889322281813
genotipo_condicao_dia;BR16 | NIRRIG | D04;32;2051;322;362;0.9112838267562795;0.15699658703071673;0.1764992686494393
genotipo_condicao_dia;BR16 | NIRRIG | D05;32;2051;384;1024;0.922954745522357;0.18722574353973673;0.4992686494392979
genotipo_condicao_dia;BR16 | NIRRIG | D06;32;2051;987;1785;0.932991378188307;0.4812286689419795;0.8703071672354948
genotipo_condicao_dia;BR16 | NIRRIG | D09;64;2051;244;262;0.9312653215490292;0.1189663578742077;0.12774256460263286
genotipo_condicao_dia;BR16 | NIRRIG | D10;32;2051;1053;1444;0.9343703150996431;0.5134080936128718;0.7040468064358849
genotipo_condicao_dia;CD202 | IRRIG | D02;64;2051;758;1016;0.9566138685820693;0.3695758166747928;0.4953681131155534
genotipo_condicao_dia;CD202 | IRRIG | D03;64;2051;448;495;0.9493681685816394;0.21843003412969283;0.24134568503169185
genotipo_condicao_dia;CD202 | IRRIG | D04;32;2051;304;537;0.9010315136319567;0.14822038030229157;0.2618235007313506
genotipo_condicao_dia;CD202 | IRRIG | D05;32;2051;536;614;0.9100458808973467;0.2613359336908825;0.29936616284739154
genotipo_condicao_dia;CD202 | IRRIG | D06;32;2051;450;622;0.9119241903046771;0.21940516821062897;0.303266699171136
