grupo;banda_nm;n;W;p_valor;q_fdr;normal_p;normal_q
todas;400;1924;0.988362675586456;2.3863231443320214e-11;1.1574723660477837e-10;False;False
todas;401;1924;0.9884029363226131;2.5317343351849617e-11;1.2234434055554134e-10;False;False
todas;402;1924;0.9885708127621521;3.244462301752462e-11;1.4158281235945318e-10;False;False
todas;403;1924;0.9888276144054109;4.762851161649205e-11;1.9079311977622108e-10;False;False
todas;404;1924;0.9891447322423782;7.710551316630605e-11;2.8482976196379264e-10;False;False
todas;405;1924;0.989505649516631;1.3485486635751807e-10;4.5120282365296824e-10;False;False
todas;406;1924;0.9897703138280686;2.0473373975089186e-10;6.450213521184012e-10;False;False
todas;407;1924;0.9902434032121543;4.3912326278473034e-10;1.2270324413780409e-09;False;False
todas;408;1924;0.9907698256210848;1.0543312828284154e-09;2.8267104066419346e-09;False;False
todas;409;1924;0.9912515750218296;2.4132759552242164e-09;6.088104531568104e-09;False;False
todas;410;1924;0.9917947020454401;6.34316232683676e-09;1.5216170681101982e-08;False;False
todas;411;1924;0.9923320926079963;1.712676438820117e-08;3.9204234107366746e-08;False;False
todas;412;1924;0.9927778028884784;4.0237415804999084e-08;8.864332955537392e-08;False;False
todas;413;1924;0.9931131855901557;7.80246421249708e-08;1.6792081951554577e-07;False;False
todas;414;1924;0.9934146588488719;1.436663892182179e-07;2.9673692274578535e-07;False;False
todas;415;1924;0.9937626810698045;2.9623998230142096e-07;5.667800407651254e-07;False;False
todas;416;1924;0.9941029510238091;6.137257884170373e-07;1.1089923960278113e-06;False;False
todas;417;1924;0.994402635326111;1.186960328469072e-06;2.0807313108462106e-06;False;False
todas;418;1924;0.9946906942719452;2.2757933428024173e-06;3.905985059487664e-06;False;False
todas;419;1924;0.9948377094367922;3.193862156420606e-06;5.413728332907986e-06;False;False
todas;420;1924;0.9949269151129586;3.931991614462924e-06;6.615680722939669e-06;False;False
todas;421;1924;0.9950788720825028;5.625861977550339e-06;9.31286756735734e-06;False;False
todas;422;1924;0.9952746420825003;8.994656527419566e-06;1.453746299270097e-05;False;False
todas;423;1924;0.9954713963319203;1.4546207719474758e-05;2.2896601713463336e-05;False;False
todas;424;1924;0.995640561956124;2.2157165836577372e-05;3.411737772584098e-05;False;False
todas;425;1924;0.9957714504880264;3.0836345095961695e-05;4.6813725974698326e-05;False;False
todas;426;1924;0.9958652534236451;3.918438639009588e-05;5.870502299933284e-05;False;False
todas;427;1924;0.9959329766574396;4.6650261121082265e-05;6.94337340778953e-05;False;False
todas;428;1924;0.9959858567048006;5.3500784085292054e-05;7.922751491619783e-05;False;False
todas;429;1924;0.9960073347695144;5.657462913549611e-05;8.359838930612574e-05;False;False
todas;430;1924;0.9960694260621386;6.653677753484093e-05;9.768570560054312e-05;False;False
todas;431;1924;0.9961804124035175;8.914564071691068e-05;0.00012912267592541228;False;False
todas;432;1924;0.996292945152836;0.00012033939142201505;0.00017211721883302153;False;False
todas;433;1924;0.9963760387432875;0.00015052521387179824;0.0002133567475128253;False;False
todas;434;1924;0.9964298324006571;0.00017417518014003745;0.0002451841417070809;False;False
todas;435;1924;0.9964600256485074;0.00018911001147978239;0.00026457341988065053;False;False
todas;436;1924;0.9964606325889244;0.00018942350991131714;0.0002648313693443159;False;False
todas;437;1924;0.9964446126448152;0.00018132678381011872;0.00025403089726403925;False;False
todas;438;1924;0.9964312970548406;0.00017487061068048468;0.0002458256494212982;False;False
todas;439;1924;0.9964279993134825;0.00017330885835482984;0.0002441321898940632;False;False
todas;440;1924;0.9964336747002271;0.00017600568274787784;0.0002472518187095188;False;False
todas;441;1924;0.9964391296982623;0.00017863886628852275;0.0002506076024334885;False;False
todas;442;1924;0.996435056559167;0.00017666888550338288;0.0002480136099708681;False;False
todas;443;1924;0.996414579282968;0.0001671012456547242;0.00023603626366242378;False;False
todas;444;1924;0.9963791540954989;0.00015179935303929004;0.00021501413886987835;False;False
todas;445;1924;0.9963540303773805;0.0001418346458685891;0.0002013168572155545;False;False
todas;446;1924;0.9963420514723919;0.00013732508794404323;0.0001951862476598979;False;False
todas;447;1924;0.9963282407911004;0.0001323102075680268;0.00018831938634422134;False;False
todas;448;1924;0.996317783586122;0.00012863979731379796;0.0001833497041630296;False;False
todas;449;1924;0.9963060680719954;0.00012465305849175895;0.0001777909756374114;False;False
todas;450;1924;0.9962985500991736;0.0001221625187234138;0.00017436000410697404;False;False
todas;451;1924;0.9962867424587653;0.00011835474082436802;0.00016939677141017363;False;False
todas;452;1924;0.9962566489066182;0.00010919733146033079;0.00015694725075342567;False;False
todas;453;1924;0.9962221162012794;9.958955931410363e-05;0.00014354053840704608;False;False
todas;454;1924;0.9961996576145555;9.381612378799783e-05;0.00013560033114107367;False;False
todas;455;1924;0.9961927858203835;9.211993900529091e-05;0.00013324259160779384;False;False
todas;456;1924;0.9961817434630377;8.94607521481528e-05;0.00012948765183899886;False;False
todas;457;1924;0.9961499044350189;8.22307840413932e-05;0.00011944429041706619;False;False
todas;458;1924;0.9961185919782084;7.571099243647808e-05;0.00011053901537925999;False;False
todas;459;1924;0.9960937223921886;7.091657634560648e-05;0.0001038186281833254;False;False
todas;460;1924;0.9960712476005752;6.685517473436936e-05;9.808294948511556e-05;False;False
todas;461;1924;0.9960411181745862;6.178624710476511e-05;9.097171056128732e-05;False;False
todas;462;1924;0.9959817413939093;5.293191434182898e-05;7.844173144153992e-05;False;False
todas;463;1924;0.9959241820049611;4.560249653711654e-05;6.792354422485551e-05;False;False
todas;464;1924;0.9958784043902916;4.053032412413766e-05;6.058869881822619e-05;False;False
todas;465;1924;0.9958190770643512;3.481517053591866e-05;5.2350377396751584e-05;False;False
todas;466;1924;0.9957469217747891;2.8974590085890528e-05;4.4085225716737e-05;False;False
todas;467;1924;0.9956843208946606;2.473406644474217e-05;3.795812143754688e-05;False;False
todas;468;1924;0.9956313899503368;2.165337748397234e-05;3.344207621959885e-05;False;False
todas;469;1924;0.9955662225043131;1.8400075862584955e-05;2.8654939707032454e-05;False;False
todas;470;1924;0.9955084750005163;1.5942138554586025e-05;2.495979097363049e-05;False;False
todas;471;1924;0.9954593620135144;1.4120972487682883e-05;2.2278549670951993e-05;False;False
todas;472;1924;0.9954102255582902;1.2514471222171305e-05;1.983553359866565e-05;False;False
todas;473;1924;0.9953833463211148;1.1717275186584564e-05;1.8644011953207866e-05;False;False
todas;474;1924;0.9953665736789733;1.1246754577125707e-05;1.7937086810019305e-05;False;False
todas;475;1924;0.9953459556086199;1.069515319096475e-05;1.7110576594905384e-05;False;False
todas;476;1924;0.9953191576573124;1.0019968061631054e-05;1.609315152263531e-05;False;False
todas;477;1924;0.9953019018536502;9.608800755246321e-06;1.546911330377567e-05;False;False
todas;478;1924;0.9952751008668719;9.004647559176426e-06;1.4542151294386494e-05;False;False
todas;479;1924;0.9952362974005475;8.199060139663571e-06;1.3293495926047418e-05;False;False
