agrupamento;grupo;n_amostras;bandas_testadas;normais_p;normais_q;W_mediano;prop_normais_p;prop_normais_q
global;todas;168;2051;1089;1249;0.9862595542499318;0.5309605070697221;0.6089712335446124
genotipo;BR16;56;2051;1229;2051;0.9625013483460768;0.5992198927352511;1.0
genotipo;CD202;56;2051;1761;1938;0.9789774817433498;0.8586055582642613;0.9449049244271087
genotipo;EMB48;56;2051;1013;1271;0.9576847276443353;0.49390541199414917;0.6196977084349098
condicao;IRRIG;84;2051;1981;2051;0.9871281442527619;0.9658703071672355;1.0
condicao;NIRRIG;84;2051;1815;2051;0.9788531176358464;0.8849341784495368;1.0
genotipo_condicao;BR16 | IRRIG;28;2051;1797;2051;0.9551798075754324;0.8761579717211117;1.0
genotipo_condicao;BR16 | NIRRIG;28;2051;1938;2051;0.9559294404094634;0.9449049244271087;1.0
genotipo_condicao;CD202 | IRRIG;28;2051;1973;2051;0.955829370774437;0.961969770843491;1.0
genotipo_condicao;CD202 | NIRRIG;28;2051;2021;2051;0.9704964167607792;0.985372988785958;1.0
genotipo_condicao;EMB48 | IRRIG;28;2051;1967;2051;0.970831957357463;0.9590443686006825;1.0
genotipo_condicao;EMB48 | NIRRIG;28;2051;1777;2051;0.947620899761218;0.8664066309117504;1.0
