banda_nm;estratos;estratos_normais_p;estratos_normais_q;p_minimo;W_mediano;prop_estratos_normais_p;prop_estratos_normais_q
400;42;14;20;2.2810801034518183e-05;0.9254894485153113;0.3333333333333333;0.47619047619047616
401;42;14;18;2.371495141088023e-05;0.9244001791624479;0.3333333333333333;0.42857142857142855
402;42;13;19;2.6389462322299277e-05;0.9241077527653002;0.30952380952380953;0.4523809523809524
403;42;13;20;3.0258198776939882e-05;0.9239326796198031;0.30952380952380953;0.47619047619047616
404;42;13;20;3.347071980657156e-05;0.9256428952324268;0.30952380952380953;0.47619047619047616
405;42;14;20;3.5386819976525084e-05;0.925695795302668;0.3333333333333333;0.47619047619047616
406;42;14;20;4.150864794741361e-05;0.9249088200312856;0.3333333333333333;0.47619047619047616
407;42;14;20;5.8772139625348805e-05;0.926384102390144;0.3333333333333333;0.47619047619047616
408;42;13;20;8.417644848867726e-05;0.9252289115126775;0.30952380952380953;0.47619047619047616
409;42;13;19;7.526374092908333e-05;0.9251303978411942;0.30952380952380953;0.4523809523809524
410;42;15;19;7.36536053296185e-05;0.9257539604751348;0.35714285714285715;0.4523809523809524
411;42;14;18;6.412009298302871e-05;0.9257655937260281;0.3333333333333333;0.42857142857142855
412;42;14;18;5.456379202516061e-05;0.9240429007290003;0.3333333333333333;0.42857142857142855
413;42;15;18;4.804718859311933e-05;0.9233569970463498;0.35714285714285715;0.42857142857142855
414;42;17;18;5.525380873880789e-05;0.9248596918334873;0.40476190476190477;0.42857142857142855
415;42;16;19;5.523937467215958e-05;0.9249464891347816;0.38095238095238093;0.4523809523809524
416;42;16;19;5.179870493824741e-05;0.9248347453665768;0.38095238095238093;0.4523809523809524
417;42;16;19;4.968119397303046e-05;0.9245035172498641;0.38095238095238093;0.4523809523809524
418;42;15;18;4.913810736720669e-05;0.9256999070228038;0.35714285714285715;0.42857142857142855
419;42;15;19;5.220871499699671e-05;0.9275202415026006;0.35714285714285715;0.4523809523809524
420;42;16;20;5.802661745896107e-05;0.9274382930607754;0.38095238095238093;0.47619047619047616
421;42;15;21;6.671277685173627e-05;0.9269185569646273;0.35714285714285715;0.5
422;42;13;20;7.553167154941804e-05;0.9268202626660144;0.30952380952380953;0.47619047619047616
423;42;13;19;7.941799402796294e-05;0.9272556849101714;0.30952380952380953;0.4523809523809524
424;42;13;19;7.671100388121728e-05;0.9275849130388858;0.30952380952380953;0.4523809523809524
425;42;14;18;7.243880408024844e-05;0.9281798384112905;0.3333333333333333;0.42857142857142855
426;42;15;19;7.165889747058526e-05;0.9263951900108409;0.35714285714285715;0.4523809523809524
427;42;15;19;6.856667359124689e-05;0.9245186283363802;0.35714285714285715;0.4523809523809524
428;42;15;21;6.0919671669828254e-05;0.9247622345730837;0.35714285714285715;0.5
429;42;13;21;5.509836529636347e-05;0.9244983381021739;0.30952380952380953;0.5
430;42;13;20;5.128181148890164e-05;0.9241545516878098;0.30952380952380953;0.47619047619047616
431;42;14;20;4.995523969173008e-05;0.9231520531466502;0.3333333333333333;0.47619047619047616
432;42;13;19;5.208017804582851e-05;0.9226503145150274;0.30952380952380953;0.4523809523809524
433;42;13;19;5.183074026496228e-05;0.9228665480531217;0.30952380952380953;0.4523809523809524
434;42;14;19;5.0643382358707565e-05;0.9234345259276883;0.3333333333333333;0.4523809523809524
435;42;14;18;5.009996127543295e-05;0.922808213737206;0.3333333333333333;0.42857142857142855
436;42;14;18;5.0465937759557424e-05;0.9224652022642166;0.3333333333333333;0.42857142857142855
437;42;14;18;4.932573913335396e-05;0.9220232876692114;0.3333333333333333;0.42857142857142855
438;42;14;18;4.6071204445935875e-05;0.9216726977818663;0.3333333333333333;0.42857142857142855
439;42;14;18;4.310147539984159e-05;0.9214220553031884;0.3333333333333333;0.42857142857142855
440;42;13;18;4.3885335929233585e-05;0.9217947803609992;0.30952380952380953;0.42857142857142855
441;42;13;17;4.456511369896222e-05;0.9217838581863105;0.30952380952380953;0.40476190476190477
442;42;13;17;4.4639886554348506e-05;0.9214910407728423;0.30952380952380953;0.40476190476190477
443;42;13;17;4.360953945577403e-05;0.9211496071654013;0.30952380952380953;0.40476190476190477
444;42;13;17;4.2375859466323164e-05;0.9209755579099344;0.30952380952380953;0.40476190476190477
445;42;13;17;4.1987275561879694e-05;0.9210400292584581;0.30952380952380953;0.40476190476190477
446;42;13;17;4.209394084714588e-05;0.9210863605748849;0.30952380952380953;0.40476190476190477
447;42;13;17;4.0814644593925714e-05;0.921182454407311;0.30952380952380953;0.40476190476190477
448;42;13;17;3.831016380871729e-05;0.9204575563181643;0.30952380952380953;0.40476190476190477
449;42;12;17;3.746412280236488e-05;0.9195377238659448;0.2857142857142857;0.40476190476190477
450;42;11;17;3.9040335944998916e-05;0.9195524675651721;0.2619047619047619;0.40476190476190477
451;42;10;17;3.905624080653271e-05;0.9197306540453407;0.23809523809523808;0.40476190476190477
452;42;10;16;3.934518670816078e-05;0.9203345538637817;0.23809523809523808;0.38095238095238093
453;42;10;15;4.06217917492106e-05;0.9208130166069415;0.23809523809523808;0.35714285714285715
454;42;10;15;4.193024430714315e-05;0.9200031791200307;0.23809523809523808;0.35714285714285715
455;42;10;15;4.36444606828989e-05;0.9195436519766771;0.23809523809523808;0.35714285714285715
456;42;10;15;4.419525901713064e-05;0.9199471801378167;0.23809523809523808;0.35714285714285715
457;42;9;15;4.274121872789162e-05;0.9200466548724643;0.21428571428571427;0.35714285714285715
458;42;9;15;4.0808814252233055e-05;0.9198574622847042;0.21428571428571427;0.35714285714285715
459;42;9;14;4.032564876108417e-05;0.9189443519898052;0.21428571428571427;0.3333333333333333
460;42;9;14;4.0647180636235806e-05;0.917716879812192;0.21428571428571427;0.3333333333333333
461;42;9;14;4.0479234986292614e-05;0.917253738131655;0.21428571428571427;0.3333333333333333
462;42;9;14;3.93480655771099e-05;0.9173019185005591;0.21428571428571427;0.3333333333333333
463;42;9;14;3.8826953424196517e-05;0.9167199308321581;0.21428571428571427;0.3333333333333333
464;42;9;15;3.907551244575179e-05;0.915972912083036;0.21428571428571427;0.35714285714285715
465;42;9;15;3.9375359746719584e-05;0.9153017741773588;0.21428571428571427;0.35714285714285715
466;42;9;15;3.813021234889696e-05;0.9141777404509046;0.21428571428571427;0.35714285714285715
467;42;9;15;3.647066450584988e-05;0.913172454138471;0.21428571428571427;0.35714285714285715
468;42;8;15;3.533902560155099e-05;0.9129544843292213;0.19047619047619047;0.35714285714285715
469;42;9;15;3.5448836421923886e-05;0.9120297599292648;0.21428571428571427;0.35714285714285715
470;42;9;15;3.595989851714236e-05;0.9115687352899216;0.21428571428571427;0.35714285714285715
471;42;9;15;3.61476401828791e-05;0.911042282925832;0.21428571428571427;0.35714285714285715
472;42;9;15;3.5961461991265614e-05;0.9103396144068661;0.21428571428571427;0.35714285714285715
473;42;9;15;3.579643270688962e-05;0.9101360113352375;0.21428571428571427;0.35714285714285715
474;42;9;15;3.612303345055537e-05;0.9101345151448885;0.21428571428571427;0.35714285714285715
475;42;9;14;3.574153980570738e-05;0.9100161864676136;0.21428571428571427;0.3333333333333333
476;42;9;14;3.4311511058744833e-05;0.909708277278803;0.21428571428571427;0.3333333333333333
477;42;9;14;3.3187028635383e-05;0.9090202320873074;0.21428571428571427;0.3333333333333333
478;42;9;14;3.306162332315219e-05;0.9081115752098714;0.21428571428571427;0.3333333333333333
479;42;9;14;3.3221256080753986e-05;0.9073335185436519;0.21428571428571427;0.3333333333333333
480;42;10;14;3.2729284704882145e-05;0.9069589813907322;0.23809523809523808;0.3333333333333333
481;42;10;14;3.261025168767686e-05;0.9068834962816053;0.23809523809523808;0.3333333333333333
482;42;9;14;3.306741644449281e-05;0.906525273247353;0.21428571428571427;0.3333333333333333
483;42;9;14;3.313934915827214e-05;0.9060833353400273;0.21428571428571427;0.3333333333333333
484;42;10;14;3.348371413188008e-05;0.9058496676385106;0.23809523809523808;0.3333333333333333
485;42;10;14;3.349055437719845e-05;0.9056020246561517;0.23809523809523808;0.3333333333333333
486;42;10;14;3.351634060096125e-05;0.905173464021622;0.23809523809523808;0.3333333333333333
487;42;10;14;3.383274877741479e-05;0.9045987187947662;0.23809523809523808;0.3333333333333333
488;42;10;14;3.379539060809091e-05;0.9041672357671688;0.23809523809523808;0.3333333333333333
489;42;10;14;3.340422001595686e-05;0.9043365918110299;0.23809523809523808;0.3333333333333333
490;42;10;14;3.289032355495824e-05;0.904690996942817;0.23809523809523808;0.3333333333333333
491;42;9;14;3.299098899807367e-05;0.9051721173061777;0.21428571428571427;0.3333333333333333
492;42;9;14;3.321330210513556e-05;0.9055888990341763;0.21428571428571427;0.3333333333333333
493;42;9;14;3.342618190861948e-05;0.9060266773701481;0.21428571428571427;0.3333333333333333
494;42;10;14;3.398690744378474e-05;0.9065680794955757;0.23809523809523808;0.3333333333333333
