agrupamento;grupo;n_amostras;bandas_testadas;normais_p;normais_q;W_mediano;prop_normais_p;prop_normais_q
global;todas;1348;2051;94;96;0.9921929580865215;0.04583130180399805;0.04680643588493418
genotipo;BR16;448;2051;67;69;0.9834996294750981;0.03266699171136031;0.03364212579229644
genotipo;CD202;452;2051;62;64;0.9867250432876206;0.03022915650901999;0.031204290589956118
genotipo;EMB48;448;2051;239;251;0.9855717388745218;0.11652852267186738;0.12237932715748416
condicao;IRRIG;676;2051;32;32;0.9907978829091066;0.015602145294978059;0.015602145294978059
condicao;NIRRIG;672;2051;162;193;0.9914202639490268;0.07898586055582643;0.09410043881033642
dia;D02;192;2051;567;709;0.9814732351909312;0.2764505119453925;0.3456850316918576
dia;D03;192;2051;118;123;0.9745613662101323;0.057532910775231594;0.05997074597757192
dia;D04;192;2051;288;343;0.9791902285622386;0.14041930765480254;0.16723549488054607
dia;D05;192;2051;226;260;0.9768538589196772;0.11019015114578254;0.12676743052169673
dia;D06;192;2051;116;130;0.9768413036013391;0.056557776694295465;0.06338371526084836
dia;D09;196;2051;215;293;0.9802151898916371;0.10482691370063384;0.14285714285714285
dia;D10;192;2051;58;60;0.9791796469844745;0.028278888347147733;0.02925402242808386
genotipo_condicao_dia;BR16 | IRRIG | D02;32;2051;702;942;0.9207206960450073;0.34227206240858116;0.4592881521209166
genotipo_condicao_dia;BR16 | IRRIG | D03;32;2051;144;189;0.89738640328083;0.07020965382740127;0.09215017064846416
genotipo_condicao_dia;BR16 | IRRIG | D04;32;2051;513;685;0.9152172492521224;0.250121891760117;0.3339834227206241
genotipo_condicao_dia;BR16 | IRRIG | D05;32;2051;458;543;0.9097839600371525;0.22330570453437348;0.26474890297415893
genotipo_condicao_dia;BR16 | IRRIG | D06;32;2051;1199;1637;0.9407854304504977;0.5845928815212091;0.7981472452462214
genotipo_condicao_dia;BR16 | IRRIG | D09;32;2051;666;922;0.9216151873637928;0.3247196489517309;0.4495368113115553
genotipo_condicao_dia;BR16 | IRRIG | D10;32;2051;586;679;0.902501016390343;0.2857142857142857;0.3310580204778157
genotipo_condicao_dia;BR16 | NIRRIG | D02;32;2051;847;1404;0.9284231469520184;0.4129692832764505;0.6845441248171623
genotipo_condicao_dia;BR16 | NIRRIG | D03;32;2051;1195;1893;0.9398335055217925;0.5826426133593369;0.9229644076060458
genotipo_condicao_dia;BR16 | NIRRIG | D04;32;2051;322;362;0.9112838267562795;0.15699658703071673;0.1764992686494393
genotipo_condicao_dia;BR16 | NIRRIG | D05;32;2051;384;1024;0.922954745522357;0.18722574353973673;0.4992686494392979
genotipo_condicao_dia;BR16 | NIRRIG | D06;32;2051;987;1785;0.932991378188307;0.4812286689419795;0.8703071672354948
genotipo_condicao_dia;BR16 | NIRRIG | D09;32;2051;220;242;0.8871174461733923;0.10726474890297416;0.11799122379327158
genotipo_condicao_dia;BR16 | NIRRIG | D10;32;2051;1053;1444;0.9343703150996431;0.5134080936128718;0.7040468064358849
genotipo_condicao_dia;CD202 | IRRIG | D02;32;2051;552;709;0.9164192109802244;0.2691370063383715;0.3456850316918576
genotipo_condicao_dia;CD202 | IRRIG | D03;32;2051;360;513;0.9067891343354241;0.17552413456850316;0.250121891760117
genotipo_condicao_dia;CD202 | IRRIG | D04;32;2051;304;537;0.9010315136319567;0.14822038030229157;0.2618235007313506
genotipo_condicao_dia;CD202 | IRRIG | D05;32;2051;536;614;0.9100458808973467;0.2613359336908825;0.29936616284739154
genotipo_condicao_dia;CD202 | IRRIG | D06;32;2051;450;622;0.9119241903046771;0.21940516821062897;0.303266699171136
genotipo_condicao_dia;CD202 | IRRIG | D09;36;2051;744;881;0.926955376830232;0.3627498781082399;0.4295465626523647
genotipo_condicao_dia;CD202 | IRRIG | D10;32;2051;94;95;0.8811236589484472;0.04583130180399805;0.046318868844466114
genotipo_condicao_dia;CD202 | NIRRIG | D02;32;2051;190;199;0.868776066457363;0.09263773768893223;0.09702584105314481
genotipo_condicao_dia;CD202 | NIRRIG | D03;32;2051;165;167;0.87646546294646;0.08044856167723062;0.08142369575816674
genotipo_condicao_dia;CD202 | NIRRIG | D04;32;2051;340;369;0.9076515047194749;0.1657727937591419;0.17991223793271574
genotipo_condicao_dia;CD202 | NIRRIG | D05;32;2051;121;126;0.8508457628958129;0.05899561189663579;0.06143344709897611
genotipo_condicao_dia;CD202 | NIRRIG | D06;32;2051;1076;2051;0.93461102182412;0.5246221355436372;1.0
genotipo_condicao_dia;CD202 | NIRRIG | D09;32;2051;594;1116;0.9241377797703062;0.28961482203803024;0.5441248171623598
genotipo_condicao_dia;CD202 | NIRRIG | D10;32;2051;215;263;0.8969073270963025;0.10482691370063384;0.12823013164310093
genotipo_condicao_dia;EMB48 | IRRIG | D02;32;2051;48;48;0.8612846544949683;0.02340321794246709;0.02340321794246709
genotipo_condicao_dia;EMB48 | IRRIG | D03;32;2051;470;590;0.9128672568919728;0.22915650901999024;0.28766455387615797
genotipo_condicao_dia;EMB48 | IRRIG | D04;32;2051;576;810;0.9202679010308809;0.2808386153096051;0.39492930277913213
genotipo_condicao_dia;EMB48 | IRRIG | D05;32;2051;163;170;0.8779299790013555;0.07947342759629449;0.08288639687957094
genotipo_condicao_dia;EMB48 | IRRIG | D06;32;2051;629;1124;0.9239827645527258;0.30667966845441247;0.5480253534861044
genotipo_condicao_dia;EMB48 | IRRIG | D09;32;2051;190;218;0.8866142291235131;0.09263773768893223;0.10628961482203803
genotipo_condicao_dia;EMB48 | IRRIG | D10;32;2051;141;150;0.8988944153494633;0.06874695270599708;0.07313505607020965
genotipo_condicao_dia;EMB48 | NIRRIG | D02;32;2051;416;653;0.9093063251672738;0.20282788883471478;0.31838127742564604
genotipo_condicao_dia;EMB48 | NIRRIG | D03;32;2051;232;321;0.8995567620518353;0.11311555338859093;0.15650901999024866
genotipo_condicao_dia;EMB48 | NIRRIG | D04;32;2051;452;637;0.9085601078133818;0.22038030229156508;0.310580204778157
genotipo_condicao_dia;EMB48 | NIRRIG | D05;32;2051;342;366;0.9131285137031971;0.166747927840078;0.17844953681131157
