dia;condicao;banda_nm;n_BR16;n_CD202;n_EMB48;F_anova;p_anova;eta2;significativo_anova
D02;IRRIG;400;32;32;32;3.2589085812131855;0.04286156007826551;0.06549397231842839;True
D02;IRRIG;401;32;32;32;3.4460466691454337;0.035996501432157886;0.06899538399851488;True
D02;IRRIG;402;32;32;32;3.6247187619912946;0.030489246045287063;0.07231399699622566;True
D02;IRRIG;403;32;32;32;3.795723865029796;0.02602363033238851;0.07546812280136862;True
D02;IRRIG;404;32;32;32;3.959679752098913;0.02236884341344887;0.07847215383752425;True
D02;IRRIG;405;32;32;32;4.116589267033842;0.01936170097032405;0.08132885535444291;True
D02;IRRIG;406;32;32;32;4.43897265027429;0.014412152790003808;0.08714295595928921;True
D02;IRRIG;407;32;32;32;4.523110158231596;0.013347507174274452;0.08864826436892301;True
D02;IRRIG;408;32;32;32;4.590733803106454;0.01255026168512458;0.0898545286274069;True
D02;IRRIG;409;32;32;32;4.722204619182914;0.011136607351409738;0.09219057739296192;True
D02;IRRIG;410;32;32;32;4.807750615266848;0.01030514162436489;0.09370417836708436;True
D02;IRRIG;411;32;32;32;4.678450066041144;0.011588061786350278;0.09141445393527996;True
D02;IRRIG;412;32;32;32;4.615113329684336;0.012274916772785324;0.09028862559528315;True
D02;IRRIG;413;32;32;32;4.750044820898298;0.010858746778964517;0.09268372032645258;True
D02;IRRIG;414;32;32;32;4.886634023787594;0.00959465483496323;0.09509542931972355;True
D02;IRRIG;415;32;32;32;4.942792826028053;0.00911950519074619;0.09608329086532783;True
D02;IRRIG;416;32;32;32;5.016708558495482;0.00853051586601081;0.0973802228222554;True
D02;IRRIG;417;32;32;32;5.155513830240689;0.007527251264034317;0.09980568283927312;True
D02;IRRIG;418;32;32;32;5.314338724504995;0.006525881370085053;0.10256502071291781;True
D02;IRRIG;419;32;32;32;5.422096371114129;0.005924942355886088;0.10442753182305267;True
D02;IRRIG;420;32;32;32;5.477622553355609;0.005637664075646293;0.10538424584027035;True
D02;IRRIG;421;32;32;32;5.556355104868861;0.005254515066113335;0.1067373060152875;True
D02;IRRIG;422;32;32;32;5.714891845093478;0.004561666284588924;0.10944946246461476;True
D02;IRRIG;423;32;32;32;5.912499314549931;0.0038268449528061537;0.1128070477819896;True
D02;IRRIG;424;32;32;32;6.078463487233907;0.0033036604387036202;0.11560747659942103;True
D02;IRRIG;425;32;32;32;6.166562640271688;0.0030562297488140153;0.11708686367840536;True
D02;IRRIG;426;32;32;32;6.159757119344406;0.0030746501429704644;0.11697275977525612;True
D02;IRRIG;427;32;32;32;6.0815856181862324;0.00329455125926654;0.11565998907577282;True
D02;IRRIG;428;32;32;32;5.957838616515292;0.003676030018530598;0.11357384851612218;True
D02;IRRIG;429;32;32;32;5.877055518767693;0.003949135975729153;0.11220668020679078;True
