dia;genotipo;banda_nm;n_irrig;n_nirrig;H;p_valor;q_fdr;epsilon2;delta_cliff;significativa
D02;BR16;400;32;32;3.949038461538462;0.04689815809328853;0.2585702211003623;0.04756513647642681;-0.2890625;False
D02;BR16;401;32;32;3.949038461538462;0.04689815809328853;0.2585702211003623;0.04756513647642681;-0.2890625;False
D02;BR16;402;32;32;4.275721153846154;0.03866055537585408;0.23390206217072781;0.052834212158808944;-0.30078125;False
D02;BR16;403;32;32;4.2203725961538465;0.03994138909722654;0.23813892162328965;0.051941493486352366;-0.298828125;False
D02;BR16;404;32;32;4.443930288461539;0.035025526485191076;0.21768895400341484;0.0555472627171216;-0.306640625;False
D02;BR16;405;32;32;4.331430288461538;0.037414793607708725;0.22906788564003164;0.053732746588089325;-0.302734375;False
D02;BR16;406;32;32;3.8430288461538464;0.04995320583829938;0.26611435110221304;0.04585530397022333;-0.28515625;False
D02;BR16;407;32;32;3.6353365384615386;0.05656516742029983;0.26742495788709203;0.04250542803970223;-0.27734375;False
D02;BR16;408;32;32;3.7384615384615385;0.05317338271357824;0.26742495788709203;0.044168734491315136;-0.28125;False
D02;BR16;409;32;32;3.949038461538462;0.04689815809328853;0.2585702211003623;0.04756513647642681;-0.2890625;False
D02;BR16;410;32;32;4.110757211538462;0.04261128022186475;0.251137171652427;0.050173503411910673;-0.294921875;False
D02;BR16;411;32;32;3.7384615384615385;0.05317338271357824;0.26742495788709203;0.044168734491315136;-0.28125;False
D02;BR16;412;32;32;3.4833533653846156;0.06198900352317237;0.26742495788709203;0.04005408653846154;-0.271484375;False
D02;BR16;413;32;32;3.2857572115384617;0.0698833862508227;0.28214729370164837;0.03686705179900745;-0.263671875;False
D02;BR16;414;32;32;3.5336538461538463;0.06013512991934153;0.26742495788709203;0.040865384615384616;-0.2734375;False
D02;BR16;415;32;32;3.6353365384615386;0.05656516742029983;0.26742495788709203;0.04250542803970223;-0.27734375;False
D02;BR16;416;32;32;3.7384615384615385;0.05317338271357824;0.26742495788709203;0.044168734491315136;-0.28125;False
D02;BR16;417;32;32;3.7384615384615385;0.05317338271357824;0.26742495788709203;0.044168734491315136;-0.28125;False
D02;BR16;418;32;32;3.790564903846154;0.05154225046387205;0.26742495788709203;0.04500911135235733;-0.283203125;False
D02;BR16;419;32;32;3.6867187500000003;0.05484741549374725;0.26742495788709203;0.04333417338709678;-0.279296875;False
D02;BR16;420;32;32;3.4833533653846156;0.06198900352317237;0.26742495788709203;0.04005408653846154;-0.271484375;False
D02;BR16;421;32;32;3.584314903846154;0.0583274625198995;0.26742495788709203;0.041682498449131515;-0.275390625;False
D02;BR16;422;32;32;3.433413461538462;0.06388992167951003;0.26742495788709203;0.039248604218362286;-0.26953125;False
D02;BR16;423;32;32;3.383834134615385;0.06583872683408643;0.27170066144207494;0.038448937655086855;-0.267578125;False
D02;BR16;424;32;32;3.7384615384615385;0.05317338271357824;0.26742495788709203;0.044168734491315136;-0.28125;False
D02;BR16;425;32;32;3.8430288461538464;0.04995320583829938;0.26611435110221304;0.04585530397022333;-0.28515625;False
D02;BR16;426;32;32;4.110757211538462;0.04261128022186475;0.251137171652427;0.050173503411910673;-0.294921875;False
D02;BR16;427;32;32;4.275721153846154;0.03866055537585408;0.23390206217072781;0.052834212158808944;-0.30078125;False
D02;BR16;428;32;32;4.2203725961538465;0.03994138909722654;0.23813892162328965;0.051941493486352366;-0.298828125;False
