alpha;dia;genotipo_a;genotipo_b;prop_interacao;prop_sig_IRRIG;delta_IRRIG;prop_sig_NIRRIG;delta_NIRRIG;veredito
0.05;D02;BR16;CD202;0.46513895660653337;0.5236470014627012;-0.140625;0.15504631886884446;0.103515625;nao agrupavel
0.01;D02;BR16;CD202;0.2837640175524135;0.38664066309117506;-0.140625;0.07752315943442223;0.103515625;nao agrupavel
0.001;D02;BR16;CD202;0.0;0.3242320819112628;-0.140625;0.036567528035104824;0.103515625;offset constante
0.05;D03;BR16;CD202;0.0;0.5602145294978059;0.087890625;0.3393466601657728;0.046875;offset constante
0.01;D03;BR16;CD202;0.0;0.4807411019015115;0.087890625;0.227206240858118;0.046875;offset constante
0.001;D03;BR16;CD202;0.0;0.4061433447098976;0.087890625;0.12237932715748416;0.046875;offset constante
0.05;D04;BR16;CD202;0.9580692345197465;0.923939541686982;0.052734375;0.22818137493905413;0.05859375;nao agrupavel
0.01;D04;BR16;CD202;0.9200390053632375;0.90931253047294;0.052734375;0.19502681618722575;0.05859375;nao agrupavel
0.001;D04;BR16;CD202;0.8610433934666016;0.8795709410043882;0.052734375;0.151633349585568;0.05859375;nao agrupavel
0.05;D05;BR16;CD202;0.0;0.3295953193564115;0.056640625;0.310580204778157;0.029296875;offset constante
0.01;D05;BR16;CD202;0.0;0.2008776206728425;0.056640625;0.20282788883471478;0.029296875;offset constante
0.001;D05;BR16;CD202;0.0;0.08386153096050707;0.056640625;0.16040955631399317;0.029296875;agrupavel
0.05;D06;BR16;CD202;0.0;0.06825938566552901;0.0546875;0.23256947830326669;-0.162109375;offset constante
0.01;D06;BR16;CD202;0.0;0.050706972208678695;0.0546875;0.1311555338859093;-0.162109375;agrupavel
0.001;D06;BR16;CD202;0.0;0.04193076548025353;0.0546875;0.03851779619697709;-0.162109375;agrupavel
0.05;D09;BR16;CD202;0.8322769380789858;0.7474402730375427;-0.17708333333333337;0.8152120916626036;-0.158203125;nao agrupavel
0.01;D09;BR16;CD202;0.803022915650902;0.6196977084349098;-0.17708333333333337;0.7440273037542662;-0.158203125;nao agrupavel
0.001;D09;BR16;CD202;0.7698683568990736;0.5138956606533398;-0.17708333333333337;0.6518771331058021;-0.158203125;nao agrupavel
0.05;D10;BR16;CD202;0.931740614334471;0.8907849829351536;0.173828125;0.7567040468064359;0.1484375;nao agrupavel
0.01;D10;BR16;CD202;0.9068746952705997;0.8586055582642613;0.173828125;0.590931253047294;0.1484375;nao agrupavel
