dia;genotipo;condicao;posicao;banda_nm;teste;H;p_kruskal;q_kruskal;U;p_mannwhitney;q_mannwhitney;p_valor;q_fdr;epsilon2;genotipo_referencia;n_genotipo;n_referencia;delta_cliff
D02;BR16;IRRIG;1;708;mannwhitney;47.261538461538464;6.211923275036763e-12;1.27406546371004e-09;0.0;1.0913312529929468e-18;2.238320399888534e-16;1.0913312529929468e-18;2.238320399888534e-16;0.7461538461538462;EMB48;32;32;-1.0
D02;BR16;IRRIG;2;709;mannwhitney;47.261538461538464;6.211923275036763e-12;1.27406546371004e-09;0.0;1.0913312529929468e-18;2.238320399888534e-16;1.0913312529929468e-18;2.238320399888534e-16;0.7461538461538462;EMB48;32;32;-1.0
D02;BR16;IRRIG;3;710;mannwhitney;47.261538461538464;6.211923275036763e-12;1.27406546371004e-09;0.0;1.0913312529929468e-18;2.238320399888534e-16;1.0913312529929468e-18;2.238320399888534e-16;0.7461538461538462;EMB48;32;32;-1.0
D02;BR16;IRRIG;4;711;mannwhitney;47.261538461538464;6.211923275036763e-12;1.27406546371004e-09;0.0;1.0913312529929468e-18;2.238320399888534e-16;1.0913312529929468e-18;2.238320399888534e-16;0.7461538461538462;EMB48;32;32;-1.0
D02;BR16;IRRIG;5;712;mannwhitney;47.261538461538464;6.211923275036763e-12;1.27406546371004e-09;0.0;1.0913312529929468e-18;2.238320399888534e-16;1.0913312529929468e-18;2.238320399888534e-16;0.7461538461538462;EMB48;32;32;-1.0
D02;BR16;NIRRIG;1;1917;mannwhitney;40.50649038461539;1.9596401375206222e-10;5.645956727435855e-08;986.0;1.6009283815780036e-13;7.261027440223407e-11;1.6009283815780036e-13;7.261027440223407e-11;0.6372014578163773;EMB48;32;32;0.92578125
D02;BR16;NIRRIG;2;1918;mannwhitney;40.50649038461539;1.9596401375206222e-10;5.645956727435855e-08;986.0;1.6009283815780036e-13;7.261027440223407e-11;1.6009283815780036e-13;7.261027440223407e-11;0.6372014578163773;EMB48;32;32;0.92578125
D02;BR16;NIRRIG;3;1919;mannwhitney;40.50649038461539;1.9596401375206222e-10;5.645956727435855e-08;986.0;1.6009283815780036e-13;7.261027440223407e-11;1.6009283815780036e-13;7.261027440223407e-11;0.6372014578163773;EMB48;32;32;0.92578125
D02;BR16;NIRRIG;4;1920;mannwhitney;40.50649038461539;1.9596401375206222e-10;5.645956727435855e-08;986.0;1.6009283815780036e-13;7.261027440223407e-11;1.6009283815780036e-13;7.261027440223407e-11;0.6372014578163773;EMB48;32;32;0.92578125
D02;BR16;NIRRIG;5;1915;mannwhitney;40.16538461538462;2.3334655435663105e-10;5.645956727435855e-08;984.0;2.347104299186871e-13;7.261027440223407e-11;2.347104299186871e-13;7.261027440223407e-11;0.6316997518610422;EMB48;32;32;0.921875
D02;CD202;IRRIG;1;1902;mannwhitney;47.261538461538464;6.211923275036763e-12;4.3896947685681974e-09;1024.0;1.0913312529929468e-18;2.238320399888534e-15;1.0913312529929468e-18;2.238320399888534e-15;0.7461538461538462;BR16;32;32;-1.0
D02;CD202;IRRIG;2;1901;mannwhitney;47.077103365384616;6.824833029737679e-12;4.3896947685681974e-09;1023.0;2.1826625059858936e-18;2.238320399888534e-15;2.1826625059858936e-18;2.238320399888534e-15;0.7431790865384615;BR16;32;32;-0.998046875
D02;CD202;IRRIG;3;1903;mannwhitney;46.70931490384616;8.233670499558598e-12;4.3896947685681974e-09;1021.0;7.639318770950628e-18;5.222747599739913e-15;7.639318770950628e-18;5.222747599739913e-15;0.7372470145781638;BR16;32;32;-0.994140625
D02;CD202;IRRIG;4;1900;mannwhitney;46.52596153846154;9.041260826253434e-12;4.3896947685681974e-09;1020.0;1.3095975035915364e-17;6.714961199665602e-15;1.3095975035915364e-17;6.714961199665602e-15;0.7342897022332507;BR16;32;32;-0.9921875
D02;CD202;IRRIG;5;1899;mannwhitney;45.433413461538464;1.5791721092992038e-11;4.3896947685681974e-09;1014.0;1.516950441660196e-16;6.222530711690124e-14;1.516950441660196e-16;6.222530711690124e-14;0.716667959057072;BR16;32;32;-0.98046875
D02;CD202;NIRRIG;1;1908;mannwhitney;39.4875;3.301660969487133e-10;3.184805467688314e-07;980.0;4.913882666288692e-13;6.814268014740656e-10;4.913882666288692e-13;6.814268014740656e-10;0.6207661290322581;BR16;32;32;-0.9140625
D02;CD202;NIRRIG;2;1909;mannwhitney;39.15072115384616;3.9231832642757387e-10;3.184805467688314e-07;978.0;7.024539136202111e-13;6.814268014740656e-10;7.024539136202111e-13;6.814268014740656e-10;0.615334212158809;BR16;32;32;-0.91015625
D02;CD202;NIRRIG;3;1907;mannwhitney;38.815384615384616;4.658418529041903e-10;3.184805467688314e-07;976.0;9.967237466709884e-13;6.814268014740656e-10;9.967237466709884e-13;6.814268014740656e-10;0.609925558312655;BR16;32;32;-0.90625
D02;CD202;NIRRIG;4;1906;mannwhitney;37.983353365384616;7.135081689483728e-10;3.466755352938598e-07;971.0;2.319596203623931e-12;1.1893729534081706e-09;2.319596203623931e-12;1.1893729534081706e-09;0.5965056994416874;BR16;32;32;-0.896484375
D02;CD202;NIRRIG;5;1905;mannwhitney;37.65306490384616;8.45137823729546e-10;3.466755352938598e-07;969.0;3.2160189688260964e-12;1.3192109810124646e-09;3.2160189688260964e-12;1.3192109810124646e-09;0.5911784661910671;BR16;32;32;-0.892578125
D02;EMB48;IRRIG;1;708;mannwhitney;47.261538461538464;6.211923275036763e-12;1.27406546371004e-09;0.0;1.0913312529929468e-18;2.238320399888534e-16;1.0913312529929468e-18;2.238320399888534e-16;0.7461538461538462;BR16;32;32;1.0
D02;EMB48;IRRIG;2;709;mannwhitney;47.261538461538464;6.211923275036763e-12;1.27406546371004e-09;0.0;1.0913312529929468e-18;2.238320399888534e-16;1.0913312529929468e-18;2.238320399888534e-16;0.7461538461538462;BR16;32;32;1.0
