dia;banda_nm;genotipo_a;condicao_a;genotipo_b;condicao_b;diferenca_media;q_tukey;q_critico_tukey;significativo_tukey;F_anova;p_anova
D02;400;BR16;IRRIG;CD202;NIRRIG;0.0762780866419992;6.012635162356764;4.0724590126981886;True;7.554055537844399;1.7601001184318825e-06
D02;401;BR16;IRRIG;CD202;NIRRIG;0.07621463842223797;6.039527248403255;4.0724590126981886;True;7.619451784223985;1.5521777693166663e-06
D02;402;BR16;IRRIG;CD202;NIRRIG;0.07606144474226428;6.047103232273766;4.0724590126981886;True;7.64567282465992;1.4759214965113887e-06
D02;403;BR16;IRRIG;CD202;NIRRIG;0.07581850560207815;6.037259285314633;4.0724590126981886;True;7.63601660607942;1.5035550907032023e-06
D02;404;BR16;IRRIG;CD202;NIRRIG;0.07548582100167822;6.011512188802893;4.0724590126981886;True;7.5933286509695;1.6320934738765886e-06
D02;405;BR16;IRRIG;CD202;NIRRIG;0.07506339094106451;5.970903674891736;4.0724590126981886;True;7.519728598724837;1.8802372920731982e-06
D02;406;BR16;IRRIG;CD202;NIRRIG;0.07368723808344924;5.857648949080013;4.0724590126981886;True;7.408558375496566;2.328956863506068e-06
D02;407;BR16;IRRIG;CD202;NIRRIG;0.07285015021428642;5.768700098184245;4.0724590126981886;True;7.219559866020493;3.3532301945566137e-06
D02;408;BR16;IRRIG;CD202;NIRRIG;0.07318964627303859;5.76344896062641;4.0724590126981886;True;7.123726785950944;4.035185391595721e-06
D02;409;BR16;IRRIG;CD202;NIRRIG;0.07359299005393583;5.756711259748867;4.0724590126981886;True;7.04544439236184;4.694653361298528e-06
D02;410;BR16;IRRIG;CD202;NIRRIG;0.07301331798152555;5.671068053307922;4.0724590126981886;True;6.875753729921012;6.5207801163888895e-06
D02;411;BR16;IRRIG;CD202;NIRRIG;0.07285813540747199;5.617113268689193;4.0724590126981886;True;6.7032721749812705;9.11179010207521e-06
D02;412;BR16;IRRIG;CD202;NIRRIG;0.07302375642689318;5.608249364664206;4.0724590126981886;True;6.607365887508447;1.0977604060417123e-05
D02;413;BR16;IRRIG;CD202;NIRRIG;0.07332419266613366;5.627958031437309;4.0724590126981886;True;6.599169991051145;1.115385277486428e-05
D02;414;BR16;IRRIG;CD202;NIRRIG;0.07396951176461353;5.6683776062543325;4.0724590126981886;True;6.604906120451857;1.103020416256268e-05
D02;415;BR16;IRRIG;CD202;NIRRIG;0.07466799821875414;5.712095194899597;4.0724590126981886;True;6.5854351899657875;1.145561262083771e-05
D02;416;BR16;IRRIG;CD202;NIRRIG;0.07487285094386098;5.712260903560184;4.0724590126981886;True;6.531947685203201;1.2711040338991723e-05
D02;417;BR16;IRRIG;CD202;NIRRIG;0.07458216726018008;5.672802756893542;4.0724590126981886;True;6.464904501606723;1.4481775988250013e-05
D02;418;BR16;IRRIG;CD202;NIRRIG;0.07411071451551887;5.630978619229264;4.0724590126981886;True;6.451537157281732;1.4863438125737147e-05
D02;419;BR16;IRRIG;CD202;NIRRIG;0.07313497497312071;5.545698099746494;4.0724590126981886;True;6.384084036888588;1.6949167349188424e-05
D02;420;BR16;IRRIG;CD202;NIRRIG;0.07175273962778905;5.4261412708920425;4.0724590126981886;True;6.265091347246551;2.137149129682812e-05
