dia;condicao;bandas_testadas;bandas_sig_anova;pares_sig_tukey;prop_bandas_sig_anova
D02;IRRIG;2051;1814;2954;0.8844466114090688
D02;NIRRIG;2051;606;1080;0.295465626523647
D03;IRRIG;2051;1871;3667;0.9122379327157484
D03;NIRRIG;2051;1331;2116;0.6489517308629936
D04;IRRIG;2051;2035;4285;0.9921989273525109
D04;NIRRIG;2051;895;1681;0.4363725012189176
D05;IRRIG;2051;2046;4379;0.9975621647976597
D05;NIRRIG;2051;2040;4175;0.9946367625548513
D06;IRRIG;2051;1823;3430;0.8888347147732814
D06;NIRRIG;2051;1229;1850;0.5992198927352511
D09;IRRIG;2051;1555;2632;0.7581667479278401
D09;NIRRIG;2051;1967;4048;0.9590443686006825
D10;IRRIG;2051;2019;4009;0.984397854705022
D10;NIRRIG;2051;1661;2905;0.8098488542174549
