dia;condicao;genotipo_a;genotipo_b;bandas_avaliadas_tukey;bandas_sig_tukey;prop_bandas_sig_tukey
D02;IRRIG;BR16;CD202;1814;822;0.4531422271223815
D02;IRRIG;BR16;EMB48;1814;482;0.2657111356119074
D02;IRRIG;CD202;EMB48;1814;1650;0.9095920617420066
D02;NIRRIG;BR16;CD202;606;412;0.6798679867986799
D02;NIRRIG;BR16;EMB48;606;259;0.4273927392739274
D02;NIRRIG;CD202;EMB48;606;409;0.6749174917491749
D03;IRRIG;BR16;CD202;1871;1242;0.6638161411010155
D03;IRRIG;BR16;EMB48;1871;716;0.3826830571886692
D03;IRRIG;CD202;EMB48;1871;1709;0.9134152859433458
D03;NIRRIG;BR16;CD202;1331;712;0.5349361382419233
D03;NIRRIG;BR16;EMB48;1331;340;0.2554470323065364
D03;NIRRIG;CD202;EMB48;1331;1064;0.7993989481592787
D04;IRRIG;BR16;CD202;2035;1864;0.9159705159705159
D04;IRRIG;BR16;EMB48;2035;521;0.25601965601965604
D04;IRRIG;CD202;EMB48;2035;1900;0.9336609336609336
D04;NIRRIG;BR16;CD202;895;508;0.5675977653631284
D04;NIRRIG;BR16;EMB48;895;651;0.7273743016759776
D04;NIRRIG;CD202;EMB48;895;522;0.5832402234636872
D05;IRRIG;BR16;CD202;2046;678;0.3313782991202346
D05;IRRIG;BR16;EMB48;2046;1812;0.8856304985337243
D05;IRRIG;CD202;EMB48;2046;1889;0.9232649071358748
D05;NIRRIG;BR16;CD202;2040;506;0.24803921568627452
D05;NIRRIG;BR16;EMB48;2040;1877;0.9200980392156862
D05;NIRRIG;CD202;EMB48;2040;1792;0.8784313725490196
D06;IRRIG;BR16;CD202;1823;271;0.14865606143719146
D06;IRRIG;BR16;EMB48;1823;1652;0.9061985737794843
D06;IRRIG;CD202;EMB48;1823;1507;0.8266593527153044
D06;NIRRIG;BR16;CD202;1229;684;0.5565500406834825
D06;NIRRIG;BR16;EMB48;1229;737;0.5996745321399511
D06;NIRRIG;CD202;EMB48;1229;429;0.34906427990235966
D09;IRRIG;BR16;CD202;1555;1546;0.9942122186495177
D09;IRRIG;BR16;EMB48;1555;58;0.03729903536977492
D09;IRRIG;CD202;EMB48;1555;1028;0.6610932475884245
D09;NIRRIG;BR16;CD202;1967;1557;0.7915607524148449
D09;NIRRIG;BR16;EMB48;1967;580;0.29486527707168275
D09;NIRRIG;CD202;EMB48;1967;1911;0.9715302491103203
D10;IRRIG;BR16;CD202;2019;1815;0.8989598811292719
D10;IRRIG;BR16;EMB48;2019;285;0.1411589895988113
D10;IRRIG;CD202;EMB48;2019;1909;0.9455175829618623
D10;NIRRIG;BR16;CD202;1661;1527;0.9193257074051776
D10;NIRRIG;BR16;EMB48;1661;349;0.21011438892233594
D10;NIRRIG;CD202;EMB48;1661;1029;0.6195063214930765
