dia;celula_a;celula_b;tipo;bandas_testadas;bandas_totais;bandas_sig;prop_sig;r_mediano;r_maximo;banda_r_maximo
D02;CD202|IRRIG;CD202|NIRRIG;estresse;2037;2051;1937;0.9444173573866407;0.27646197153799235;0.38944936566038973;1985
D02;CD202|IRRIG;EMB48|IRRIG;genotipo;2037;2051;1658;0.8083861530960507;0.23831249220068865;0.3605531642900065;1873
D02;BR16|NIRRIG;CD202|IRRIG;cruzado;2037;2051;1194;0.5821550463188688;0.18766297069754503;0.6060085377283179;1952
D02;BR16|IRRIG;CD202|NIRRIG;cruzado;2037;2051;918;0.4475865431496831;0.1702927822333259;0.4417222692629931;1342
D02;CD202|IRRIG;EMB48|NIRRIG;cruzado;2037;2051;804;0.3920039005363237;0.16785770908413628;0.2714294870296672;2054
D02;BR16|IRRIG;CD202|IRRIG;genotipo;2037;2051;798;0.3890784982935154;0.13863683129386112;0.5094173028104639;705
D02;CD202|NIRRIG;EMB48|NIRRIG;genotipo;2037;2051;522;0.2545099951243296;0.11233804128261346;0.3399362116268679;2450
D02;BR16|IRRIG;EMB48|NIRRIG;cruzado;2037;2051;408;0.19892735251097027;0.08360417812217619;0.5902617313635585;713
D02;BR16|NIRRIG;CD202|NIRRIG;genotipo;2037;2051;401;0.1955143832276938;0.115097790851695;0.39155976238968737;1909
D02;BR16|NIRRIG;EMB48|NIRRIG;genotipo;2037;2051;355;0.17308629936616285;0.06753269533752485;0.5625018974627971;1909
D02;BR16|NIRRIG;EMB48|IRRIG;cruzado;2037;2051;317;0.1545587518283764;0.07905870824368895;0.6047098320487502;1945
D02;CD202|NIRRIG;EMB48|IRRIG;cruzado;2037;2051;300;0.1462701121404193;0.04529236057492652;0.3228906995825407;1642
D02;BR16|IRRIG;EMB48|IRRIG;genotipo;2037;2051;287;0.13993174061433447;0.13441603783526582;0.43863784327401956;1935
D02;EMB48|IRRIG;EMB48|NIRRIG;estresse;2037;2051;164;0.07996099463676255;0.07110413595633626;0.2314942873829578;525
D02;BR16|IRRIG;BR16|NIRRIG;estresse;2037;2051;139;0.06777181862506095;0.06818204817730875;0.22370205330555107;1949
D03;BR16|NIRRIG;CD202|IRRIG;cruzado;1937;2051;1922;0.9371038517796197;0.46867041211402466;0.7108790213534166;742
D03;CD202|IRRIG;EMB48|NIRRIG;cruzado;1937;2051;1887;0.9200390053632375;0.5077939207110042;0.6495151779938387;763
D03;CD202|IRRIG;CD202|NIRRIG;estresse;1937;2051;1857;0.9054119941491955;0.35990381145022254;0.5050341711419226;1989
D03;BR16|IRRIG;BR16|NIRRIG;estresse;1937;2051;1813;0.8839590443686007;0.3081179224774571;0.4801964250201887;1345
D03;BR16|IRRIG;EMB48|NIRRIG;cruzado;1937;2051;1784;0.8698196001950268;0.37532594139509007;0.5655863234517706;714
D03;EMB48|IRRIG;EMB48|NIRRIG;estresse;1937;2051;1719;0.8381277425646027;0.29707892420113097;0.5400992244902528;401
D03;BR16|NIRRIG;EMB48|IRRIG;cruzado;1937;2051;1627;0.7932715748415408;0.25308526930577224;0.6923724654195756;1927
D03;CD202|IRRIG;EMB48|IRRIG;genotipo;1937;2051;1579;0.7698683568990736;0.20616952663138596;0.4029234370859055;1380
D03;BR16|IRRIG;CD202|NIRRIG;cruzado;1937;2051;1532;0.7469527059970746;0.21655917206792827;0.666723028248112;1363
D03;CD202|NIRRIG;EMB48|NIRRIG;genotipo;1937;2051;1106;0.5392491467576792;0.15779274006748598;0.375812956024928;1381
D03;CD202|NIRRIG;EMB48|IRRIG;cruzado;1937;2051;983;0.47927840078010725;0.1551953287083504;0.5116900377497076;1936
D03;BR16|IRRIG;CD202|IRRIG;genotipo;1937;2051;980;0.4778156996587031;0.15633169617797218;0.5991903329105871;732
D03;BR16|NIRRIG;CD202|NIRRIG;genotipo;1937;2051;576;0.2808386153096051;0.10129904300628728;0.4775990136610532;723
D03;BR16|IRRIG;EMB48|IRRIG;genotipo;1937;2051;411;0.20039005363237444;0.1035717779455309;0.4579560902575904;728
D03;BR16|NIRRIG;EMB48|NIRRIG;genotipo;1937;2051;178;0.08678693320331546;0.07743532614422921;0.502923774412625;714
D04;CD202|IRRIG;CD202|NIRRIG;estresse;2051;2051;1857;0.9054119941491955;0.29009838117345416;0.5081185971308961;400
D04;BR16|IRRIG;CD202|IRRIG;genotipo;2051;2051;1832;0.8932228181374939;0.3233777142123786;0.5972422743912355;700
D04;BR16|NIRRIG;CD202|IRRIG;cruzado;2051;2051;1815;0.8849341784495368;0.2748385894385326;0.660229499850273;1968
D04;CD202|IRRIG;EMB48|IRRIG;genotipo;2051;2051;1748;0.8522671867381765;0.35487132694189744;0.4267871539479635;2133
D04;EMB48|IRRIG;EMB48|NIRRIG;estresse;2051;2051;1439;0.7016089712335446;0.1870136178577611;0.44074824000331725;1373
D04;CD202|IRRIG;EMB48|NIRRIG;cruzado;2051;2051;1308;0.6377376889322282;0.20016301286338498;0.49026139403683905;404
D04;BR16|NIRRIG;EMB48|IRRIG;cruzado;2051;2051;952;0.4641638225255973;0.15146154987959298;0.6977296263477928;1938
D04;BR16|IRRIG;EMB48|NIRRIG;cruzado;2051;2051;904;0.44076060458313016;0.1412342426529967;0.6925348036295217;711
D04;BR16|IRRIG;CD202|NIRRIG;cruzado;2051;2051;698;0.34032179424670894;0.0913964121995829;0.5824694972861518;712
D04;BR16|NIRRIG;EMB48|NIRRIG;genotipo;2051;2051;648;0.3159434422233057;0.07500025299503962;0.49107308508656894;729
D04;CD202|NIRRIG;EMB48|IRRIG;cruzado;2051;2051;540;0.26328620185275475;0.11672117295115472;0.5050341711419226;1373
D04;BR16|IRRIG;BR16|NIRRIG;estresse;2051;2051;472;0.23013164310092638;0.1017860576361252;0.41542347925174544;1382
D04;BR16|NIRRIG;CD202|NIRRIG;genotipo;2051;2051;440;0.21452949780594832;0.06558463681817318;0.37272853003595446;731
D04;BR16|IRRIG;EMB48|IRRIG;genotipo;2051;2051;404;0.196977084349098;0.08246781065255439;0.4107156711633122;725
D04;CD202|NIRRIG;EMB48|NIRRIG;genotipo;2051;2051;314;0.15309605070697221;0.08571457485147385;0.351624562742978;1655
D05;BR16|IRRIG;EMB48|NIRRIG;cruzado;2051;2051;2018;0.9839102876645539;0.5930214809326401;0.659904823430381;784
D05;BR16|IRRIG;BR16|NIRRIG;estresse;2051;2051;2015;0.9824475865431497;0.42776118320763934;0.5237030652857095;1526
D05;BR16|IRRIG;CD202|NIRRIG;cruzado;2051;2051;1973;0.961969770843491;0.4032481135057974;0.5638006031423649;1596
D05;CD202|IRRIG;CD202|NIRRIG;estresse;2051;2051;1957;0.9541686981960019;0.36104017891984436;0.47630030798148537;429
D05;CD202|IRRIG;EMB48|NIRRIG;cruzado;2051;2051;1943;0.947342759629449;0.5483784731974974;0.6508138836734065;421
D05;BR16|NIRRIG;CD202|IRRIG;cruzado;2051;2051;1931;0.9414919551438323;0.3839298665222266;0.5790603948772864;536
D05;EMB48|IRRIG;EMB48|NIRRIG;estresse;2051;2051;1846;0.9000487567040468;0.2884749990739944;0.5474044439378216;1968
D05;CD202|IRRIG;EMB48|IRRIG;genotipo;2051;2051;1731;0.8439785470502194;0.24610472627809538;0.4801964250201887;1381
D05;BR16|IRRIG;EMB48|IRRIG;genotipo;2051;2051;1715;0.8361774744027304;0.29659190957129306;0.5063328768214904;1724
D05;CD202|NIRRIG;EMB48|NIRRIG;genotipo;2051;2051;1567;0.7640175524134568;0.1840915300787336;0.2569813863444756;1387
D05;BR16|NIRRIG;EMB48|NIRRIG;genotipo;2051;2051;1366;0.6660165772793759;0.17792267810078663;0.38035842590341523;710
D05;BR16|NIRRIG;EMB48|IRRIG;cruzado;2051;2051;1014;0.49439297903461726;0.1490264767304034;0.5650993088219327;1930
D05;CD202|NIRRIG;EMB48|IRRIG;cruzado;2051;2051;694;0.33837152608483667;0.1035717779455309;0.38376752831228067;1368
D05;BR16|IRRIG;CD202|IRRIG;genotipo;2051;2051;415;0.2023403217942467;0.08636392769125775;0.37175450077627864;1698
D05;BR16|NIRRIG;CD202|NIRRIG;genotipo;2051;2051;389;0.18966357874207704;0.04155858174616914;0.4201312873401787;704
D06;BR16|IRRIG;BR16|NIRRIG;estresse;2051;2051;2025;0.9873232569478303;0.5628265738826891;0.6340930480489713;1524
D06;BR16|IRRIG;CD202|NIRRIG;cruzado;2051;2051;2022;0.9858605558264262;0.4884756737274334;0.5618525446230133;1344
D06;BR16|IRRIG;EMB48|NIRRIG;cruzado;2051;2051;2005;0.977571916138469;0.5055211857717605;0.587664320004423;674
D06;BR16|NIRRIG;EMB48|IRRIG;cruzado;2051;2051;1990;0.9702584105314481;0.3771116617044957;0.6905867451101699;736
D06;CD202|NIRRIG;EMB48|IRRIG;cruzado;2051;2051;1990;0.9702584105314481;0.3103906574167008;0.599352671120533;735
D06;CD202|IRRIG;CD202|NIRRIG;estresse;2051;2051;1982;0.9663578742077036;0.43766381401434373;0.5743525867888533;743
D06;BR16|NIRRIG;CD202|IRRIG;cruzado;2051;2051;1975;0.9629449049244271;0.5199692864569522;0.6582814413309213;743
D06;CD202|IRRIG;EMB48|NIRRIG;cruzado;2051;2051;1880;0.916626036079961;0.44918982692050785;0.5836058647557737;1399
D06;EMB48|IRRIG;EMB48|NIRRIG;estresse;2051;2051;1785;0.8703071672354948;0.30519583469842965;0.5055211857717605;402
D06;BR16|IRRIG;EMB48|IRRIG;genotipo;2051;2051;1405;0.6850316918576305;0.18750063248759904;0.4761379697715394;722
D06;CD202|IRRIG;EMB48|IRRIG;genotipo;2051;2051;443;0.21599219892735252;0.12873420048715675;0.33181930112956926;1383
D06;BR16|NIRRIG;EMB48|NIRRIG;genotipo;2051;2051;388;0.18917601170160897;0.07305219447568795;0.5545473251754445;708
D06;CD202|NIRRIG;EMB48|NIRRIG;genotipo;2051;2051;267;0.13018039980497317;0.036526097237843974;0.3990273200472021;727
