dia;genotipo;condicao_a;condicao_b;posicao;banda_nm;p_valor;q_fdr;H;epsilon2;delta_cliff;n_irrig;n_nirrig
D02;BR16;IRRIG;NIRRIG;1;1947;1.0654439545112532e-08;5.833014132308294e-06;32.71802884615385;0.5115811104218363;0.83203125;32;32
D02;BR16;IRRIG;NIRRIG;2;1946;1.2474358573816622e-08;5.833014132308294e-06;32.41153846153846;0.5066377171215881;0.828125;32;32
D02;BR16;IRRIG;NIRRIG;3;1948;1.2474358573816622e-08;5.833014132308294e-06;32.41153846153846;0.5066377171215881;0.828125;32;32
D02;BR16;IRRIG;NIRRIG;4;1949;1.3494216200034834e-08;5.833014132308294e-06;32.258834134615384;0.5041747441066997;0.826171875;32;32
D02;BR16;IRRIG;NIRRIG;5;1945;1.5782574683370118e-08;5.833014132308294e-06;31.954507211538463;0.4992662453473945;0.822265625;32;32
D02;CD202;IRRIG;NIRRIG;1;1580;9.789954437531725e-08;8.19899178129774e-06;28.415084134615388;0.4421787763647643;0.775390625;32;32
D02;CD202;IRRIG;NIRRIG;2;1575;1.054034701684782e-07;8.19899178129774e-06;28.272115384615383;0.4398728287841191;0.7734375;32;32
D02;CD202;IRRIG;NIRRIG;3;1576;1.054034701684782e-07;8.19899178129774e-06;28.272115384615383;0.4398728287841191;0.7734375;32;32
D02;CD202;IRRIG;NIRRIG;4;1577;1.054034701684782e-07;8.19899178129774e-06;28.272115384615383;0.4398728287841191;0.7734375;32;32
D02;CD202;IRRIG;NIRRIG;5;1578;1.054034701684782e-07;8.19899178129774e-06;28.272115384615383;0.4398728287841191;0.7734375;32;32
D02;EMB48;IRRIG;NIRRIG;1;719;0.0007153100391853;0.1060960660947109;11.449038461538462;0.1685328784119107;0.4921875;32;32
D02;EMB48;IRRIG;NIRRIG;2;720;0.0007153100391853;0.1060960660947109;11.449038461538462;0.1685328784119107;0.4921875;32;32
D02;EMB48;IRRIG;NIRRIG;3;721;0.0007153100391853;0.1060960660947109;11.449038461538462;0.1685328784119107;0.4921875;32;32
D02;EMB48;IRRIG;NIRRIG;4;718;0.0007510938551174;0.1060960660947109;11.358353365384616;0.1670702155707196;0.490234375;32;32
D02;EMB48;IRRIG;NIRRIG;5;715;0.0008277005331684;0.1060960660947109;11.178064903846154;0.1641623371588089;0.486328125;32;32
D03;BR16;IRRIG;NIRRIG;1;400;1.089606366552202e-11;3.412504748200997e-09;46.16033653846154;0.7283925248138958;-0.98828125;32;32
D03;BR16;IRRIG;NIRRIG;2;401;1.4396425455681949e-11;3.412504748200997e-09;45.61460336538462;0.7195903768610422;-0.982421875;32;32
D03;BR16;IRRIG;NIRRIG;3;402;1.8991040067982737e-11;3.412504748200997e-09;45.07211538461539;0.710840570719603;-0.9765625;32;32
D03;BR16;IRRIG;NIRRIG;4;403;2.282238385490765e-11;3.412504748200997e-09;44.71225961538462;0.7050364454094293;-0.97265625;32;32
D03;BR16;IRRIG;NIRRIG;5;404;3.002643730468926e-11;3.412504748200997e-09;44.17518028846154;0.6963738756203475;-0.966796875;32;32
D03;CD202;IRRIG;NIRRIG;1;1898;6.211923275036763e-12;1.7452951557671782e-10;47.261538461538464;0.7461538461538462;1.0;32;32
D03;CD202;IRRIG;NIRRIG;2;1899;6.211923275036763e-12;1.7452951557671782e-10;47.261538461538464;0.7461538461538462;1.0;32;32
